case,frequency_real,frequency_imag,v(out)_real,v(out)_imag,v(vn)_real,v(vn)_imag,v(sum)_real,v(sum)_imag,v(vp)_real,v(vp)_imag,i(vp)_real,i(vp)_imag,i(iin)_real,i(iin)_imag,i(rf)_real,i(rf)_imag,i(cf)_real,i(cf)_imag,i(vn)_real,i(vn)_imag,i(ci)_real,i(ci)_imag
1,70.7945784384136,0.0,-99999.88282050152,45.19142898806069,0.0,0.0,0.1005385380849475,0.7093727347665322,0.0,0.0,0.4994989759834425,2.241644541101095e-07,1.0,0.0,-0.9999998335903961,0.0004448205625329416,-1.978630609485681e-07,-0.0004448153810506492,0.4994989759834425,2.241644541101095e-07,-3.155399558309953e-08,4.472109557055094e-09
1,73.56422544596393,0.0,-99999.8814681946,46.95942129866344,0.0,0.0,0.100564109365223,0.7371250204614626,0.0,0.0,0.4994989772485496,2.329336905582124e-07,1.0,0.0,-0.9999998203230397,0.0004622229627820198,-2.136476164662047e-07,-0.0004622175774062629,0.4994989772485496,2.329336905582124e-07,-3.407122024213721e-08,4.648250735664748e-09
1,76.44222742525982,0.0,-99999.88000800724,48.79658147999869,0.0,0.0,0.1005917205475271,0.7659630382933074,0.0,0.0,0.4994989786155202,2.420459268570596e-07,1.0,0.0,-0.999999805997278,0.0004803061844170538,-2.306913870828865e-07,-0.0004803005870268335,0.4994989786155202,2.420459268570596e-07,-3.678925683052922e-08,4.831427180211669e-09
1,79.43282347242791,0.0,-99999.8784313332,50.7056155310021,0.0,0.0,0.1006215344532393,0.7959292644562765,0.0,0.0,0.4994989800907206,2.515145745007885e-07,1.0,0.0,-0.9999997905286766,0.0004990968626654583,-2.490948268245573e-07,-0.0004990910448044653,0.4994989800907206,2.515145745007885e-07,-3.972412513985832e-08,5.021931727960255e-09
1,82.5404185268016,0.0,-99999.87672887983,52.68933531460447,0.0,0.0,0.1006537267385283,0.827067836893093,0.0,0.0,0.4994989816832458,2.613535654560906e-07,1.0,0.0,-0.9999997738260658,0.0005186226747771138,-2.689664034429362e-07,-0.0005186166276384638,0.4994989816832458,2.613535654560906e-07,-4.289312294107988e-08,5.220070812681859e-09
1,85.76958985908915,0.0,-99999.87489061298,54.75066269926283,0.0,0.0,0.1006884871749207,0.859424620303912,0.0,0.0,0.4994989834021908,2.715773774752961e-07,1.0,0.0,-0.9999997557910016,0.0005389123807895892,-2.904232377100584e-07,-0.0005389060951996983,0.4994989834021908,2.715773774752961e-07,-4.631492793516862e-08,5.42616527061853e-09
1,89.12509381337428,0.0,-99999.87290569815,56.89263386250485,0.0,0.0,0.100726020638831,0.8930472736988122,0.0,0.0,0.4994989852602885,2.822010554126564e-07,1.0,0.0,-0.999999736317188,0.0005599958658880605,-3.135917937123544e-07,-0.0005599893322895947,0.4994989852602885,2.822010554126564e-07,-5.000970783686447e-08,5.640551191489087e-09
1,92.61187281287906,0.0,-99999.87076243649,59.11840376282193,0.0,0.0,0.1007665483339224,0.9279853205929385,0.0,0.0,0.4994989872666338,2.932402267674661e-07,1.0,0.0,-0.9999997152898483,0.0005819041844222899,-3.386086242127124e-07,-0.000581897392856124,0.4994989872666338,2.932402267674661e-07,-5.399923924031014e-08,5.863580845682998e-09
1,96.23506263980856,0.0,-99999.86844819589,61.43125078649678,0.0,0.0,0.1008103091298835,0.9642902219468397,0.0,0.0,0.4994989894294122,3.04711130993951e-07,1.0,0.0,-0.9999996925850503,0.0006046696056454994,-3.656211754735389e-07,-0.000604662545731589,0.4994989894294122,3.04711130993951e-07,-5.830703596710003e-08,6.095623689332233e-09
1,99.99999999999969,0.0,-99999.86594933638,63.83458157620361,0.0,0.0,0.1008575609739637,1.002015451958982,0.0,0.0,0.499498991769542,3.166306417057285e-07,1.0,0.0,-0.9999996680689737,0.0006283256612424463,-3.947886562842423e-07,-0.0006283183221595418,0.499498991769542,3.166306417057285e-07,-6.29584876531557e-08,6.337067452295759e-09
