case,frequency_real,frequency_imag,v(base)_real,v(base)_imag,v(col)_real,v(col)_imag,v(out)_real,v(out)_imag,v(em)_real,v(em)_imag,v(vcc)_real,v(vcc)_imag,i(vcc)_real,i(vcc)_imag,i(vin)_real,i(vin)_imag,i(rc)_real,i(rc)_imag,i(co)_real,i(co)_imag,i(vb)_real,i(vb)_imag,ic(q1)_real,ic(q1)_imag,ib(q1)_real,ib(q1)_imag,i(rl)_real,i(rl)_imag
1,14.67799267622069,0.0,0.0,0.0,34.20611273159812,-0.003647445189102516,34.20213104026096,0.3672096835348413,1.0,0.0,0.0,0.0,0.03420611273159812,-3.647445189102516e-06,-0.03475960369098299,-3.232105680488162e-08,-0.03420611273159812,3.647445189102516e-06,0.0003420213104026097,3.672096835349569e-06,0.000211469648982259,7.669410558702079e-09,-0.03454813404200072,-2.465164624617954e-08,-0.0002114696489822626,-7.669410558702084e-09,0.0003420213104026096,3.672096835348414e-06
1,15.25222956539018,0.0,0.0,0.0,34.20610984273659,-0.003510548645895467,34.20242229656651,0.353387080705762,1.0,0.0,0.0,0.0,0.03420610984273659,-3.510548645895467e-06,-0.03475960371468459,-3.129161654762122e-08,-0.03420610984273659,3.510548645895467e-06,0.0003420242229656651,3.53387080705557e-06,0.0002114696489823245,7.969455386274765e-09,-0.03454813406570226,-2.332216116134645e-08,-0.0002114696489823251,-7.969455386274764e-09,0.0003420242229656652,3.533870807057621e-06
1,15.84893192461113,0.0,0.0,0.0,34.20610716726394,-0.003378818482577949,34.20269203891012,0.3400845474360644,1.0,0.0,0.0,0.0,0.03420610716726395,-3.378818482577948e-06,-0.03475960373663544,-3.030823044922117e-08,-0.03420610716726395,3.378818482577948e-06,0.0003420269203891012,3.400845474362518e-06,0.0002114696489823949,8.281238665625613e-09,-0.03454813408765304,-2.202699178359556e-08,-0.0002114696489824014,-8.281238665625618e-09,0.0003420269203891012,3.400845474360644e-06
1,16.46897865482867,0.0,0.0,0.0,34.20610468942097,-0.003252061149656616,34.20294185614114,0.3272825384014519,1.0,0.0,0.0,0.0,0.03420610468942097,-3.252061149656616e-06,-0.03475960375696485,-2.936945398745871e-08,-0.03420610468942097,3.252061149656616e-06,0.0003420294185614114,3.272825384018127e-06,0.0002114696489824707,8.60521963177331e-09,-0.03454813410798237,-2.07642343556854e-08,-0.0002114696489824777,-8.605219631773311e-09,0.0003420294185614114,3.27282538401452e-06
1,17.11328304161779,0.0,0.0,0.0,34.20610239461188,-0.003130090370119281,34.20317321981227,0.3149622402553464,1.0,0.0,0.0,0.0,0.03420610239461187,-3.130090370119281e-06,-0.03475960377579256,-2.84739079191212e-08,-0.03420610239461187,3.130090370119281e-06,0.0003420317321981227,3.149622402557438e-06,0.0002114696489825523,8.94187548607818e-09,-0.03454813412681,-1.953203243304302e-08,-0.000211469648982554,-8.941875486078176e-09,0.0003420317321981227,3.149622402553464e-06
1,17.78279410038921,0.0,0.0,0.0,34.2061002693185,-0.003012726870704765,34.20338749283289,0.3031055444898527,1.0,0.0,0.0,0.0,0.03420610026931851,-3.012726870704765e-06,-0.03475960379322948,-2.762027629477417e-08,-0.03420610026931851,3.012726870704765e-06,0.000342033874928329,3.031055444896496e-06,0.0002114696489826401,9.29170209912648e-09,-0.03454813414424684,-1.832857419564768e-08,-0.0002114696489826443,-9.291702099126481e-09,0.0003420338749283289,3.031055444898527e-06
1,18.47849797422289,0.0,0.0,0.0,34.20609830102075,-0.002899798122900627,34.20358593748472,0.2916950212727525,1.0,0.0,0.0,0.0,0.03420609830102075,-2.899798122900627e-06,-0.03475960380937834,-2.6807304561931e-08,-0.03420609830102075,2.899798122900627e-06,0.0003420358593748474,2.916950212727993e-06,0.0002114696489827348,9.655214741113186e-09,-0.03454813416039559,-1.715208982081781e-08,-0.0002114696489827414,-9.655214741113186e-09,0.0003420358593748473,2.916950212727525e-06
1,19.201419386388,0.0,0.0,0.0,34.20609647812294,-0.002791138093379509,34.2037697228471,0.2807138942287151,1.0,0.0,0.0,0.0,0.03420609647812294,-2.791138093379509e-06,-0.03475960382433425,-2.603379775458733e-08,-0.03420609647812294,2.791138093379509e-06,0.000342037697228471,2.807138942282395e-06,0.0002114696489828368,1.003294884079905e-08,-0.03454813417535142,-1.600084891378828e-08,-0.0002114696489828385,-1.003294884079905e-08,0.000342037697228471,2.807138942287151e-06
1,19.95262314968878,0.0,0.0,0.0,34.20609478988567,-0.002686587003348294,34.2039399316747,0.270146016133809,1.0,0.0,0.0,0.0,0.03420609478988567,-2.686587003348294e-06,-0.03475960383818536,-2.529861876515521e-08,-0.03420609478988567,2.686587003348294e-06,0.0003420393993167471,2.701460161344921e-06,0.0002114696489829467,1.042546077415981e-08,-0.03454813418920241,-1.48731579909954e-08,-0.0002114696489829496,-1.042546077415981e-08,0.0003420393993167471,2.70146016133809e-06
1,20.73321573485953,0.0,0.0,0.0,34.20609322636249,-0.002585991096903559,34.20409756676855,0.2599758454924829,1.0,0.0,0.0,0.0,0.03420609322636249,-2.585991096903559e-06,-0.03475960385101325,-2.460068669992696e-08,-0.03420609322636249,2.585991096903559e-06,0.0003420409756676854,2.599758454923289e-06,0.0002114696489830653,1.083332868388918e-08,-0.03454813420203019,-1.376735801603778e-08,-0.0002114696489830675,-1.083332868388918e-08,0.0003420409756676855,2.599758454924829e-06
