case,frequency_real,frequency_imag,v(buf)_real,v(buf)_imag,v(hp)_real,v(hp)_imag,v(vn)_real,v(vn)_imag,v(in)_real,v(in)_imag,v(out)_real,v(out)_imag,v(vp)_real,v(vp)_imag,i(vp)_real,i(vp)_imag,i(vin)_real,i(vin)_imag,i(rh)_real,i(rh)_imag,i(rl)_real,i(rl)_imag,i(vn)_real,i(vn)_imag,i(ch)_real,i(ch)_imag,i(cl)_real,i(cl)_imag
1,2.712272579332025,0.0,0.0002903341361128894,0.01703657598608712,0.0002903297971078869,0.01703659313703295,0.0,0.0,1.0,0.0,0.0002932374516779336,0.01703652601340742,0.0,0.0,1.467654761590708e-10,9.137134744565539e-11,-2.903327004058579e-08,-1.703676350296432e-06,2.903297971078869e-08,1.703659313703295e-06,-2.903315565044211e-10,4.99726796991673e-12,1.467654761590708e-10,9.137134744565539e-11,2.903327004058579e-08,1.703676350296432e-06,-2.903315565044157e-10,4.997267970244777e-12
1,2.81838293126445,0.0,0.0003134883282139532,0.01770267606801596,0.0003134836431726338,0.01770269389607404,0.0,0.0,1.0,0.0,0.0003166231829080461,0.01770261999904587,0.0,0.0,1.584700087624812e-10,9.473668388399609e-11,-3.134867780090654e-08,-1.7702870923013e-06,3.134836431726338e-08,1.770269389607404e-06,-3.134854694092858e-10,5.606897009180489e-12,1.584700087624812e-10,9.473668388399609e-11,3.134867780090654e-08,1.7702870923013e-06,-3.134854694092896e-10,5.606897008755873e-12
1,2.928644564625232,0.0,0.0003384884454954354,0.01839478551187411,0.0003384833868306933,0.01839480404428199,0.0,0.0,1.0,0.0,0.0003418732982258997,0.01839472260302835,0.0,0.0,1.711076575092456e-10,9.820815016249596e-11,-3.384867716645617e-08,-1.839498799232243e-06,3.384833868306933e-08,1.839480404428199e-06,-3.38485273046425e-10,6.290884575418932e-12,1.711076575092456e-10,9.820815016249596e-11,3.384867716645617e-08,1.839498799232243e-06,-3.384852730464215e-10,6.290884575678426e-12
1,3.043219887107717,0.0,0.0003654815472408732,0.01911391576662502,0.000365476085167821,0.01911393503177698,0.0,0.0,1.0,0.0,0.0003691363274601958,0.01911384518364525,0.0,0.0,1.847527599251097e-10,1.017867855973575e-10,-3.654797399286726e-08,-1.91141261711273e-06,3.654760851678211e-08,1.911393503177698e-06,-3.654780219322597e-10,7.058297976647588e-12,1.847527599251097e-10,1.017867855973575e-10,3.654797399286726e-08,1.91141261711273e-06,-3.654780219322599e-10,7.058297976533156e-12
1,3.162277660168374,0.0,0.0003946263913066596,0.01986111710846575,0.0003946204936677952,0.01986113713596914,0.0,0.0,1.0,0.0,0.0003985726159910708,0.01986103791536907,0.0,0.0,1.99485566940486e-10,1.054732913421258e-10,-3.946244398727319e-08,-1.98613357473405e-06,3.946204936677953e-08,1.986113713596914e-06,-3.946224684411165e-10,7.919309667758778e-12,1.99485566940486e-10,1.054732913421258e-10,3.946244398727319e-08,1.98613357473405e-06,-3.946224684411135e-10,7.919309667785083e-12
1,3.285993247600649,0.0,0.0004260943618920085,0.02063748006938987,0.0004260879939685155,0.02063750089012503,0.0,0.0,1.0,0.0,0.0004303552617966347,0.02063739121607141,0.0,0.0,2.153927117841772e-10,1.092679692386855e-10,-4.260922548484553e-08,-2.063770726513393e-06,4.260879939685155e-08,2.063750089012503e-06,-4.260899904626149e-10,8.885331845981393e-12,2.153927117841772e-10,1.092679692386855e-10,4.260922548484553e-08,2.063770726513393e-06,-4.260899904626143e-10,8.885331846191109e-12
1,3.414548873833596,0.0,0.0004600704704135999,0.02144413691064684,0.0004600635947216914,0.02144415855683088,0.0,0.0,1.0,0.0,0.000464671126335057,0.02144403721897278,0.0,0.0,2.325677159364839e-10,1.131706573072322e-10,-4.600681953576385e-08,-2.144437299841645e-06,4.600635947216915e-08,2.144415855683088e-06,-4.600655921457127e-10,9.96916740547693e-12,2.325677159364839e-10,1.131706573072322e-10,4.600681953576385e-08,2.144437299841645e-06,-4.600655921457076e-10,9.96916740571631e-12
1,3.548133892335748,0.0,0.0004967544351666316,0.02228226314152268,0.0004967470112377572,0.02228228564677743,0.0,0.0,1.0,0.0,0.0005017219250007109,0.02228215128973021,0.0,0.0,2.51111534753948e-10,1.171806505995132e-10,-4.967519787078696e-08,-2.22825084696339e-06,4.967470112377573e-08,2.228228564677743e-06,-4.967489834079259e-10,1.11851792473916e-11,2.51111534753948e-10,1.171806505995132e-10,4.967519787078696e-08,2.22825084696339e-06,-4.967489834079205e-10,1.118517924759077e-11
1,3.686945064519569,0.0,0.0005363618458824292,0.02315307908372215,0.0005363538300260787,0.02315310248314673,0.0,0.0,1.0,0.0,0.0005417254033255952,0.02315295358892046,0.0,0.0,2.711331461538631e-10,1.212966168478991e-10,-5.363591935643789e-08,-2.315333401417155e-06,5.363538300260788e-08,2.315310248314673e-06,-5.363557443166045e-10,1.254948016927993e-11,2.711331461538631e-10,1.212966168478991e-10,5.363591935643789e-08,2.315333401417156e-06,-5.363557443166082e-10,1.254948016891274e-11
1,3.831186849557281,0.0,0.0005791254197513409,0.02405785148146474,0.0005791167647990769,0.024057875811713,0.0,0.0,1.0,0.0,0.0005849166055604098,0.0240577106800065,0.0,0.0,2.927501853706006e-10,1.255164971524642e-10,-5.791225559667248e-08,-2.405811639047112e-06,5.791167647990769e-08,2.4057875811713e-06,-5.791185809068869e-10,1.408014582426898e-11,2.927501853706006e-10,1.255164971524642e-10,5.791225559667248e-08,2.405811639047112e-06,-5.79118580906886e-10,1.408014582378899e-11
