case,time,v(limit),v(clamp),v(in),i(vin),i(dp),i(cc),i(dc),i(rs),i(dn),i(rl)
2,0.008297636118871203,0.6131730160695643,5.244646319801845,2.866623552919957,-0.002305874667295613,0.002253449364152393,5.242413038059057e-05,2.233281364373752e-08,0.002253450536850392,-1.172697948204302e-09,5.244646319801845e-05
2,0.008298636118871203,0.6130643999967482,5.238507903490742,2.861009068670201,-0.002300306950619457,0.00224794355052127,5.236228188076897e-05,2.279715004778288e-08,0.002247944668673453,-1.11815158999928e-09,5.238507903490742e-05
2,0.008299636118871202,0.6129533316182807,5.232257163518538,2.855281636681241,-0.002294627619888632,0.002242327171041447,5.229931475975169e-05,2.325687147521448e-08,0.00224232830506296,-1.134021579484818e-09,5.232257163518539e-05
2,0.008300636118871201,0.6128397980972088,5.225894337212395,2.849441483062296,-0.00228883690770326,0.002236600605695638,5.223522267167047e-05,2.372069634107898e-08,0.002236601684965087,-1.079269504914172e-09,5.225894337212396e-05
2,0.0083016361188712,0.6127237861884611,5.219419666325505,2.843488838372625,-0.002282935069015246,0.002230763957257742,5.217001676371957e-05,2.417989537619543e-08,0.002230765052184164,-1.094926344231537e-09,5.219419666325506e-05
2,0.0083026361188712,0.6126052823436111,5.212833397027572,2.837423937612448,-0.002276922346116405,0.002224817615311681,5.210369077951471e-05,2.464318693961312e-08,0.002224818655268837,-1.039957109606981e-09,5.212833397027573e-05
2,0.008303636118871199,0.6124842725932663,5.206135779895098,2.831247020213676,-0.00227079900364234,0.002218761692230897,5.203625595312511e-05,2.510184181843647e-08,0.00221876274762041,-1.055389147261059e-09,5.206135779895099e-05
2,0.008304636118871198,0.6123607426514225,5.199327069901436,2.824958330030404,-0.00226456529356535,0.002212596587187199,5.196770611665125e-05,2.556457831637809e-08,0.002212597587378982,-1.000190886900376e-09,5.199327069901437e-05
2,0.008305636118871198,0.612234677797367,5.192407526406809,2.818558115329366,-0.002258221490195284,0.002206322422145801,5.18980525930357e-05,2.602266727592988e-08,0.002206323437531999,-1.0153860348988e-09,5.19240752640681e-05
2,0.008306636118871197,0.6121060629795221,5.185377413148014,2.81204662878008,-0.00225176785517257,0.002199939605853629,5.182728930080982e-05,2.648482694523063e-08,0.002199940565800558,-9.599464304251317e-10,5.185377413148015e-05
2,0.008307636118871196,0.6119748826969499,5.178236998228024,2.805424127444884,-0.002245204672470289,0.002193448269855458,5.17554276501242e-05,2.694232822263406e-08,0.002193449244747935,-9.748921333552252e-10,5.178236998228025e-05
2,0.008308636118871195,0.6118411211026235,5.170986554105394,2.798690872768785,-0.002238532213387002,0.002186848832467225,5.168246164793944e-05,2.740388930014609e-08,0.002186849751666161,-9.191983833118828e-10,5.170986554105394e-05
2,0.008309636118871195,0.6117047618844802,5.163626357583538,2.791847130569163,-0.002231750771549317,0.002180141434802163,5.160840279078149e-05,2.786078113165191e-08,0.002180142368684683,-9.338815859988256e-10,5.163626357583538e-05
2,0.008310636118871194,0.6115657883680454,5.156156689799754,2.784893171025234,-0.002224860627904385,0.002173326504736894,5.153324517231939e-05,2.83217218531008e-08,0.002173327382657189,-8.779203713665781e-10,5.156156689799755e-05
2,0.008311636118871193,0.611424183397009,5.148577836214156,2.777829268667415,-0.002217862085722232,0.002166404192943117,5.145700037595402e-05,2.877798247381626e-08,0.002166405085270405,-8.923274829380325e-10,5.148577836214156e-05
2,0.008312636118871192,0.6112799294352675,5.140890086598393,2.770655702366473,-0.002210755435589269,0.002159374936845926,5.137966258111915e-05,2.923828107311496e-08,0.002159375772931205,-8.360849317672467e-10,5.140890086598394e-05
2,0.008313636118871192,0.6111330084469169,5.133093735024231,2.763372755322542,-0.002203540990411376,0.002152238896673264,5.130124345770204e-05,2.969388871568245e-08,0.002152239746875625,-8.502017894554051e-10,5.133093735024232e-05
2,0.008314636118871191,0.6109834019976766,5.125189079851873,2.755980715053866,-0.002196219050406745,0.00214499651939315,5.122173727145629e-05,3.015352342448231e-08,0.00214499731305619,-7.936634385166285e-10,5.125189079851874e-05
2,0.00831563611887119,0.6108310911341163,5.117176423718282,2.748479873385556,-0.002188789938108621,0.002137647974775891,5.114115577709022e-05,3.060845631876597e-08,0.002137648782251439,-8.0747526593337e-10,5.117176423718283e-05
2,0.00831663611887119,0.610676056484632,5.109056073525166,2.740870526437995,-0.002181253963360799,0.002130193719326878,5.105949332606663e-05,3.106740536481353e-08,0.002130194469953363,-7.506260185160322e-10,5.109056073525167e-05
2,0.008317636118871189,0.6105182781378717,5.100828340426871,2.733152974615163,-0.002173611458318448,0.002122633932359896,5.097676175869204e-05,3.152164173714533e-08,0.002122634696477292,-7.641173854717972e-10,5.100828340426872e-05
2,0.008318636118871188,0.610357735742988,5.092493539818132,2.725327522592811,-0.002165862742444589,0.002114969079908824,5.089295551102824e-05,3.197988334405361e-08,0.002114969786849823,-7.069414665020511e-10,5.092493539818132e-05
2,0.008319636118871187,0.6101944083873532,5.08405199132156,2.717394479306374,-0.00215800815751216,0.002107199350822597,5.080808650803625e-05,3.243340141581041e-08,0.002107200070919021,-7.20096241159068e-10,5.084051991321561e-05
2,0.008320636118871187,0.6100282746960963,5.075504018775076,2.70935415793882,-0.002150048032599502,0.002099325220665804,5.07221492704879e-05,3.289091380256764e-08,0.002099325883242723,-6.625771506616824e-10,5.075504018775077e-05
2,0.008321636118871186,0.6098593127089292,5.066849950219101,2.701206875908267,-0.002141982719093565,0.002091346887820866,5.063515580655542e-05,3.334369178967987e-08,0.002091347563199338,-6.753784503234708e-10,5.066849950219102e-05
2,0.008322636118871185,0.6096874999789375,5.058090117883633,2.69295295485548,-0.002133812555688003,0.002083264837378085,5.054710072210922e-05,3.380045316889609e-08,0.002083265454876543,-6.174989110031963e-10,5.058090117883634e-05
2,0.008323636118871184,0.6095128134485746,5.049224858175053,2.68459272063109,-0.002125537903382009,0.002075079277253922,5.04579961088103e-05,3.425246928112779e-08,0.002075079907182515,-6.299290498843976e-10,5.049224858175053e-05
2,0.008324636118871184,0.6093352295474288,5.040254511662955,2.676126503282849,-0.002117159110482351,0.002066790702063837,5.036783665490763e-05,3.470845785879774e-08,0.00206679127373542,-5.716709512577912e-10,5.040254511662955e-05
2,0.008325636118871183,0.6091547240675151,5.03117942306663,2.667554637042522,-0.002108676547605255,0.002058399329263327,5.02766345366612e-05,3.515969029807787e-08,0.002058399912975007,-5.837113824285309e-10,5.031179423066631e-05
2,0.008326636118871182,0.6089712722598961,5.021999941241464,2.658877460312699,-0.002100090572672714,0.002049905662997453,5.018438452469853e-05,3.561488427250524e-08,0.002049906188052803,-5.250557228127869e-10,5.021999941241464e-05
2,0.008327636118871181,0.6087848487090226,5.012716419165201,2.65009531565348,-0.0020914015659182,0.002041309930256863,5.009109887688101e-05,3.606531123244491e-08,0.002041310466944457,-5.366869741227493e-10,5.012716419165202e-05
