case,frequency_real,frequency_imag,v(gate)_real,v(gate)_imag,v(source)_real,v(source)_imag,v(out)_real,v(out)_imag,v(vdd)_real,v(vdd)_imag,i(vdd)_real,i(vdd)_imag,id(m1)_real,id(m1)_imag,i(rs)_real,i(rs)_imag,i(vin)_real,i(vin)_imag,i(rd)_real,i(rd)_imag
1,82.5404185268016,0.0,1.0,0.0,0.7819791919827331,-3.477341230129473e-06,-1.663785514858059,7.398598361982859e-06,0.0,0.0,-0.001663785514858059,7.398598361982859e-09,0.00166378551485602,-7.398598361973941e-09,0.001663785514856879,-7.398598361977603e-09,0.0,0.0,0.001663785514858059,-7.398598361982859e-09
1,85.76958985908915,0.0,1.0,0.0,0.7819791919814224,-3.613382830267865e-06,-1.663785514856028,7.688048575046978e-06,0.0,0.0,-0.001663785514856028,7.688048575046978e-09,0.001663785514853799,-7.688048575039443e-09,0.00166378551485409,-7.688048575038012e-09,0.0,0.0,0.001663785514856028,-7.688048575046978e-09
1,89.12509381337428,0.0,1.0,0.0,0.7819791919803425,-3.754746691218609e-06,-1.663785514851255,7.98882274727112e-06,0.0,0.0,-0.001663785514851255,7.98882274727112e-09,0.001663785514849359,-7.988822747266941e-09,0.001663785514851793,-7.988822747273638e-09,0.0,0.0,0.001663785514851255,-7.98882274727112e-09
1,92.61187281287906,0.0,1.0,0.0,0.7819791919785846,-3.901641032091207e-06,-1.663785514850654,8.301363898079366e-06,0.0,0.0,-0.001663785514850654,8.301363898079366e-09,0.001663785514849359,-8.301363898063674e-09,0.001663785514848052,-8.301363898066399e-09,0.0,0.0,0.001663785514850654,-8.301363898079366e-09
1,96.23506263980856,0.0,1.0,0.0,0.7819791919772147,-4.054282217995303e-06,-1.66378551484594,8.626132378717624e-06,0.0,0.0,-0.00166378551484594,8.626132378717624e-09,0.001663785514844918,-8.626132378706462e-09,0.001663785514845138,-8.626132378713412e-09,0.0,0.0,0.00166378551484594,-8.626132378717624e-09
1,99.99999999999969,0.0,1.0,0.0,0.7819791919754551,-4.212895078752713e-06,-1.66378551484301,8.963606550546403e-06,0.0,0.0,-0.00166378551484301,8.963606550546402e-09,0.001663785514840477,-8.963606550544046e-09,0.001663785514841394,-8.963606550537688e-09,0.0,0.0,0.00166378551484301,-8.963606550546402e-09
1,103.9122303835166,0.0,1.0,0.0,0.7819791919736536,-4.377713240039171e-06,-1.663785514839086,9.314283489453606e-06,0.0,0.0,-0.001663785514839086,9.314283489453607e-09,0.001663785514838256,-9.314283489440513e-09,0.001663785514837561,-9.314283489445046e-09,0.0,0.0,0.001663785514839086,-9.314283489453607e-09
1,107.9775162327706,0.0,1.0,0.0,0.7819791919715869,-4.548979467508594e-06,-1.663785514835785,9.678679718118668e-06,0.0,0.0,-0.001663785514835785,9.678679718118669e-09,0.001663785514833815,-9.678679718103035e-09,0.001663785514833164,-9.678679718103393e-09,0.0,0.0,0.001663785514835785,-9.678679718118669e-09
1,112.201845430196,0.0,1.0,0.0,0.7819791919694489,-4.726946024363834e-06,-1.663785514831501,1.005733196674907e-05,0.0,0.0,-0.001663785514831502,1.005733196674907e-08,0.001663785514829375,-1.00573319667344e-08,0.001663785514828615,-1.005733196673156e-08,0.0,0.0,0.001663785514831502,-1.005733196674907e-08
1,116.5914401179828,0.0,1.0,0.0,0.7819791919674264,-4.911875042925288e-06,-1.663785514824676,1.045079796367314e-05,0.0,0.0,-0.001663785514824676,1.045079796367314e-08,0.001663785514822713,-1.045079796367052e-08,0.001663785514824312,-1.045079796367083e-08,0.0,0.0,0.001663785514824676,-1.045079796367314e-08
