case,time,v(out),v(raw),v(vn),v(in),v(vp),i(vp),i(vin),i(riso),i(rl),i(vn),i(cl)
1,3.965535998849956e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,4.015535998849956e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,4.065535998849956e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,4.115535998849956e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,4.165535998849956e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,4.215535998849956e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,4.265535998849956e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,4.315535998849956e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,4.365535998849956e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,4.415535998849956e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,4.465535998849956e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,4.515535998849956e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,4.565535998849956e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,4.615535998849956e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,4.665535998849956e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,4.715535998849956e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,4.765535998849956e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,4.815535998849956e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,4.865535998849955e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,4.915535998849955e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,4.965535998849954e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,5.015535998849954e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,5.065535998849953e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,5.115535998849953e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,5.165535998849953e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,5.215535998849952e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,5.265535998849952e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,5.315535998849951e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,5.365535998849951e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,5.41553599884995e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,5.46553599884995e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,5.515535998849949e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,5.565535998849949e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,5.615535998849948e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,5.665535998849948e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,5.715535998849947e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,5.765535998849947e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,5.815535998849946e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,5.865535998849946e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,5.915535998849945e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,5.965535998849945e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,6.015535998849944e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,6.065535998849944e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,6.115535998849943e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,6.165535998849943e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,6.215535998849942e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,6.265535998849942e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,6.315535998849942e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,6.365535998849941e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,6.415535998849941e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,6.46553599884994e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,6.51553599884994e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,6.565535998849939e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,6.615535998849939e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,6.665535998849938e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,6.715535998849938e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,6.765535998849937e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,6.815535998849937e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,6.865535998849936e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,6.915535998849936e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,6.965535998849935e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,7.015535998849935e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,7.065535998849934e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,7.115535998849934e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,7.165535998849933e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,7.215535998849933e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,7.265535998849932e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
