case,frequency_real,frequency_imag,v(gate)_real,v(gate)_imag,v(out)_real,v(out)_imag,v(vdd)_real,v(vdd)_imag,i(vdd)_real,i(vdd)_imag,id(j1)_real,id(j1)_imag,i(vin)_real,i(vin)_imag,i(rs)_real,i(rs)_imag
1,177.8279410038916,0.0,1.0,0.0,0.7186588323796054,1.836227789262575e-07,0.0,0.0,-0.001529061344206263,2.023553763013756e-09,0.001529061344206263,-2.023553763013756e-09,-1.282257833668001e-12,-2.414240526686644e-09,0.001529061345488522,3.906867636728883e-10
1,184.7849797422283,0.0,1.0,0.0,0.7186588323796148,1.90806525074462e-07,0.0,0.0,-0.001529061344206211,2.102719848157144e-09,0.001529061344206211,-2.102719848157144e-09,-1.282330913663972e-12,-2.508691178102808e-09,0.001529061345488542,4.059713299456639e-10
1,192.0141938638794,0.0,1.0,0.0,0.7186588323796251,1.982713159221508e-07,0.0,0.0,-0.001529061344206154,2.184983092936949e-09,0.001529061344206154,-2.184983092936949e-09,-1.282409823628484e-12,-2.606836956601099e-09,0.001529061345488564,4.218538636641506e-10
1,199.5262314968871,0.0,1.0,0.0,0.7186588323796363,2.060281465854478e-07,0.0,0.0,-0.001529061344206092,2.270464665373491e-09,0.001529061344206092,-2.270464665373491e-09,-1.282495028648225e-12,-2.708822424065933e-09,0.001529061345488588,4.383577586924422e-10
1,207.3321573485946,0.0,1.0,0.0,0.7186588323796484,2.140884423347513e-07,0.0,0.0,-0.001529061344206026,2.359290473859197e-09,0.001529061344206026,-2.359290473859197e-09,-1.282587030912246e-12,-2.814797797975689e-09,0.001529061345488614,4.555073241164922e-10
1,215.4434690031875,0.0,1.0,0.0,0.7186588323796613,2.224640754233592e-07,0.0,0.0,-0.001529061344205954,2.451591352612881e-09,0.001529061344205954,-2.45159135261288e-09,-1.282686372671814e-12,-2.924919172662581e-09,0.001529061345488641,4.733278200497005e-10
1,223.872113856833,0.0,1.0,0.0,0.7186588323796754,2.311673825744703e-07,0.0,0.0,-0.001529061344205876,2.54750325438941e-09,0.001529061344205877,-2.547503254389411e-09,-1.282793639436378e-12,-3.039348749228709e-09,0.001529061345488671,4.918454948392986e-10
1,232.6305067153616,0.0,1.0,0.0,0.7186588323796905,2.402111831523167e-07,0.0,0.0,-0.001529061344205793,2.647167450728645e-09,0.001529061344205794,-2.647167450728645e-09,-1.282909463424497e-12,-3.158255074456978e-09,0.001529061345488703,5.110876237283334e-10
1,241.7315480804093,0.0,1.0,0.0,0.718658832379707,2.496087980441925e-07,0.0,0.0,-0.001529061344205703,2.75073074003854e-09,0.001529061344205703,-2.75073074003854e-09,-1.28303452729007e-12,-3.281813289068737e-09,0.001529061345488738,5.310825490301969e-10
1,251.1886431509569,0.0,1.0,0.0,0.7186588323797246,2.593740692811925e-07,0.0,0.0,-0.001529061344205605,2.858345663818978e-09,0.001529061344205606,-2.858345663818978e-09,-1.28316956814582e-12,-3.410205385693856e-09,0.001529061345488776,5.518597218748775e-10
