case,time,v(b),v(plus),v(sum),v(vn),v(a),v(out),v(vp),i(vp),i(v1),i(r1),i(rf),i(r3),i(vn),i(v2),i(r2)
1,0.002039500000000005,0.0,0.01228222714848704,0.01227248442535717,-12.0,0.02456457711924557,0.02454509157555858,12.0,-0.001148132695400934,-1.228234997075853e-06,-1.227248442535717e-06,1.227260715020142e-06,1.228222714848704e-06,0.001146905705299681,1.227248442535718e-06,1.228234997075853e-06
1,0.002040500000000005,0.0,0.01258651450085388,0.01257678681965431,-12.0,0.02517315486685277,0.02515369940717682,12.0,-0.001148147783783239,-1.258664036599889e-06,-1.257678681965431e-06,1.257691258752251e-06,1.258651450085388e-06,0.001146890369847998,1.257678681965433e-06,1.258664036599889e-06
1,0.002041500000000005,0.0,0.01289030495917971,0.01288059270396104,-12.0,0.02578073882140901,0.02576131421384912,12.0,-0.001148162844528402,-1.28904338622293e-06,-1.288059270396104e-06,1.288072150988808e-06,1.289030495917971e-06,0.001146875056399721,1.288059270396105e-06,1.28904338622293e-06
1,0.0020425000000000052,0.0,0.01319358653033757,0.01318389008450658,-12.0,0.02638730499654044,0.026367912007914,12.0,-0.001148177877056814,-1.319371846620287e-06,-1.318389008450658e-06,1.318402192340743e-06,1.319358653033757e-06,0.001146859765574363,1.318389008450657e-06,1.319371846620287e-06
1,0.0020435000000000054,0.0,0.01349634724129016,0.01348666698766014,-12.0,0.02699282944605274,0.02697346884199017,12.0,-0.001148192880790309,-1.349648220476258e-06,-1.348666698766014e-06,1.348680185433002e-06,1.349634724129016e-06,0.001146844497990874,1.348666698766013e-06,1.349648220476258e-06
1,0.0020445000000000055,0.0,0.01379857513956321,0.01378891146028125,-12.0,0.02759728826487781,0.02757796080967711,12.0,-0.001148207855152192,-1.37987131253146e-06,-1.378891146028125e-06,1.378904934939585e-06,1.379857513956321e-06,0.001146829254267615,1.378891146028127e-06,1.37987131253146e-06
1,0.0020455000000000056,0.0,0.01410025829371677,0.01409061157029936,-12.0,0.02820065759001647,0.02818136404671442,12.0,-0.001148222799567247,-1.410039929629971e-06,-1.409061157029936e-06,1.409075247641506e-06,1.410025829371677e-06,0.001146814035022332,1.409061157029937e-06,1.410039929629971e-06
1,0.0020465000000000058,0.0,0.01440138479381623,0.01439175540708964,-12.0,0.02880291360148041,0.02878365473173336,12.0,-0.00114823771346177,-1.440152880766417e-06,-1.439175540708964e-06,1.439189932464372e-06,1.440138479381623e-06,0.001146798840872127,1.439175540708965e-06,1.440152880766417e-06
1,0.002047500000000006,0.0,0.01470194275190324,0.01469233108202763,-12.0,0.02940403252323401,0.02938480908736608,12.0,-0.001148252596263581,-1.470208977133076e-06,-1.469233108202763e-06,1.469247800533845e-06,1.470194275190324e-06,0.001146783672433438,1.469233108202766e-06,1.470208977133077e-06
1,0.002048500000000006,0.0,0.01500192030246408,0.01499232672888407,-12.0,0.03000399062413119,0.02998480338103542,12.0,-0.001148267447402044,-1.500207032166711e-06,-1.499232672888407e-06,1.499247665215136e-06,1.500192030246408e-06,0.001146768530321999,1.499232672888409e-06,1.500207032166711e-06
