case,frequency_real,frequency_imag,v(gate)_real,v(gate)_imag,v(source)_real,v(source)_imag,v(out)_real,v(out)_imag,v(vdd)_real,v(vdd)_imag,i(vdd)_real,i(vdd)_imag,id(j1)_real,id(j1)_imag,i(rs)_real,i(rs)_imag,i(cs)_real,i(cs)_imag,i(vin)_real,i(vin)_imag,i(rd)_real,i(rd)_imag
2,584341.4133735087,0.0,1.0,0.0,3.561405735499448e-07,-7.196867630671006e-05,-5.8127949015647,0.04996147748184901,0.0,0.0,-0.002642179500711227,2.270976249174955e-05,0.002642179500711227,-2.270976249174955e-05,3.561405735499448e-10,-7.196867630671005e-08,0.002642348218327191,1.307579155663839e-05,-1.690737565369108e-07,-3.571358537208122e-05,0.002642179500711227,-2.270976249174955e-05
2,607202.1956909792,0.0,1.0,0.0,3.55612267075181e-07,-6.925910505374597e-05,-5.8127651848904,0.05194804182119631,0.0,0.0,-0.002642165993132,2.361274628236196e-05,0.002642165993132,-2.361274628236195e-05,3.55612267075181e-10,-6.925910505374597e-08,0.002642348383483433,1.356719088881962e-05,-1.82745963700226e-07,-3.711067806612783e-05,0.002642165993132,-2.361274628236196e-05
2,630957.3444801836,0.0,1.0,0.0,3.55122987502605e-07,-6.665154762303464e-05,-5.812733097381891,0.05401108553994539,0.0,0.0,-0.002642151407900859,2.455049342724791e-05,0.002642151407900859,-2.45504934272479e-05,3.55122987502605e-10,-6.665154762303464e-08,0.002642348561517343,1.40785735463546e-05,-1.975087394709076e-07,-3.856241542597947e-05,0.002642151407900859,-2.455049342724791e-05
2,655641.8494179688,0.0,1.0,0.0,3.546698510722433e-07,-6.414216326520878e-05,-5.812698449988726,0.05615364290909995,0.0,0.0,-0.002642135659085785,2.552438314049998e-05,0.002642135659085784,-2.552438314049998e-05,3.546698510722432e-10,-6.414216326520878e-08,0.002642348753477849,1.461069273579116e-05,-2.134490619164659e-07,-4.007093371302594e-05,0.002642135659085785,-2.552438314049998e-05
2,681292.0690579507,0.0,1.0,0.0,3.542501870478343e-07,-6.172725583289922e-05,-5.812661038584354,0.05837886477505241,0.0,0.0,-0.002642118653901979,2.653584762502383e-05,0.002642118653901978,-2.653584762502382e-05,3.542501870478343e-10,-6.172725583289922e-08,0.002642348960495899,1.516433220416107e-05,-2.306608441077968e-07,-4.163845257335199e-05,0.002642118653901979,-2.653584762502383e-05
2,707945.7843841269,0.0,1.0,0.0,3.53861521975807e-07,-5.940326833657743e-05,-5.812620642764952,0.0606900231343708,0.0,0.0,-0.002642100292165887,2.758637415198673e-05,0.002642100292165887,-2.758637415198673e-05,3.53861521975807e-10,-5.940326833657743e-08,0.002642349183791114,1.574030739302125e-05,-2.492454867487776e-07,-4.326727827667141e-05,0.002642100292165887,-2.758637415198673e-05
2,735642.2544596299,0.0,1.0,0.0,3.535015651070214e-07,-5.716677770536644e-05,-5.812577024552623,0.06309051587896045,0.0,0.0,-0.002642080465705738,2.867750721770929e-05,0.002642080465705737,-2.86775072177093e-05,3.535015651070215e-10,-5.716677770536645e-08,0.002642349424678963,1.633946663913447e-05,-2.693124747905744e-07,-4.49598070791384e-05,0.002642080465705738,-2.867750721770929e-05
2,764422.2742525883,0.0,1.0,0.0,3.53168194895349e-07,-5.501448974510378e-05,-5.812529926995386,0.06558387171760612,0.0,0.0,-0.002642059057725175,2.981085078073005e-05,0.002642059057725175,-2.981085078073005e-05,3.53168194895349e-10,-5.501448974510379e-08,0.002642349684578503,1.696269242355261e-05,-2.909800215227315e-07,-4.671852871453756e-05,0.002642059057725175,-2.981085078073005e-05
2,794328.234724269,0.0,1.0,0.0,3.528594464935178e-07,-5.294323428623016e-05,-5.812479072655788,0.06817375528004035,0.0,0.0,-0.002642035942116267,3.098807058183653e-05,0.002642035942116267,-3.098807058183652e-05,3.528594464935178e-10,-5.294323428623016e-08,0.00264234996502073,1.761090267093637e-05,-3.143757639089093e-07,-4.854603001848666e-05,0.002642035942116267,-3.098807058183653e-05
2,825404.1852680054,0.0,1.0,0.0,3.525735001725235e-07,-5.094996051435661e-05,-5.812424161979253,0.07086397240981812,0.0,0.0,-0.002642010982717842,3.221089654991733e-05,0.002642010982717842,-3.221089654991733e-05,3.525735001725235e-10,-5.094996051435661e-08,0.002642350267657574,1.828505210101829e-05,-3.396375132324713e-07,-5.044499869042127e-05,0.002642010982717842,-3.221089654991733e-05
2,857695.8985908806,0.0,1.0,0.0,3.523086705963523e-07,-4.903173247663325e-05,-5.812364871532686,0.07365847565240544,0.0,0.0,-0.002641984032514857,3.348112529654792e-05,0.002641984032514857,-3.348112529654793e-05,3.523086705963523e-10,-4.903173247663325e-08,0.002642350594271624,1.898613363419213e-05,-3.669140654376324e-07,-5.241822719826343e-05,0.002641984032514857,-3.348112529654792e-05
2,891250.9381337314,0.0,1.0,0.0,3.520633968888005e-07,-4.718572475729997e-05,-5.812300852103009,0.07656136994500791,0.0,0.0,-0.002641954932774095,3.480062270227632e-05,0.002641954932774095,-3.480062270227632e-05,3.520633968888005e-10,-4.718572475729998e-08,0.002642350946786595,1.971517985329041e-05,-3.963660758973383e-07,-5.446861683080944e-05,0.002641954932774095,-3.480062270227632e-05
2,926118.7281287787,0.0,1.0,0.0,3.5183623343385e-07,-4.54092183160505e-05,-5.812231726644576,0.07957691851477348,0.0,0.0,-0.002641923512111171,3.617132659762431e-05,0.00264192351211117,-3.617132659762431e-05,3.5183623343385e-10,-4.540921831605051e-08,0.002642351327278648,2.047326452369359e-05,-4.28167003711335e-07,-5.659918190300186e-05,0.002641923512111171,-3.617132659762431e-05
2,962350.6263980733,0.0,1.0,0.0,3.516258413553727e-07,-4.369959648307925e-05,-5.812157088063445,0.08270954899209701,0.0,0.0,-0.002641889585483384,3.759524954186228e-05,0.002641889585483384,-3.759524954186227e-05,3.516258413553727e-10,-4.369959648307925e-08,0.002642351737988582,2.126150417399912e-05,-4.625041310390078e-07,-5.88130541193783e-05,0.002641889585483384,-3.759524954186228e-05
2,999999.9999999839,0.0,1.0,0.0,3.51430980625951e-07,-4.205434110491244e-05,-5.812076496825672,0.0859638597458337,0.0,0.0,-0.002641852953102578,3.907448170265168e-05,0.002641852953102578,-3.907448170265168e-05,3.51430980625951e-10,-4.205434110491244e-08,0.002642352181335001,2.208105973956654e-05,-4.995796634037183e-07,-6.11134871011133e-05,0.002641852953102578,-3.907448170265168e-05
2,1039122.303835152,0.0,1.0,0.0,3.512505027583028e-07,-4.047102883534659e-05,-5.81198947837564,0.08934462644728801,0.0,0.0,-0.002641813399261655,4.061119383967637e-05,0.002641813399261655,-4.061119383967637e-05,3.512505027583028e-10,-4.047102883534659e-08,0.002642352659928522,2.293313827134595e-05,-5.396119173708212e-07,-6.350386108218696e-05,0.002641813399261655,-4.061119383967637e-05
2,1079775.162327692,0.0,1.0,0.0,3.510833440362351e-07,-3.894732756603103e-05,-5.811895520349483,0.09285680886988101,0.0,0.0,-0.002641770691067947,4.220764039540046e-05,0.002641770691067946,-4.220764039540047e-05,3.510833440362351e-10,-3.894732756603104e-08,0.002642353176587105,2.381899471249154e-05,-5.828366025027708e-07,-6.598768778032598e-05,0.002641770691067947,-4.220764039540046e-05
2,1122018.454301945,0.0,1.0,0.0,3.50928519245231e-07,-3.748099299143717e-05,-5.811794069567368,0.09650555793141169,0.0,0.0,-0.002641724577076076,4.386616269609622e-05,0.002641724577076076,-4.386616269609623e-05,3.50928519245231e-10,-3.748099299143717e-08,0.002642353734352591,2.473993374536008e-05,-6.29508205034396e-07,-6.856861544846487e-05,0.002641724577076076,-4.386616269609622e-05
2,1165914.401179813,0.0,1.0,0.0,3.507851158657191e-07,-3.606986530315477e-05,-5.811684528787235,0.1002962229858076,0.0,0.0,-0.00264167478581238,4.558919226627616e-05,0.00264167478581238,-4.558919226627616e-05,3.507851158657192e-10,-3.606986530315477e-08,0.002642354336508555,2.569731171159572e-05,-6.799014812922886e-07,-7.125043411256871e-05,0.00264167478581238,-4.558919226627616e-05
2,1211527.658628569,0.0,1.0,0.0,3.50652288694803e-07,-3.47118660086465e-05,-5.811566253201183,0.1042343593712051,0.0,0.0,-0.002641621024182356,4.73792542596387e-05,0.002641621024182355,-4.737925425963872e-05,3.50652288694803e-10,-3.47118660086465e-08,0.002642354986599573,2.669253860810792e-05,-7.343130695073221e-07,-7.4037081001738e-05,0.002641621024182356,-4.73792542596387e-05
2,1258925.411794147,0.0,1.0,0.0,3.505292548647477e-07,-3.340499486977467e-05,-5.811438546654212,0.1083257362211056,0.0,0.0,-0.002641562975751915,4.923897100959346e-05,0.002641562975751915,-4.923897100959346e-05,3.505292548647477e-10,-3.340499486977467e-08,0.002642355688452002,2.77270801618583e-05,-7.930632293417929e-07,-7.693264617658198e-05,0.002641562975751915,-4.923897100959346e-05
2,1308177.474260173,0.0,1.0,0.0,3.504152892288692e-07,-3.214732695659104e-05,-5.811300657563547,0.1125763445452067,0.0,0.0,-0.002641500298892521,5.11710657023667e-05,0.002641500298892521,-5.117106570236671e-05,3.504152892288692e-10,-3.214732695659104e-08,0.002642356446196408,2.880245998648554e-05,-8.564977191758661e-07,-7.994137836189565e-05,0.002641500298892521,-5.11710657023667e-05
2,1359356.390878503,0.0,1.0,0.0,3.503097200876278e-07,-3.093700981205019e-05,-5.811151774514946,0.1169924055863165,0.0,0.0,-0.002641432624779521,5.317836617559839e-05,0.00264143262477952,-5.317836617559839e-05,3.503097200876278e-10,-3.093700981205019e-08,0.002642357264291776,2.992026182391477e-05,-9.249898219755579e-07,-8.306769098970111e-05,0.002641432624779521,-5.317836617559839e-05
2,1412537.544622731,0.0,1.0,0.0,3.50211925229739e-07,-2.977226072347021e-05,-5.810991021510713,0.1215803794594912,0.0,0.0,-0.002641359555232142,5.526380884522329e-05,0.002641359555232142,-5.526380884522328e-05,3.502119252297389e-10,-2.977226072347021e-08,0.002642358147551618,3.108213187421923e-05,-9.98942531400088e-07,-8.631616845871904e-05,0.002641359555232142,-5.526380884522329e-05
2,1467799.267622045,0.0,1.0,0.0,3.501213282649672e-07,-2.865136409672157e-05,-5.810817452842095,0.1263469740792137,0.0,0.0,-0.002641280660382771,5.743044276327895e-05,0.002641280660382771,-5.743044276327895e-05,3.501213282649672e-10,-2.865136409672157e-08,0.002642359101172147,3.228978121712804e-05,-1.078790910704177e-06,-8.969157261631026e-05,0.002641280660382771,-5.743044276327895e-05
2,1525222.956538993,0.0,1.0,0.0,3.500373952269905e-07,-2.757266892927705e-05,-5.81063004755667,0.1312991543800086,0.0,0.0,-0.002641195476162123,5.96814338090948e-05,0.002641195476162123,-5.968143380909479e-05,3.500373952269905e-10,-2.757266892927705e-08,0.002642360130762682,3.354498832870404e-05,-1.165004637954824e-06,-9.319884946886955e-05,0.002641195476162123,-5.96814338090948e-05
2,1584893.192461087,0.0,1.0,0.0,3.499596314263162e-07,-2.653458637840015e-05,-5.810427703489105,0.136444151835393,0.0,0.0,-0.002641103501585957,6.202006901608773e-05,0.002641103501585956,-6.202006901608775e-05,3.499596314263162e-10,-2.653458637840015e-08,0.002642361242378442,3.484960169685134e-05,-1.258090752116812e-06,-9.684313612656069e-05,0.002641103501585957,-6.202006901608773e-05
2,1646897.865482841,0.0,1.0,0.0,3.498875785346956e-07,-2.553558742089044e-05,-5.810209230821227,0.1417894742794444,0.0,0.0,-0.00264100419582783,6.444976103611109e-05,0.00264100419582783,-6.444976103611108e-05,3.498875785346955e-10,-2.553558742089044e-08,0.002642362442555922,3.620554253945087e-05,-1.358596615671182e-06,-0.0001006297679881411,0.00264100419582783,-6.444976103611109e-05
2,1711328.304161752,0.0,1.0,0.0,3.49820811883861e-07,-2.457420060093873e-05,-5.809973345134767,0.1473429160345376,0.0,0.0,-0.002640896975061258,6.697405274297162e-05,0.002640896975061258,-6.697405274297162e-05,3.49820811883861e-10,-2.457420060093873e-08,0.002642363738351067,3.761480762906827e-05,-1.467113110621021e-06,-0.000104564286171439,0.002640896975061258,-6.697405274297162e-05
2,1778279.410038893,0.0,1.0,0.0,3.497589379626621e-07,-2.364900986277478e-05,-5.809718659917383,0.1531125683479394,0.0,0.0,-0.002640781209053356,6.959662197633609e-05,0.002640781209053356,-6.959662197633609e-05,3.497589379626621e-10,-2.364900986277478e-08,0.002642365137380433,3.907947222832724e-05,-1.584278086014227e-06,-0.0001086524451948005,0.002640781209053356,-6.959662197633609e-05
2,1847849.79742226,0.0,1.0,0.0,3.497015920978519e-07,-2.275865246491516e-05,-5.80944367847956,0.1591068301389222,0.0,0.0,-0.002640656217490709,7.232128642678282e-05,0.002640656217490709,-7.232128642678282e-05,3.497015920978519e-10,-2.275865246491516e-08,0.002642366647865595,4.060169314019651e-05,-1.710780076478421e-06,-0.0001129002209145144,0.002640656217490709,-7.232128642678282e-05
2,1920141.938638769,0.0,1.0,0.0,3.496484363048577e-07,-2.190181697293919e-05,-5.809146785236841,0.1653344190568679,0.0,0.0,-0.002640521266016746,7.515200866221266e-05,0.002640521266016746,-7.515200866221267e-05,3.496484363048578e-10,-2.190181697293918e-08,0.002642368278681034,4.218371187759937e-05,-1.847362312724507e-06,-0.0001173138187228391,0.002640521266016746,-7.515200866221266e-05
2,1995262.314968846,0.0,1.0,0.0,3.495991572958707e-07,-2.107724132783626e-05,-5.808826236308476,0.1718043828494392,0.0,0.0,-0.002640375561958398,7.809290129519966e-05,0.002640375561958398,-7.809290129519964e-05,3.495991572958707e-10,-2.107724132783626e-08,0.002642370039405779,4.382785795691931e-05,-1.994827046537658e-06,-0.0001218996820107911,0.002640375561958398,-7.809290129519966e-05
2,2073321.57348592,0.0,1.0,0.0,3.49553464633517e-07,-2.028371098707961e-05,-5.808480149379844,0.178526111038282,0.0,0.0,-0.002640218249718111,8.114823229012818e-05,0.002640218249718111,-8.114823229012819e-05,3.49553464633517e-10,-2.028371098707961e-08,0.00264237194037909,4.553655232014744e-05,-2.154040214443526e-06,-0.0001266645008992885,0.002640218249718111,-8.114823229012818e-05
2,2154434.690031847,0.0,1.0,0.0,3.495110890192336e-07,-1.952005713568812e-05,-5.808106492772255,0.1855093468978581,0.0,0.0,-0.00264004840580557,8.432243040811732e-05,0.00264004840580557,-8.43224304081173e-05,3.495110890192336e-10,-1.952005713568812e-08,0.0026423739927605,4.731231089059343e-05,-2.325936466018688e-06,-0.0001316152212415751,0.00264004840580557,-8.432243040811732e-05
