Cbypass,time,V(in),V(em),V(col),V(out),V(base),V(low),I(RC),I(RE1),Ic(Q1),Ib(Q1),Ie(Q1)
0.0001,0.04591900000000591,-0.004872501256928908,1.345790141180038,7.694853875381838,0.1213681241298055,2.006303937974467,1.214767794791889,0.001304589734732776,0.001310223463881486,0.001302007434216261,8.216029667421625e-06,-0.001310223463883683
0.0001,0.045921000000005915,-0.004762382036352671,1.34588147360517,7.692032157658502,0.1185458959511099,2.00641416104105,1.21476701364132,0.001305444800709545,0.001311144599638503,0.001302922547605532,8.222052035016287e-06,-0.001311144599640548
0.0001,0.04592300000000592,-0.004651510780445609,1.345973441892711,7.689191526311298,0.11570476619824,2.006525133707853,1.214766250992355,0.001306305598087486,0.001312071909003554,0.00130384379454065,8.228114464833423e-06,-0.001312071909005483
0.0001,0.04592500000000592,-0.004539904997064292,1.346066031716287,7.686332424050391,0.1128451776608568,2.006636838450885,1.21476550696661,0.001307171992712003,0.001313005247496777,0.001304771031477876,8.234216020743339e-06,-0.001313005247498619
0.0001,0.04592700000000592,-0.004427582310055688,1.34615922864708,7.683455296494557,0.1099675760353369,2.006749257630547,1.214764781682796,0.001308043849547104,0.001313944469642838,0.001305704113888336,8.240355756213858e-06,-0.00131394446964455
0.0001,0.04592900000000592,-0.004314560456474163,1.346253018156119,7.680560592253414,0.1070724100069924,2.006862373494416,1.214764075256706,0.001308921032650481,0.001314889428994126,0.001306642896273756,8.246532721889798e-06,-0.001314889428995646
0.0001,0.045931000000005925,-0.00420085728378059,1.346347385616355,7.677648762864067,0.104160131186708,2.006976168180055,1.214763387801188,0.001309803405192707,0.00131583997815167,0.00130758723219508,8.25274595809215e-06,-0.001315839978153172
0.0001,0.04593300000000593,-0.004086490747024023,1.346442316304975,7.674720262725799,0.1012311940456216,2.007090623717827,1.214762719426133,0.001310690829477031,0.001316795968788416,0.001308536974286455,8.258994503296437e-06,-0.001316795968789751
0.0001,0.04593500000000593,-0.003971478906005876,1.346537795405505,7.671775549045293,0.09828605586033223,2.007205722033737,1.214762070238453,0.001311583166955972,0.001317757251670515,0.001309491974285997,8.26527738570017e-06,-0.001317757251671698
0.0001,0.04593700000000593,-0.003855839922430145,1.346633808010132,7.66881508165843,0.0953251765346792,2.007321444952286,1.214761440342064,0.001312480278285324,0.001318723676680684,0.001310452083050112,8.271593631715801e-06,-0.001318723676681828
0.0001,0.04593900000000593,-0.003739592057032347,1.34673033912187,7.665839323051699,0.0923490186211513,2.007437774199334,1.214760829837869,0.001313382023317667,0.001319695092840014,0.001311417150583105,8.277942258026326e-06,-0.001319695092841131
0.0001,0.045941000000005935,-0.003622753666698016,1.346827373656952,7.662848738374308,0.08935804733298269,2.007554691404997,1.21476023882374,0.001314288261098695,0.001320671348332112,0.00131238702605356,8.284322279630336e-06,-0.00132067134833319
0.0001,0.04594300000000594,-0.003505343201563421,1.346924896446954,7.659843795093863,0.08635273019982215,2.007672178106539,1.214759667394505,0.001315198849971557,0.001321652290524489,0.001313361557823059,8.290732702542295e-06,-0.001321652290525601
0.0001,0.04594500000000594,-0.00338737920210207,1.347022892241306,7.656824963400723,0.08333353747207095,2.007790215751291,1.214759115641925,0.001316113647454326,0.00132263776599381,0.001314340593464191,8.297172530476e-06,-0.001322637765994667
0.0001,0.04594700000000594,-0.003268880296196425,1.347121345709385,7.653792715525086,0.08030094143796962,2.007908785699586,1.214758583654688,0.001317032510446944,0.001323627620546977,0.001315323979787836,8.303640759846615e-06,-0.001323627620547683
0.0001,0.04594900000000594,-0.003149865196198481,1.347220241443024,7.650747526031545,0.0772554167181374,2.008027869227691,1.214758071518384,0.001317955295141956,0.001324621699246396,0.001316311562864064,8.310136383062231e-06,-0.001324621699247126
0.0001,0.045951000000005945,-0.003030352695971662,1.347319563958795,7.647689871886925,0.07419744033339803,2.008147447530774,1.214757579315499,0.001318881857003962,0.001325619846432964,0.001317303188046528,8.316658387133715e-06,-0.001325619846433662
0.0001,0.04595300000000595,-0.002910361667925185,1.347419297700429,7.644620232126151,0.07112749137064167,2.008267501725869,1.214757107125394,0.001319812050870863,0.001326621905750356,0.001318298699995314,8.323205755547863e-06,-0.001326621905750861
0.0001,0.04595500000000595,-0.002789911060033361,1.347519427041061,7.641539087607143,0.06804605073771341,2.008388012854858,1.214756655024296,0.001320745731028139,0.001327627720167648,0.001319297942702421,8.329777465800489e-06,-0.001327627720168221
0.0001,0.04595700000000595,-0.00266901989284348,1.34761993628586,7.638446921577057,0.06495360172964393,2.008508961887465,1.214756223085284,0.001321682751037256,0.001328637132005763,0.001320300759514542,8.33637249160557e-06,-0.001328637132006147
0.0001,0.04595900000000595,-0.00254770725647226,1.347720809674175,7.635344218771237,0.06185062912759065,2.008630329724262,1.214755811378273,0.001322622964008716,0.001329649982959023,0.001321306993156144,8.34298980334451e-06,-0.001329649982959488
0.0001,0.045961000000005955,-0.002425992307591283,1.347822031382252,7.632231466233229,0.05873762001884231,2.008752097199685,1.214755419970007,0.001323566222353567,0.001330666114122445,0.001322316485758311,8.349628364565515e-06,-0.001330666114122877
0.0001,0.04596300000000596,-0.002303894266401942,1.347923585525375,7.629109152313866,0.05561506279590134,2.008874245085062,1.214755048924044,0.001324512378086707,0.001331685366013311,0.001323329078873794,8.356287139877867e-06,-0.001331685366013671
0.0001,0.04596500000000596,-0.002181432413600345,1.348025456160586,7.625977767350172,0.0524834478353764,2.008996754091645,1.214754698300743,0.00132546128262116,0.001332707578598424,0.001324344613515438,8.362965083288489e-06,-0.001332707578598727
0.0001,0.04596700000000596,-0.002058626087332675,1.348127627288971,7.622837803210587,0.04934326704320746,2.009119604873661,1.21475436815726,0.001326412786905883,0.001333732591317114,0.001325362930164553,8.369661152851922e-06,-0.001333732591317405
0.0001,0.04596900000000596,-0.001935494680140905,1.348230082858251,7.619689753240678,0.0461950138003635,2.009242778031366,1.21475405854753,0.001327366741442219,0.001334760243107211,0.001326383868811782,8.376374295628314e-06,-0.00133476024310741
0.0001,0.045971000000005965,-0.001812057635902732,1.348332806765194,7.616534112304549,0.04303918300424403,2.009366254114104,1.214753769522263,0.001328322996271349,0.001335790372429309,0.001327407268967047,8.383103462529088e-06,-0.001335790372429576
0.0001,0.04597300000000597,-0.00168833444675781,1.348435782858225,7.61337137670008,0.03987627098391933,2.009490013623386,1.214753501128932,0.001329281400999976,0.001336822817292929,0.001328432969698472,8.389847594546779e-06,-0.001336822817293019
0.0001,0.04597500000000597,-0.001564344650031951,1.348538994939815,7.610202043973707,0.03670677531489641,2.009614037015961,1.214753253411763,0.001330241804856452,0.001337857415280519,0.001329460809644145,8.396605636478919e-06,-0.001337857415280623
0.0001,0.04597700000000597,-0.001440107825151394,1.348642426769118,7.60702661283149,0.03353119473018928,2.009738304706911,1.214753026411732,0.00133120405671773,0.001338894003573861,0.001330490627050246,8.40337652358403e-06,-0.00133889400357383
