case,time,v(out),v(vn),v(in),v(vp),i(vp),i(vin),i(rl),i(vn)
2,9.039000000000166e-05,-0.84373609927952,-12.0,1.212996153982105,12.0,-0.001102991705339722,-1.212996153982105e-09,-8.4373609927952e-05,0.001187358065864591
2,9.041000000000166e-05,-0.8337648387600273,-12.0,1.273853628421924,12.0,-0.001103545246225725,-1.273853628421924e-09,-8.337648387600272e-05,0.001186914641566672
2,9.043000000000167e-05,-0.8237936684418922,-12.0,1.334509946606905,12.0,-0.001104097979061337,-1.334509946606905e-09,-8.237936684418923e-05,0.001186470418037266
2,9.045000000000167e-05,-0.8138224240110349,-12.0,1.394955530201186,12.0,-0.001104650209633594,-1.394955530201186e-09,-8.138224240110349e-05,0.001186025684622311
2,9.047000000000167e-05,-0.8038512692362902,-12.0,1.455180834146376,12.0,-0.001105201637177797,-1.455180834146377e-09,-8.038512692362903e-05,0.001185580156924555
2,9.049000000000168e-05,-0.7938800411206745,-12.0,1.515176348168897,12.0,-0.001105752557850566,-1.515176348168897e-09,-7.938800411206745e-05,0.001185134114791341
2,9.051000000000168e-05,-0.7839089021213429,-12.0,1.574932598281493,12.0,-0.001106302680445259,-1.574932598281493e-09,-7.83908902121343e-05,0.001184687283252314
2,9.053000000000168e-05,-0.7739376905472168,-12.0,1.634440148279691,12.0,-0.00110685229162337,-1.634440148279691e-09,-7.739376905472169e-05,0.001184239932790355
2,9.055000000000169e-05,-0.7639665675549145,-12.0,1.69368960123141,12.0,-0.001107401109601794,-1.693689601231409e-09,-7.639665675549145e-05,0.001183791797728699
2,9.057000000000169e-05,-0.7539953727481767,-12.0,1.752671600961254,12.0,-0.00110794941168052,-1.752671600961254e-09,-7.539953727481768e-05,0.001183343139318317
2,9.059000000000169e-05,-0.7440242659941247,-12.0,1.811376833527694,12.0,-0.001108496925367242,-1.811376833527693e-09,-7.440242659941248e-05,0.001182893701044303
2,9.06100000000017e-05,-0.7340530881803349,-12.0,1.869796028693906,12.0,-0.001109043918732393,-1.869796028693907e-09,-7.340530881803349e-05,0.00118244373505659
2,9.06300000000017e-05,-0.7240819978953684,-12.0,1.927919961391891,12.0,-0.001109590128443264,-1.927919961391891e-09,-7.240819978953685e-05,0.001181992993872082
2,9.06500000000017e-05,-0.7141108372997559,-12.0,1.985739453178781,12.0,-0.001110135813471164,-1.985739453178782e-09,-7.141108372997559e-05,0.001181541720668998
2,9.06700000000017e-05,-0.7041397637143347,-12.0,2.043245373686625,12.0,-0.001110680719513361,-2.043245373686626e-09,-7.041397637143348e-05,0.001181089676867496
2,9.069000000000171e-05,-0.6941686205618097,-12.0,2.100428642063912,12.0,-0.00111122509657087,-2.100428642063913e-09,-6.941686205618097e-05,0.001180637096801822
2,9.071000000000171e-05,-0.6841975639060289,-12.0,2.157280228409676,12.0,-0.001111768699242829,-2.157280228409676e-09,-6.84197563906029e-05,0.001180183750668494
2,9.073000000000171e-05,-0.6742264384211906,-12.0,2.213791155199323,12.0,-0.001112311768687292,-2.213791155199323e-09,-6.742264384211906e-05,0.001179729864083948
2,9.075000000000172e-05,-0.6642553989247892,-12.0,2.269952498702516,12.0,-0.001112854068278789,-2.269952498702515e-09,-6.642553989247892e-05,0.001179275215895587
2,9.077000000000172e-05,-0.6542842913319352,-12.0,2.325755390392071,12.0,-0.001113395830458094,-2.325755390392071e-09,-6.542842913319352e-05,0.001178820023126817
2,9.079000000000172e-05,-0.6443132692243079,-12.0,2.38119101834447,12.0,-0.00111393682725016,-2.38119101834447e-09,-6.443132692243078e-05,0.00117836407315193
2,9.081000000000173e-05,-0.634342179747445,-12.0,2.4362506286314,12.0,-0.001114477282502729,-2.436250628631401e-09,-6.34342179747445e-05,0.001177907574524462
2,9.083000000000173e-05,-0.6243711752576501,-12.0,2.490925526702156,12.0,-0.001115016976767677,-2.490925526702156e-09,-6.243711752576501e-05,0.001177450323023268
2,9.085000000000173e-05,-0.6144001041205012,-12.0,2.54520707875652,12.0,-0.00111555612542244,-2.54520707875652e-09,-6.144001041205012e-05,0.001176992518853687
2,9.087000000000174e-05,-0.6044291174772725,-12.0,2.599086713108203,12.0,-0.001116094517423859,-2.599086713108204e-09,-6.044291174772725e-05,0.001176533966078103
2,9.089000000000174e-05,-0.5944580649032895,-12.0,2.652555921538317,12.0,-0.001116632359800307,-2.652555921538317e-09,-5.944580649032895e-05,0.001176074856673915
2,9.091000000000174e-05,-0.584487096335044,-12.0,2.705606260638986,12.0,-0.001117169449793062,-2.705606260638986e-09,-5.84487096335044e-05,0.001175615002867603
