case,frequency_real,frequency_imag,v(sum)_real,v(sum)_imag,v(vn)_real,v(vn)_imag,v(x)_real,v(x)_imag,v(in)_real,v(in)_imag,v(out)_real,v(out)_imag,v(vp)_real,v(vp)_imag,i(vp)_real,i(vp)_imag,i(vin)_real,i(vin)_imag,i(ri)_real,i(ri)_imag,i(rf)_real,i(rf)_imag,i(vn)_real,i(vn)_imag,i(ci)_real,i(ci)_imag,i(cf)_real,i(cf)_imag
1,3.162277660168374,0.0,-6.295455210419216e-10,1.991274282627469e-09,0.0,0.0,-2.347217799254398e-10,1.987116781053853e-05,1.0,0.0,-7.959040016560975e-08,-0.001986915660583292,0.0,0.0,1.970131142984485e-13,9.924633018343293e-09,-3.94823741116482e-13,-1.98691765362559e-08,3.948237411164819e-13,1.98691765362559e-08,-7.896085464456783e-13,-1.986917651857575e-08,1.970131142984485e-13,9.924633018343293e-09,3.94823741116482e-13,1.98691765362559e-08,3.947841757849475e-13,-1.568887160018308e-17
1,3.285993247600649,0.0,-6.797676171449421e-10,2.069179610642364e-09,0.0,0.0,-2.534467479389156e-10,2.064857367765917e-05,1.0,0.0,-8.593973726194314e-08,-0.002064648378658003,0.0,0.0,2.127298674989571e-13,1.03129075269286e-08,-4.263208692060266e-13,-2.064650449804852e-08,4.263208692060265e-13,2.064650449804852e-08,-8.52599696447982e-13,-2.064650447837614e-08,2.127298674989571e-13,1.03129075269286e-08,4.263208692060266e-13,2.064650449804852e-08,4.26278147473733e-13,-1.760320346328659e-17
1,3.414548873833596,0.0,-7.33996189111912e-10,2.15013302965113e-09,0.0,0.0,-2.736655033016553e-10,2.145639345361879e-05,1.0,0.0,-9.279559375584604e-08,-0.002145422179735758,0.0,0.0,2.297004272379985e-13,1.071637222884334e-08,-4.603306858102567e-13,-2.145424332058914e-08,4.603306858102567e-13,2.145424332058914e-08,-9.206159756673414e-13,-2.145424329868788e-08,2.297004272379985e-13,1.071637222884334e-08,4.603306858102567e-13,2.145424332058914e-08,4.602845558632045e-13,-1.97511191413835e-17
1,3.548133892335748,0.0,-7.925508542043928e-10,2.234253819120326e-09,0.0,0.0,-2.954972131396742e-10,2.22958170006367e-05,1.0,0.0,-1.00198377315533e-07,-0.002229356037988402,0.0,0.0,2.480248161446217e-13,1.113562139940825e-08,-4.970536410647185e-13,-2.229358274681758e-08,4.970536410647186e-13,2.229358274681758e-08,-9.940582646132866e-13,-2.229358272242221e-08,2.480248161446217e-13,1.113562139940825e-08,4.970536410647185e-13,2.229358274681758e-08,4.97003830998479e-13,-2.216112017076564e-17
1,3.686945064519569,0.0,-8.557767272027285e-10,2.32166592880181e-09,0.0,0.0,-3.190705511554354e-10,2.316808073108797e-05,1.0,0.0,-1.081917191359451e-07,-0.002316573582131302,0.0,0.0,2.678110361543241e-13,1.157127256349415e-08,-5.367061760472932e-13,-2.316575906515916e-08,5.367061760472931e-13,2.316575906515916e-08,-1.073359424087424e-12,-2.316575903797231e-08,2.678110361543241e-13,1.157127256349415e-08,5.367061760472932e-13,2.316575906515916e-08,5.366523922639697e-13,-2.486518580079349e-17
1,3.831186849557281,0.0,-9.240464544747233e-10,2.412498161908467e-09,0.0,0.0,-3.445244560164672e-10,2.407446942865328e-05,1.0,0.0,-1.168227310985425e-07,-0.002407203277519805,0.0,0.0,2.891757050838994e-13,1.202396740476098e-08,-5.795219984582562e-13,-2.407205693049137e-08,5.795219984582561e-13,2.407205693049137e-08,-1.158986846440678e-12,-2.407205690017967e-08,2.891757050838994e-13,1.202396740476098e-08,5.795219984582562e-13,2.407205693049137e-08,5.794639239355129e-13,-2.78991973395987e-17
1,3.981071705534965,0.0,-9.977624103124733e-10,2.506884365512725e-09,0.0,0.0,-3.720089502445454e-10,2.501631814071654e-05,1.0,0.0,-1.261422834422158e-07,-0.002501378615369709,0.0,0.0,3.122447439520815e-13,1.249437271123117e-08,-6.257534600679281e-13,-2.501381125635103e-08,6.25753460067928e-13,2.501381125635103e-08,-1.251445210319034e-12,-2.501381122254075e-08,3.122447439520815e-13,1.249437271123117e-08,6.257534600679281e-13,2.501381125635103e-08,6.256907524898668e-13,-3.130341427693967e-17
1,4.136820402388499,0.0,-1.077359068482319e-09,2.604963628457338e-09,0.0,0.0,-4.016860244318794e-10,2.59950141447974e-05,1.0,0.0,-1.362053045879207e-07,-0.002599238309380469,0.0,0.0,3.371541191496199e-13,1.298318135704827e-08,-6.756730440504401e-13,-2.599240918116894e-08,6.7567304405044e-13,2.599240918116894e-08,-1.351279455194383e-12,-2.599240914344098e-08,3.371541191496199e-13,1.298318135704827e-08,6.756730440504401e-13,2.599240918116894e-08,6.756053337892936e-13,-3.512300850341104e-17
1,4.298662347082268,0.0,-1.163305562965578e-09,2.706880487080097e-09,0.0,0.0,-4.337305919957746e-10,2.701199899191526e-05,1.0,0.0,-1.470711048812644e-07,-0.002700926500050776,0.0,0.0,3.640506438122307e-13,1.349111332328039e-08,-7.295749709698036e-13,-2.700929211142818e-08,7.295749709698036e-13,2.700929211142817e-08,-1.459077993182988e-12,-2.700929206931263e-08,3.640506438122307e-13,1.349111332328039e-08,7.295749709698036e-13,2.700929211142818e-08,7.295018589065379e-13,-3.9408663714143e-17
1,4.466835921509622,0.0,-1.256108452982782e-09,2.812785139066816e-09,0.0,0.0,-4.683315200989953e-10,2.806877062989448e-05,1.0,0.0,-1.58803726157499e-07,-0.002806592966987399,0.0,0.0,3.930928431014204e-13,1.401891675829704e-08,-7.877769328837867e-13,-2.806595784475542e-08,7.877769328837868e-13,2.806595784475542e-08,-1.575476177045163e-12,-2.806595779772538e-08,3.930928431014204e-13,1.401891675829704e-08,7.877769328837867e-13,2.806595784475542e-08,7.876979880547411e-13,-4.421724794965762e-17
1,4.641588833612769,0.0,-1.35631470859815e-09,2.922833665760356e-09,0.0,0.0,-5.056927428119267e-10,2.916688560973835e-05,1.0,0.0,-1.714723192031434e-07,-0.002916393349520052,0.0,0.0,4.244518885746323e-13,1.456736907969797e-08,-8.506219657862231e-13,-2.916396277607259e-08,8.50621965786223e-13,2.916396277607259e-08,-1.701160044945452e-12,-2.916396272353718e-08,4.244518885746323e-13,1.456736907969797e-08,8.506219657862231e-13,2.916396277607259e-08,8.505367228418964e-13,-4.961256820184241e-17
1,4.823178482239296,0.0,-1.464514934501155e-09,3.037188263267454e-09,0.0,0.0,-5.460344630774326e-10,3.030796137832148e-05,1.0,0.0,-1.851515513167866e-07,-0.003030489375947219,0.0,0.0,4.58312607004838e-13,1.513727811952891e-08,-9.18480471423723e-13,-3.030492419005821e-08,9.184804714237226e-13,3.030492419005821e-08,-1.836870363822855e-12,-3.030492413135483e-08,4.58312607004838e-13,1.513727811952891e-08,9.18480471423723e-13,3.030492419005822e-08,9.18388427884702e-13,-5.566621709222058e-17
1,5.011872336272711,0.0,-1.581346850965762e-09,3.15601748271979e-09,0.0,0.0,-5.895944505626059e-10,3.149367866077788e-05,1.0,0.0,-1.999220463953836e-07,-0.003149049101750579,0.0,0.0,4.94874569764083e-13,1.572948331405781e-08,-9.917524004031559e-13,-3.149052264329517e-08,9.917524004031559e-13,3.149052264329517e-08,-1.983406995444179e-12,-3.149052257768062e-08,4.94874569764083e-13,1.572948331405781e-08,9.917524004031559e-13,3.149052264329517e-08,9.91653013696976e-13,-6.245852286407972e-17
1,5.207948328595451,0.0,-1.707499052503752e-09,3.279496480061206e-09,0.0,0.0,-6.366294430468432e-10,3.272578393609359e-05,1.0,0.0,-2.158708601199395e-07,-0.003272247157128962,0.0,0.0,5.343532690583764e-13,1.634485694019909e-08,-1.070869609456909e-12,-3.272250443961354e-08,1.070869609456909e-12,3.272250443961353e-08,-2.141633610674357e-12,-3.272250436625441e-08,5.343532690583764e-13,1.634485694019909e-08,1.070869609456909e-12,3.272250443961354e-08,1.070762293718355e-12,-7.007961528870246e-17
1,5.411695265464624,0.0,-1.843715066365212e-09,3.407807275749212e-09,0.0,0.0,-6.874166596058314e-10,3.400609200955042e-05,1.0,0.0,-2.330919930513375e-07,-0.003400265004216348,0.0,0.0,5.769813880284052e-13,1.698430540042871e-08,-1.15629840675938e-12,-3.400268420227467e-08,1.15629840675938e-12,3.400268420227467e-08,-2.312482779849723e-12,-3.400268412023624e-08,5.769813880284052e-13,1.698430540042871e-08,1.15629840675938e-12,3.400268420227467e-08,1.156182529375314e-12,-7.86306216323764e-17
