case,frequency_real,frequency_imag,v(ref)_real,v(ref)_imag,v(tail)_real,v(tail)_imag,v(vn)_real,v(vn)_imag,v(in)_real,v(in)_imag,v(out)_real,v(out)_imag,v(vp)_real,v(vp)_imag,i(vp)_real,i(vp)_imag,i(vin)_real,i(vin)_imag,ic(q2)_real,ic(q2)_imag,ib(q2)_real,ib(q2)_imag,i(it)_real,i(it)_imag,ic(q4)_real,ic(q4)_imag,ib(q4)_real,ib(q4)_imag,i(vn)_real,i(vn)_imag,ic(q1)_real,ic(q1)_imag,ib(q1)_real,ib(q1)_imag,ic(q3)_real,ic(q3)_imag,ib(q3)_real,ib(q3)_imag,i(rl)_real,i(rl)_imag
1,15.84893192461113,0.0,-0.4709691788415878,2.686021544557007e-07,0.5286891532176899,-4.276766606693167e-09,0.0,0.0,1.0,0.0,19.87920978817451,-1.67102425496627e-05,0.0,0.0,-0.01988615963781539,9.27135120110027e-09,-5.708657267130033e-05,-1.244413222505637e-09,-0.009522047404721356,7.585064402657019e-09,-6.403642231218344e-05,-8.683304571068066e-09,0.0,0.0,-0.01035716238345315,9.125178147005683e-09,-6.269079209461799e-05,-4.245706936910721e-09,0.0,0.0,0.00952899725436224,-1.461730540945887e-10,5.70865726713006e-05,1.244413222505637e-09,-0.009403615690525908,5.363050381261282e-09,-6.26907717417146e-05,-9.711703902559735e-10,0.01987920978817451,-1.67102425496627e-08
1,16.46897865482867,0.0,-0.4709691788415724,2.791104895530855e-07,0.5286891532176899,-4.444083569312191e-09,0.0,0.0,1.0,0.0,19.87920978817345,-1.736398573584912e-05,0.0,0.0,-0.01988615963781483,9.634067819751834e-09,-5.708657267130301e-05,-1.293097534693002e-09,-0.009522047404720853,7.881809596826673e-09,-6.403642231269345e-05,-9.023015450790283e-09,0.0,0.0,-0.0103571623834526,9.482176139022442e-09,-6.26907920948782e-05,-4.411808773691417e-09,0.0,0.0,0.009528997254362237,-1.518916807293919e-10,5.708657267130234e-05,1.293097534693002e-09,-0.009403615690525597,5.572865267760063e-09,-6.269077174175797e-05,-1.009164813339254e-09,0.01987920978817345,-1.736398573584912e-08
1,17.11328304161779,0.0,-0.4709691788415558,2.900299349289504e-07,0.5286891532176898,-4.617946356979585e-09,0.0,0.0,1.0,0.0,19.87920978817231,-1.804330486159558e-05,0.0,0.0,-0.01988615963781424,1.001097474816429e-08,-5.70865726713059e-05,-1.343686489333767e-09,-0.009522047404720306,8.190164146644212e-09,-6.403642231324162e-05,-9.376016602765059e-09,0.0,0.0,-0.010357162383452,9.853140714951371e-09,-6.269079209516096e-05,-4.584408896998202e-09,0.0,0.0,0.009528997254362235,-1.578340332129213e-10,5.70865726713058e-05,1.343686489333767e-09,-0.009403615690525268,5.790888595997559e-09,-6.269077174180654e-05,-1.048645665786438e-09,0.01987920978817231,-1.804330486159558e-08
1,17.78279410038921,0.0,-0.4709691788415382,3.013765741645199e-07,0.5286891532176894,-4.798611057451712e-09,0.0,0.0,1.0,0.0,19.87920978817108,-1.874920051658043e-05,0.0,0.0,-0.0198861596378136,1.040262714394762e-08,-5.708657267130908e-05,-1.396254600428692e-09,-0.00952204740471971,8.510582236848612e-09,-6.40364223138349e-05,-9.742827973061495e-09,0.0,0.0,-0.01035716238345137,1.023861827973182e-08,-6.269079209546453e-05,-4.763761534770953e-09,0.0,0.0,0.00952899725436224,-1.640088642158072e-10,5.708657267130927e-05,1.396254600428692e-09,-0.009403615690524916,6.017441499125487e-09,-6.269077174185858e-05,-1.089671100138728e-09,0.01987920978817108,-1.874920051658043e-08
1,18.47849797422289,0.0,-0.470969178841519,3.131671200677693e-07,0.5286891532176893,-4.986343777227979e-09,0.0,0.0,1.0,0.0,19.87920978816975,-1.948271243585538e-05,0.0,0.0,-0.01988615963781291,1.080960188375649e-08,-5.708657267131246e-05,-1.450879297137913e-09,-0.009522047404719075,8.843535820932205e-09,-6.403642231447675e-05,-1.01239898492368e-08,0.0,0.0,-0.01035716238345067,1.063917661492317e-08,-6.269079209579413e-05,-4.950130860932254e-09,0.0,0.0,0.00952899725436224,-1.704252688333188e-10,5.708657267131101e-05,1.450879297137913e-09,-0.009403615690524532,6.252857673764285e-09,-6.269077174191236e-05,-1.132301543998712e-09,0.01987920978816975,-1.948271243585538e-08
1,19.201419386388,0.0,-0.4709691788414981,3.254189392902263e-07,0.5286891532176891,-5.181421033507095e-09,0.0,0.0,1.0,0.0,19.87920978816831,-2.024492103130278e-05,0.0,0.0,-0.01988615963781216,1.123249841298933e-08,-5.708657267131611e-05,-1.507641037828696e-09,-0.009522047404718386,9.189515316295257e-09,-6.40364223151689e-05,-1.052006365614215e-08,0.0,0.0,-0.01035716238344992,1.105540571500752e-08,-6.269079209614802e-05,-5.14379138449716e-09,0.0,0.0,0.009528997254362239,-1.770926979818064e-10,5.708657267131621e-05,1.507641037828695e-09,-0.009403615690524114,6.497483871514977e-09,-6.269077174197307e-05,-1.17659978903601e-09,0.01987920978816831,-2.024492103130279e-08
1,19.95262314968878,0.0,-0.4709691788414759,3.381500779068353e-07,0.5286891532176888,-5.384130161477682e-09,0.0,0.0,1.0,0.0,19.87920978816677,-2.103694898300689e-05,0.0,0.0,-0.01988615963781136,1.167193962872956e-08,-5.708657267132007e-05,-1.566623428584996e-09,-0.009522047404717642,9.54903032659656e-09,-6.403642231591657e-05,-1.093163278286232e-08,0.0,0.0,-0.01035716238344912,1.148791865641033e-08,-6.269079209653139e-05,-5.34502835390581e-09,0.0,0.0,0.009528997254362239,-1.840209723192405e-10,5.708657267131968e-05,1.566623428584996e-09,-0.009403615690523672,6.751680409700065e-09,-6.269077174203726e-05,-1.222631083475016e-09,0.01987920978816677,-2.103694898300689e-08
1,20.73321573485953,0.0,-0.4709691788414515,3.513792879965681e-07,0.5286891532176886,-5.594769737542902e-09,0.0,0.0,1.0,0.0,19.87920978816509,-2.185996289288331e-05,0.0,0.0,-0.01988615963781048,1.212857279722958e-08,-5.708657267132432e-05,-1.627913346353388e-09,-0.009522047404716839,9.922610392364081e-09,-6.403642231672495e-05,-1.135930344200711e-08,0.0,0.0,-0.01035716238344824,1.193735250051923e-08,-6.269079209694425e-05,-5.554138177174484e-09,0.0,0.0,0.009528997254362237,-1.912202967103563e-10,5.708657267132489e-05,1.627913346353388e-09,-0.009403615690523184,7.015821702085819e-09,-6.269077174210665e-05,-1.270463228200981e-09,0.01987920978816509,-2.185996289288331e-08
1,21.54434690031881,0.0,-0.4709691788414254,3.651260552629281e-07,0.5286891532176883,-5.813650019102586e-09,0.0,0.0,1.0,0.0,19.87920978816328,-2.271517500300229e-05,0.0,0.0,-0.01988615963780955,1.260307050728877e-08,-5.708657267132893e-05,-1.691601066906747e-09,-0.009522047404715973,1.031080577097122e-08,-6.403642231759231e-05,-1.180370556262026e-08,0.0,0.0,-0.01035716238344731,1.240436923203106e-08,-6.269079209739181e-05,-5.771428858483944e-09,0.0,0.0,0.009528997254362237,-1.987012752577102e-10,5.708657267133009e-05,1.691601066906747e-09,-0.009403615690522664,7.290296810367652e-09,-6.269077174218124e-05,-1.320166676625999e-09,0.01987920978816328,-2.271517500300229e-08
1,22.38721138568337,0.0,-0.4709691788413973,3.794106277350307e-07,0.528689153217688,-6.041093401540959e-09,0.0,0.0,1.0,0.0,19.87920978816133,-2.360384498113663e-05,0.0,0.0,-0.01988615963780853,1.309613166092987e-08,-5.708657267133393e-05,-1.757780397814164e-09,-0.009522047404715035,1.071418824712753e-08,-6.403642231853426e-05,-1.226549371802091e-08,0.0,0.0,-0.01035716238344629,1.28896567340091e-08,-6.26907920978758e-05,-5.997220451848089e-09,0.0,0.0,0.009528997254362239,-2.064749269207777e-10,5.708657267133356e-05,1.757780397814164e-09,-0.009403615690522102,7.575510017230813e-09,-6.269077174226277e-05,-1.371814638461946e-09,0.01987920978816133,-2.360384498113663e-08
