Rref_ohm,Vout_V,Ic_Q2_A,I_RREF_A,Vbase_V,Ic_Q1_A
2200,2.64,0.001966604651959576,0.001967223889806449,0.6721074424258128,0.001928650872980523
2200,2.65,0.001966797517066837,0.001967223889806389,0.6721074424259433,0.00192865087299028
2200,2.66,0.001966990382174053,0.00196722388980633,0.6721074424260741,0.001928650873000013
2200,2.67,0.00196718324728129,0.00196722388980627,0.6721074424262047,0.00192865087300977
2200,2.68,0.001967376112388542,0.001967223889806211,0.6721074424263357,0.001928650873019512
2200,2.69,0.001967568977495791,0.001967223889806152,0.6721074424264665,0.001928650873029257
2200,2.7,0.001967761842603037,0.001967223889806092,0.6721074424265969,0.001928650873039004
2200,2.71,0.001967954707710281,0.001967223889806033,0.6721074424267278,0.001928650873048754
2200,2.72,0.001968147572817502,0.001967223889805973,0.6721074424268583,0.001928650873058473
2200,2.73,0.00196834043792477,0.001967223889805914,0.6721074424269888,0.001928650873068237
2200,2.74,0.001968533303032025,0.001967223889805855,0.67210744242712,0.001928650873077983
2200,2.75,0.001968726168139274,0.001967223889805796,0.6721074424272503,0.001928650873087731
2200,2.76,0.001968919033246535,0.001967223889805736,0.6721074424273812,0.001928650873097481
2200,2.77,0.0019691118983538,0.001967223889805676,0.6721074424275121,0.001928650873107226
2200,2.78,0.001969304763461057,0.001967223889805617,0.6721074424276426,0.001928650873116956
2200,2.79,0.00196949762856831,0.001967223889805558,0.6721074424277732,0.001928650873126705
2200,2.8,0.001969690493675558,0.001967223889805499,0.6721074424279038,0.001928650873136442
2200,2.81,0.001969883358782853,0.001967223889805439,0.6721074424280349,0.001928650873146202
2200,2.82,0.001970076223890119,0.001967223889805379,0.6721074424281654,0.001928650873155945
2200,2.83,0.00197026908899737,0.00196722388980532,0.6721074424282961,0.00192865087316568
2200,2.84,0.001970461954104635,0.00196722388980526,0.6721074424284266,0.001928650873175419
2200,2.85,0.00197065481921195,0.001967223889805201,0.6721074424285574,0.001928650873185199
2200,2.86,0.001970847684319212,0.001967223889805142,0.6721074424286883,0.00192865087319493
2200,2.87,0.001971040549426482,0.001967223889805083,0.6721074424288187,0.001928650873204674
2200,2.88,0.001971233414533754,0.001967223889805023,0.6721074424289496,0.001928650873214412
2200,2.89,0.001971426279641053,0.001967223889804963,0.6721074424290802,0.001928650873224169
2200,2.9,0.00197161914474834,0.001967223889804904,0.6721074424292108,0.001928650873233918
2200,2.91,0.001971812009855607,0.001967223889804845,0.6721074424293415,0.001928650873243652
2200,2.92,0.001972004874962884,0.001967223889804786,0.6721074424294722,0.001928650873253393
2200,2.93,0.001972197740070185,0.001967223889804726,0.6721074424296031,0.001928650873263136
2200,2.94,0.001972390605177486,0.001967223889804666,0.6721074424297337,0.001928650873272892
2200,2.95,0.001972583470284772,0.001967223889804607,0.6721074424298642,0.001928650873282624
2200,2.96,0.001972776335392067,0.001967223889804547,0.672107442429995,0.001928650873292383
2200,2.97,0.001972969200499343,0.001967223889804488,0.6721074424301259,0.001928650873302114
2200,2.98,0.001973162065606666,0.001967223889804429,0.6721074424302566,0.001928650873311876
2200,2.99,0.00197335493071398,0.00196722388980437,0.672107442430387,0.001928650873321628
2200,3.0,0.001973547795821288,0.00196722388980431,0.672107442430518,0.001928650873331385
2200,3.01,0.00197374066092859,0.00196722388980425,0.6721074424306486,0.001928650873341128
2200,3.02,0.001973933526035873,0.001967223889804191,0.6721074424307791,0.00192865087335085
2200,3.03,0.001974126391143197,0.001967223889804132,0.6721074424309099,0.00192865087336061
2200,3.04,0.001974319256250511,0.001967223889804073,0.6721074424310406,0.001928650873370352
2200,3.05,0.001974512121357803,0.001967223889804013,0.6721074424311714,0.001928650873380076
2200,3.06,0.001974704986465134,0.001967223889803954,0.672107442431302,0.001928650873389831
2200,3.07,0.001974897851572453,0.001967223889803894,0.6721074424314327,0.001928650873399593
2200,3.08,0.00197509071667978,0.001967223889803834,0.6721074424315635,0.00192865087340934
2200,3.09,0.001975283581787069,0.001967223889803775,0.6721074424316942,0.001928650873419067
2200,3.1,0.001975476446894413,0.001967223889803716,0.672107442431825,0.001928650873428828
2200,3.11,0.001975669312001735,0.001967223889803657,0.6721074424319555,0.001928650873438564
2200,3.12,0.001975862177109045,0.001967223889803597,0.6721074424320861,0.001928650873448307
2200,3.13,0.001976055042216397,0.001967223889803537,0.6721074424322171,0.001928650873458069
2200,3.14,0.001976247907323724,0.001967223889803478,0.6721074424323478,0.00192865087346781
2200,3.15,0.001976440772431051,0.001967223889803419,0.6721074424324784,0.001928650873477559
2200,3.16,0.001976633637538388,0.00196722388980336,0.6721074424326091,0.0019286508734873
