case,time,v(in),v(out),v(base),v(vcc),i(vcc),i(rb),ic(q1),ib(q1),i(vin),i(rl)
3,0.0009212621439989732,0.0,4.99999999949795,5.00999900565624e-07,5.0,-5.020497906293997e-12,-5.009999005656241e-12,5.020493159495341e-12,-5.009999006731095e-12,5.009999003435795e-12,5.020499571628534e-12
3,0.0009214621439989732,0.0,4.999999999497949,5.009999006766463e-07,5.0,-5.020511784081805e-12,-5.009999006766464e-12,5.020506235688738e-12,-5.009999009181391e-12,5.009999004546018e-12,5.020508453412731e-12
3,0.0009216621439989732,0.0,4.99999999949795,5.009999012317579e-07,5.0,-5.020497906293997e-12,-5.009999012317579e-12,5.020493210356059e-12,-5.009999007880327e-12,5.009999010097133e-12,5.020499571628534e-12
3,0.0009218621439989732,0.0,4.999999999497949,5.009999013427802e-07,5.0,-5.020511784081805e-12,-5.009999013427802e-12,5.020506241336604e-12,-5.009999031234033e-12,5.009999014538025e-12,5.020508453412731e-12
3,0.0009220621439989732,0.0,4.99999999949795,5.009999010097133e-07,5.0,-5.020497906293997e-12,-5.009999010097133e-12,5.020493170421169e-12,-5.009999007880327e-12,5.009999010097133e-12,5.020499571628534e-12
3,0.0009222621439989732,0.0,4.999999999497949,5.009999006766463e-07,5.0,-5.020511784081805e-12,-5.009999006766464e-12,5.020506237938062e-12,-5.009999002979747e-12,5.009999007876687e-12,5.020508453412731e-12
3,0.0009224621439989732,0.0,4.99999999949795,5.00999900565624e-07,5.0,-5.020497906293997e-12,-5.009999005656241e-12,5.020493159495341e-12,-5.009999006731095e-12,5.009999003435795e-12,5.020499571628534e-12
3,0.0009226621439989732,0.0,4.999999999497949,5.009999006766463e-07,5.0,-5.020511784081805e-12,-5.009999006766464e-12,5.020506235688738e-12,-5.009999009181391e-12,5.009999004546018e-12,5.020508453412731e-12
3,0.0009228621439989732,0.0,4.99999999949795,5.009999012317579e-07,5.0,-5.020497906293997e-12,-5.009999012317579e-12,5.020493210356059e-12,-5.009999007880327e-12,5.009999010097133e-12,5.020499571628534e-12
3,0.0009230621439989732,0.0,4.999999999497949,5.009999013427802e-07,5.0,-5.020511784081805e-12,-5.009999013427802e-12,5.020506241336604e-12,-5.009999031234033e-12,5.009999014538025e-12,5.020508453412731e-12
3,0.0009232621439989732,0.0,4.99999999949795,5.009999010097133e-07,5.0,-5.020497906293997e-12,-5.009999010097133e-12,5.020493170421169e-12,-5.009999007880327e-12,5.009999010097133e-12,5.020499571628534e-12
3,0.0009234621439989732,0.0,4.999999999497949,5.009999006766463e-07,5.0,-5.020511784081805e-12,-5.009999006766464e-12,5.020506237938062e-12,-5.009999002979747e-12,5.009999007876687e-12,5.020508453412731e-12
3,0.0009236621439989732,0.0,4.99999999949795,5.00999900565624e-07,5.0,-5.020497906293997e-12,-5.009999005656241e-12,5.020493159495341e-12,-5.009999006731095e-12,5.009999003435795e-12,5.020499571628534e-12
3,0.0009238621439989732,0.0,4.999999999497949,5.009999006766463e-07,5.0,-5.020511784081805e-12,-5.009999006766464e-12,5.020506235688738e-12,-5.009999009181391e-12,5.009999004546018e-12,5.020508453412731e-12
3,0.0009240621439989732,0.0,4.99999999949795,5.009999012317579e-07,5.0,-5.020497906293997e-12,-5.009999012317579e-12,5.020493210356059e-12,-5.009999007880327e-12,5.009999010097133e-12,5.020499571628534e-12
3,0.0009242621439989732,0.0,4.999999999497949,5.009999013427802e-07,5.0,-5.020511784081805e-12,-5.009999013427802e-12,5.020506241336604e-12,-5.009999031234033e-12,5.009999014538025e-12,5.020508453412731e-12
3,0.0009244621439989733,0.0,4.99999999949795,5.009999010097133e-07,5.0,-5.020497906293997e-12,-5.009999010097133e-12,5.020493170421169e-12,-5.009999007880327e-12,5.009999010097133e-12,5.020499571628534e-12
3,0.0009246621439989733,0.0,4.999999999497949,5.009999006766463e-07,5.0,-5.020511784081805e-12,-5.009999006766464e-12,5.020506237938062e-12,-5.009999002979747e-12,5.009999007876687e-12,5.020508453412731e-12
3,0.0009248621439989733,0.0,4.99999999949795,5.00999900565624e-07,5.0,-5.020497906293997e-12,-5.009999005656241e-12,5.020493159495341e-12,-5.009999006731095e-12,5.009999003435795e-12,5.020499571628534e-12
3,0.0009250621439989733,0.0,4.999999999497949,5.009999006766463e-07,5.0,-5.020511784081805e-12,-5.009999006766464e-12,5.020506235688738e-12,-5.009999009181391e-12,5.009999004546018e-12,5.020508453412731e-12
3,0.0009252621439989733,0.0,4.99999999949795,5.009999012317579e-07,5.0,-5.020497906293997e-12,-5.009999012317579e-12,5.020493210356059e-12,-5.009999007880327e-12,5.009999010097133e-12,5.020499571628534e-12
3,0.0009254621439989733,0.0,4.999999999497949,5.009999013427802e-07,5.0,-5.020511784081805e-12,-5.009999013427802e-12,5.020506241336604e-12,-5.009999031234033e-12,5.009999014538025e-12,5.020508453412731e-12
3,0.0009256621439989733,0.0,4.99999999949795,5.009999010097133e-07,5.0,-5.020497906293997e-12,-5.009999010097133e-12,5.020493170421169e-12,-5.009999007880327e-12,5.009999010097133e-12,5.020499571628534e-12
3,0.0009258621439989733,0.0,4.999999999497949,5.009999006766463e-07,5.0,-5.020511784081805e-12,-5.009999006766464e-12,5.020506237938062e-12,-5.009999002979747e-12,5.009999007876687e-12,5.020508453412731e-12
3,0.0009260621439989733,0.0,4.99999999949795,5.00999900565624e-07,5.0,-5.020497906293997e-12,-5.009999005656241e-12,5.020493159495341e-12,-5.009999006731095e-12,5.009999003435795e-12,5.020499571628534e-12
3,0.0009262621439989733,0.0,4.999999999497949,5.009999006766463e-07,5.0,-5.020511784081805e-12,-5.009999006766464e-12,5.020506235688738e-12,-5.009999009181391e-12,5.009999004546018e-12,5.020508453412731e-12
3,0.0009264621439989733,0.0,4.99999999949795,5.009999012317579e-07,5.0,-5.020497906293997e-12,-5.009999012317579e-12,5.020493210356059e-12,-5.009999007880327e-12,5.009999010097133e-12,5.020499571628534e-12
3,0.0009266621439989733,0.0,4.999999999497949,5.009999013427802e-07,5.0,-5.020511784081805e-12,-5.009999013427802e-12,5.020506241336604e-12,-5.009999031234033e-12,5.009999014538025e-12,5.020508453412731e-12
3,0.0009268621439989733,0.0,4.99999999949795,5.009999010097133e-07,5.0,-5.020497906293997e-12,-5.009999010097133e-12,5.020493170421169e-12,-5.009999007880327e-12,5.009999010097133e-12,5.020499571628534e-12
3,0.0009270621439989733,0.0,4.999999999497949,5.009999006766463e-07,5.0,-5.020511784081805e-12,-5.009999006766464e-12,5.020506237938062e-12,-5.009999002979747e-12,5.009999007876687e-12,5.020508453412731e-12
3,0.0009272621439989733,0.0,4.99999999949795,5.00999900565624e-07,5.0,-5.020497906293997e-12,-5.009999005656241e-12,5.020493159495341e-12,-5.009999006731095e-12,5.009999003435795e-12,5.020499571628534e-12
3,0.0009274621439989733,0.0,4.999999999497949,5.009999006766463e-07,5.0,-5.020511784081805e-12,-5.009999006766464e-12,5.020506235688738e-12,-5.009999009181391e-12,5.009999004546018e-12,5.020508453412731e-12
3,0.0009276621439989733,0.0,4.99999999949795,5.009999012317579e-07,5.0,-5.020497906293997e-12,-5.009999012317579e-12,5.020493210356059e-12,-5.009999007880327e-12,5.009999010097133e-12,5.020499571628534e-12
3,0.0009278621439989733,0.0,4.999999999497949,5.009999013427802e-07,5.0,-5.020511784081805e-12,-5.009999013427802e-12,5.020506241336604e-12,-5.009999031234033e-12,5.009999014538025e-12,5.020508453412731e-12
3,0.0009280621439989733,0.0,4.99999999949795,5.009999010097133e-07,5.0,-5.020497906293997e-12,-5.009999010097133e-12,5.020493170421169e-12,-5.009999007880327e-12,5.009999010097133e-12,5.020499571628534e-12
3,0.0009282621439989733,0.0,4.999999999497949,5.009999006766463e-07,5.0,-5.020511784081805e-12,-5.009999006766464e-12,5.020506237938062e-12,-5.009999002979747e-12,5.009999007876687e-12,5.020508453412731e-12
3,0.0009284621439989734,0.0,4.99999999949795,5.00999900565624e-07,5.0,-5.020497906293997e-12,-5.009999005656241e-12,5.020493159495341e-12,-5.009999006731095e-12,5.009999003435795e-12,5.020499571628534e-12
3,0.0009286621439989734,0.0,4.999999999497949,5.009999006766463e-07,5.0,-5.020511784081805e-12,-5.009999006766464e-12,5.020506235688738e-12,-5.009999009181391e-12,5.009999004546018e-12,5.020508453412731e-12
3,0.0009288621439989734,0.0,4.99999999949795,5.009999012317579e-07,5.0,-5.020497906293997e-12,-5.009999012317579e-12,5.020493210356059e-12,-5.009999007880327e-12,5.009999010097133e-12,5.020499571628534e-12
3,0.0009290621439989734,0.0,4.999999999497949,5.009999013427802e-07,5.0,-5.020511784081805e-12,-5.009999013427802e-12,5.020506241336604e-12,-5.009999031234033e-12,5.009999014538025e-12,5.020508453412731e-12
3,0.0009292621439989734,0.0,4.99999999949795,5.009999010097133e-07,5.0,-5.020497906293997e-12,-5.009999010097133e-12,5.020493170421169e-12,-5.009999007880327e-12,5.009999010097133e-12,5.020499571628534e-12
3,0.0009294621439989734,0.0,4.999999999497949,5.009999006766463e-07,5.0,-5.020511784081805e-12,-5.009999006766464e-12,5.020506237938062e-12,-5.009999002979747e-12,5.009999007876687e-12,5.020508453412731e-12
