case,time,v(offset),v(sum),v(vn),v(in),v(out),v(vp),i(vp),i(v1),i(r1),i(r2),i(vn),i(v2),i(rf)
1,0.003408500000000187,-0.5,-1.722389874456165e-05,-12.0,0.1087520965555621,0.3911962315759652,12.0,-0.00116658024848364,-1.087693204543067e-05,1.087693204543067e-05,-4.999827761012555e-05,0.001127462826516049,4.999827761012555e-05,3.912134554747098e-05
1,0.003409500000000187,-0.5,-1.729319244067606e-05,-12.0,0.1076953361651349,0.3922527840846111,12.0,-0.001166630368587333,-1.077126293575756e-05,1.077126293575756e-05,-4.999827068075593e-05,0.001127407295036419,4.999827068075594e-05,3.922700772770518e-05
1,0.003410500000000187,-0.5,-1.736182323688884e-05,-12.0,0.1066343241472393,0.3933135902094319,12.0,-0.001166680683074409,-1.066516859704762e-05,1.066516859704762e-05,-4.999826381767631e-05,0.001127351532687511,4.999826381767631e-05,3.933309520326688e-05
1,0.003411500000000187,-0.5,-1.742978842347864e-05,-12.0,0.1055691023888135,0.3943786080716181,12.0,-0.001166731189870346,-1.05586532177237e-05,1.05586532177237e-05,-4.999825702115766e-05,0.001127295541582515,4.999825702115766e-05,3.943960378600416e-05
1,0.003412500000000187,-0.5,-1.749708531764704e-05,-12.0,0.1044997129429893,0.3954477956260869,12.0,-0.001166781886893526,-1.04517210028307e-05,1.04517210028307e-05,-4.999825029146824e-05,0.001127239323844193,4.999825029146824e-05,3.954652927114045e-05
1,0.0034135000000001872,-0.5,-1.756371126229728e-05,-12.0,0.1034261980274303,0.3965211106631457,12.0,-0.001166832772055391,-1.034437617386926e-05,1.034437617386926e-05,-4.999824362887377e-05,0.0011271828816048,4.999824362887377e-05,3.965386743744081e-05
1,0.0034145000000001874,-0.5,-1.762966362744978e-05,-12.0,0.1023486000226671,0.3975985108101538,12.0,-0.001166883843260493,-1.023662296862946e-05,1.023662296862946e-05,-4.999823703363726e-05,0.001127126217005982,4.999823703363726e-05,3.976161404737813e-05
1,0.003415500000000187,-0.5,-1.769493980921522e-05,-12.0,0.1012669614704234,0.3986799535331996,12.0,-0.001166935098406621,-1.012846564102326e-05,1.012846564102326e-05,-4.999823050601908e-05,0.001127069332198746,4.999823050601908e-05,3.986976484730088e-05
1,0.003416500000000188,-0.5,-1.775953723065493e-05,-12.0,0.1001813250719382,0.3997653961387744,12.0,-0.001166986535384863,-1.001990846091688e-05,1.001990846091688e-05,-4.999822404627694e-05,0.001127012229343378,4.999822404627694e-05,3.997831556760051e-05
1,0.0034175000000001877,-0.5,-1.782345334150337e-05,-12.0,0.09909173368627638,0.4008547957754645,12.0,-0.001167038152079754,-9.910955713961792e-06,9.91095571396179e-06,-4.999821765466585e-05,0.001126954910609337,4.999821765466585e-05,4.008726192288061e-05
1,0.003418500000000188,-0.5,-1.788668561855666e-05,-12.0,0.09799823032864154,0.401948109435636,12.0,-0.001167089946369295,-9.801611701426006e-06,9.80161170142601e-06,-4.999821133143815e-05,0.001126897378175264,4.999821133143815e-05,4.019659961212545e-05
1,0.003419500000000188,-0.5,-1.794923156545059e-05,-12.0,0.09690085816867317,0.4030452939571382,12.0,-0.001167141916125134,-9.691880740023856e-06,9.691880740023861e-06,-4.999820507684346e-05,0.001126839634228806,4.999820507684346e-05,4.030632431887037e-05
