case,frequency_real,frequency_imag,v(inv)_real,v(inv)_imag,v(noninv)_real,v(noninv)_imag,v(sum)_real,v(sum)_imag,v(vn)_real,v(vn)_imag,v(fb)_real,v(fb)_imag,v(in)_real,v(in)_imag,v(vp)_real,v(vp)_imag,i(vp)_real,i(vp)_imag,i(vin)_real,i(vin)_imag,i(rf)_real,i(rf)_imag,i(rg)_real,i(rg)_imag,i(vn)_real,i(vn)_imag,i(ri)_real,i(ri)_imag,i(rf2)_real,i(rf2)_imag
1,36.86945064519569,0.0,-0.999997993793504,7.395817289564246e-06,2.00000598954913,-1.478440127796906e-05,1.003098232477129e-06,3.697890155331346e-06,0.0,0.0,0.9999979947845912,-7.392163678166139e-06,1.0,0.0,0.0,0.0,5.560054291975369e-09,1.846766646652323e-10,-0.0001000008996901767,3.697890155331346e-10,-9.999989968917365e-05,3.6979271342329e-10,9.999979947845912e-05,-7.392163678166139e-10,5.560054291975369e-09,1.846766646652323e-10,9.999989969017676e-05,-3.697890155331346e-10,0.0001000007994764539,-7.392237599802922e-10
1,38.31186849557281,0.0,-0.9999979937891452,7.685158700642515e-06,2.000005989540417,-1.536280111671994e-05,1.003100411955948e-06,3.842560137520569e-06,0.0,0.0,0.9999979947802345,-7.68136215154921e-06,1.0,0.0,0.0,0.0,5.560054368303202e-09,1.9190164125081e-10,-0.0001000008996899588,3.84256013752057e-10,-9.999989968895572e-05,3.842598563121946e-10,9.999979947802346e-05,-7.681362151549211e-10,5.560054368303202e-09,1.9190164125081e-10,9.999989968995881e-05,-3.84256013752057e-10,0.0001000007994760182,-7.681438965170728e-10
1,39.81071705534965,0.0,-0.9999979937844389,7.985819814313e-06,2.000005989531009,-1.596382928969248e-05,1.003102765073649e-06,3.992889942706785e-06,0.0,0.0,0.9999979947755304,-7.981874735472561e-06,1.0,0.0,0.0,0.0,5.560054514019974e-09,1.994092755652175e-10,-0.0001000008996897235,3.992889942706785e-10,-9.99998996887204e-05,3.992929871606216e-10,9.999979947755305e-05,-7.981874735472562e-10,5.560054514019974e-09,1.994092755652175e-10,9.99998996897235e-05,-3.992889942706785e-10,0.0001000007994755479,-7.981954554219921e-10
1,41.36820402388499,0.0,-0.999997993779357,8.298243483419344e-06,2.00000598952085,-1.65883710694524e-05,1.003105306041085e-06,4.149100996204689e-06,0.0,0.0,0.999997994770451,-8.294144064005878e-06,1.0,0.0,0.0,0.0,5.560054652797852e-09,2.07210625830522e-10,-0.0001000008996894694,4.14910099620469e-10,-9.999989968846631e-05,4.149142487214655e-10,9.99997994770451e-05,-8.294144064005878e-10,5.560054652797852e-09,2.07210625830522e-10,9.99998996894694e-05,-4.14910099620469e-10,0.00010000079947504,-8.294227005446521e-10
1,42.98662347082268,0.0,-0.9999979937738698,8.622889886228623e-06,2.000005989509881,-1.723734636246756e-05,1.003108049513202e-06,4.311423385997382e-06,0.0,0.0,0.9999979947649665,-8.618630088083339e-06,1.0,0.0,0.0,0.0,5.560054763820155e-09,2.153171828906036e-10,-0.000100000899689195,4.311423385997382e-10,-9.999989968819194e-05,4.311466500231241e-10,9.999979947649666e-05,-8.618630088083339e-10,5.560054763820155e-09,2.153171828906036e-10,9.999989968919505e-05,-4.311423385997382e-10,0.0001000007994744915,-8.618716274384226e-10
1,44.66835921509622,0.0,-0.9999979937679446,8.960237204241836e-06,2.000005989498037,-1.791171106406606e-05,1.003111012143343e-06,4.480096201639909e-06,0.0,0.0,0.9999979947590444,-8.955810752979261e-06,1.0,0.0,0.0,0.0,5.560054930353608e-09,2.237408871393211e-10,-0.0001000008996888988,4.48009620163991e-10,-9.999989968789568e-05,4.480141002601927e-10,9.999979947590444e-05,-8.955810752979262e-10,5.560054930353608e-09,2.237408871393211e-10,9.99998996888988e-05,-4.48009620163991e-10,0.0001000007994738992,-8.955900311086797e-10
1,46.41588833612769,0.0,-0.999997993761547,9.31078232652187e-06,2.000005989485248,-1.861245846640326e-05,1.003114211028944e-06,4.655367886421501e-06,0.0,0.0,0.9999979947526499,-9.306182702288118e-06,1.0,0.0,0.0,0.0,5.560055089948168e-09,2.324941461051799e-10,-0.0001000008996885789,4.655367886421502e-10,-9.99998996875758e-05,4.655414440100369e-10,9.9999799475265e-05,-9.306182702288119e-10,5.560055089948168e-09,2.324941461051799e-10,9.99998996885789e-05,-4.655367886421502e-10,0.0001000007994732598,-9.306275764115142e-10
1,48.23178482239296,0.0,-0.9999979937546389,9.675041581576422e-06,2.000005989471438,-1.934062072151191e-05,1.003117664932773e-06,4.837496603305195e-06,0.0,0.0,0.9999979947457452,-9.670262009445905e-06,1.0,0.0,0.0,0.0,5.560055256481622e-09,2.415898527270215e-10,-0.0001000008996882335,4.837496603305195e-10,-9.999989968723039e-05,4.837544978271227e-10,9.999979947457453e-05,-9.670262009445906e-10,5.560055256481622e-09,2.415898527270215e-10,9.999989968823352e-05,-4.837496603305195e-10,0.0001000007994725693,-9.670358712066003e-10
1,50.11872336272711,0.0,-0.9999979937471798,1.005355149787384e-05,2.000005989456527,-2.009727036158991e-05,1.00312139450498e-06,5.026750615183843e-06,0.0,0.0,0.9999979947382898,-1.004858493787027e-05,1.0,0.0,0.0,0.0,5.560055450770651e-09,2.510414043470426e-10,-0.0001000008996878605,5.026750615183843e-10,-9.999989968685743e-05,5.026800882689997e-10,9.999979947382898e-05,-1.004858493787027e-09,5.560055450770651e-09,2.510414043470426e-10,9.999989968786055e-05,-5.026750615183843e-10,0.0001000007994718237,-1.004868542371965e-09
1,52.07948328595451,0.0,-0.9999979937391255,1.044686959411213e-05,2.000005989440427,-2.088352187876555e-05,1.003125421616957e-06,5.223408680012666e-06,0.0,0.0,0.9999979947302394,-1.044170873083912e-05,1.0,0.0,0.0,0.0,5.560055658937468e-09,2.608627224411047e-10,-0.0001000008996874578,5.223408680012666e-10,-9.99998996864547e-05,5.223460914099466e-10,9.999979947302394e-05,-1.044170873083912e-09,5.560055658937468e-09,2.608627224411047e-10,9.999989968745784e-05,-5.223408680012666e-10,0.0001000007994710187,-1.044181314792643e-09
