case,frequency_real,frequency_imag,v(base)_real,v(base)_imag,v(em)_real,v(em)_imag,v(x)_real,v(x)_imag,v(bias)_real,v(bias)_imag,v(out)_real,v(out)_imag,v(vcc)_real,v(vcc)_imag,i(vcc)_real,i(vcc)_imag,i(vb)_real,i(vb)_imag,ic(q2)_real,ic(q2)_imag,ib(q2)_real,ib(q2)_imag,i(re)_real,i(re)_imag,i(vin)_real,i(vin)_imag,ic(q1)_real,ic(q1)_imag,ib(q1)_real,ib(q1)_imag,i(rc)_real,i(rc)_imag
1,21.54434690031881,0.0,1.0,0.0,0.9731494819387432,2.56116949418472e-09,-0.02681543831889795,1.756238702246521e-08,0.0,0.0,-0.9607113549425732,8.579048527632016e-07,0.0,0.0,-0.0009607113549425732,8.579048527632016e-10,-5.977994257533227e-06,-3.225038540058639e-10,0.0009607113549425732,-8.579048527632016e-10,5.977994257533184e-06,3.225038540058639e-10,0.0009731494819387432,2.56116949418472e-12,-6.460132738641113e-06,-5.379621682515234e-10,0.0009666893492001072,-5.354009987573376e-10,6.460132738641058e-06,5.379621682515231e-10,0.0009607113549425732,-8.579048527632016e-10
1,22.38721138568337,0.0,1.0,0.0,0.9731494819387434,2.661368345309581e-09,-0.02681543831889759,1.824946806362889e-08,0.0,0.0,-0.960711354942544,8.914680670746609e-07,0.0,0.0,-0.000960711354942544,8.91468067074661e-10,-5.977994257554577e-06,-3.351209477702857e-10,0.000960711354942544,-8.914680670746608e-10,5.977994257554652e-06,3.351209477702857e-10,0.0009731494819387434,2.661368345309581e-12,-6.460132738642393e-06,-5.590084876496847e-10,0.0009666893492000985,-5.563471193043752e-10,6.460132738642576e-06,5.590084876496848e-10,0.000960711354942544,-8.91468067074661e-10
1,23.26305067153623,0.0,1.0,0.0,0.9731494819387433,2.765487206332082e-09,-0.02681543831889761,1.896342929804438e-08,0.0,0.0,-0.9607113549425275,9.263443516541023e-07,0.0,0.0,-0.0009607113549425275,9.263443516541024e-10,-5.97799425757772e-06,-3.482316513104804e-10,0.0009607113549425272,-9.26344351654102e-10,5.977994257577745e-06,3.482316513104803e-10,0.0009731494819387433,2.765487206332082e-12,-6.460132738643858e-06,-5.808781875499542e-10,0.000966689349200102,-5.781127003436218e-10,6.460132738643877e-06,5.808781875499544e-10,0.0009607113549425275,-9.263443516541024e-10
1,24.17315480804101,0.0,1.0,0.0,0.9731494819387434,2.873679437070513e-09,-0.02681543831889723,1.970532234079921e-08,0.0,0.0,-0.9607113549424946,9.625850768354974e-07,0.0,0.0,-0.0009607113549424946,9.625850768354974e-10,-5.977994257602619e-06,-3.618552757780613e-10,0.0009607113549424946,-9.625850768354974e-10,5.977994257602682e-06,3.618552757780614e-10,0.0009731494819387434,2.873679437070514e-12,-6.460132738645401e-06,-6.036034804945061e-10,0.0009666893492000971,-6.007298010574361e-10,6.460132738645504e-06,6.036034804945055e-10,0.0009607113549424946,-9.625850768354974e-10
1,25.11886431509577,0.0,1.0,0.0,0.9731494819387435,2.986104397132445e-09,-0.02681543831889703,2.047623994858586e-08,0.0,0.0,-0.9607113549424671,1.000243622678646e-06,0.0,0.0,-0.0009607113549424671,1.000243622678646e-09,-5.977994257629552e-06,-3.760118878214011e-10,0.000960711354942467,-1.000243622678646e-09,5.97799425762957e-06,3.760118878214013e-10,0.0009731494819387436,2.986104397132445e-12,-6.460132738647055e-06,-6.27217839254377e-10,0.0009666893492000923,-6.242317348572452e-10,6.460132738647238e-06,6.272178392543766e-10,0.0009607113549424671,-1.000243622678646e-09
1,26.10157215682533,0.0,1.0,0.0,0.9731494819387434,3.102927680640589e-09,-0.02681543831889682,2.127731762925623e-08,0.0,0.0,-0.9607113549424374,1.03937545759426e-06,0.0,0.0,-0.0009607113549424375,1.039375457594261e-09,-5.977994257658634e-06,-3.907223391423759e-10,0.0009607113549424371,-1.039375457594261e-09,5.977994257658735e-06,3.90722339142376e-10,0.0009731494819387434,3.102927680640589e-12,-6.460132738648905e-06,-6.517560461325248e-10,0.0009666893492000956,-6.486531184518845e-10,6.460132738648973e-06,6.517560461325248e-10,0.0009607113549424375,-1.039375457594261e-09
1,27.12272579332025,0.0,1.0,0.0,0.9731494819387433,3.224321360141155e-09,-0.02681543831889677,2.210973531434537e-08,0.0,0.0,-0.9607113549424117,1.080038220045073e-06,0.0,0.0,-0.0009607113549424117,1.080038220045073e-09,-5.977994257690077e-06,-4.06008297209484e-10,0.0009607113549424116,-1.080038220045073e-09,5.977994257690177e-06,4.06008297209484e-10,0.0009731494819387433,3.224321360141155e-12,-6.460132738650875e-06,-6.772542441957303e-10,0.0009666893492000988,-6.740299228355888e-10,6.460132738650708e-06,6.772542441957306e-10,0.0009607113549424117,-1.080038220045073e-09
1,28.1838293126445,0.0,1.0,0.0,0.9731494819387435,3.350464240054825e-09,-0.02681543831889633,2.297471909702829e-08,0.0,0.0,-0.9607113549423698,1.122291803443256e-06,0.0,0.0,-0.0009607113549423698,1.122291803443256e-09,-5.97799425772394e-06,-4.218922771724978e-10,0.0009607113549423698,-1.122291803443256e-09,5.977994257724004e-06,4.218922771724978e-10,0.0009731494819387436,3.350464240054825e-12,-6.460132738652941e-06,-7.037499905108129e-10,0.0009666893492000897,-7.00399526270758e-10,6.460132738653093e-06,7.037499905108123e-10,0.0009607113549423698,-1.122291803443256e-09
1,29.28644564625232,0.0,1.0,0.0,0.9731494819387434,3.481542120043119e-09,-0.02681543831889606,2.387354303806985e-08,0.0,0.0,-0.9607113549423324,1.166198444369269e-06,0.0,0.0,-0.0009607113549423324,1.166198444369269e-09,-5.977994257760552e-06,-4.383976750257382e-10,0.0009607113549423322,-1.166198444369269e-09,5.977994257760542e-06,4.383976750257379e-10,0.0009731494819387434,3.481542120043119e-12,-6.460132738655275e-06,-7.312823114635737e-10,0.0009666893492000926,-7.278007693435311e-10,6.46013273865537e-06,7.312823114635742e-10,0.0009607113549423324,-1.166198444369269e-09
1,30.43219887107717,0.0,1.0,0.0,0.9731494819387434,3.617748068678378e-09,-0.02681543831889577,2.480753104242716e-08,0.0,0.0,-0.9607113549422918,1.21182281424197e-06,0.0,0.0,-0.0009607113549422918,1.21182281424197e-09,-5.977994257800084e-06,-4.555488020687117e-10,0.0009607113549422918,-1.21182281424197e-09,5.977994257800007e-06,4.555488020687116e-10,0.0009731494819387434,3.617748068678378e-12,-6.460132738657745e-06,-7.59891760241936e-10,0.0009666893492000915,-7.562740121732582e-10,6.460132738657972e-06,7.598917602419369e-10,0.0009607113549422918,-1.21182281424197e-09
1,31.62277660168374,0.0,1.0,0.0,0.9731494819387435,3.759282707820283e-09,-0.02681543831889545,2.57780588092693e-08,0.0,0.0,-0.9607113549422478,1.259232114575116e-06,0.0,0.0,-0.0009607113549422478,1.259232114575116e-09,-5.97799425784277e-06,-4.73370920714974e-10,0.0009607113549422475,-1.259232114575116e-09,5.977994257842833e-06,4.733709207149741e-10,0.0009731494819387436,3.759282707820283e-12,-6.460132738660385e-06,-7.896204765679628e-10,0.0009666893492000863,-7.858611938601416e-10,6.460132738660357e-06,7.896204765679626e-10,0.0009607113549422478,-1.259232114575116e-09
1,32.85993247600649,0.0,1.0,0.0,0.9731494819387437,3.906354508117942e-09,-0.02681543831889491,2.678655585828632e-08,0.0,0.0,-0.9607113549421936,1.308496175960504e-06,0.0,0.0,-0.0009607113549421936,1.308496175960504e-09,-5.977994257888818e-06,-4.918902817018962e-10,0.0009607113549421936,-1.308496175960504e-09,5.977994257888803e-06,4.918902817018962e-10,0.0009731494819387438,3.906354508117942e-12,-6.460132738663202e-06,-8.205122487667239e-10,0.000966689349200077,-8.166058942586071e-10,6.460132738663393e-06,8.205122487667238e-10,0.0009607113549421936,-1.308496175960504e-09
1,34.14548873833596,0.0,1.0,0.0,0.9731494819387438,4.059180096072388e-09,-0.02681543831889435,2.783450763527178e-08,0.0,0.0,-0.9607113549421352,1.35968756092356e-06,0.0,0.0,-0.0009607113549421352,1.35968756092356e-09,-5.977994257938542e-06,-5.111341627561793e-10,0.0009607113549421352,-1.35968756092356e-09,5.977994257938568e-06,5.111341627561794e-10,0.0009731494819387439,4.059180096072388e-12,-6.460132738666286e-06,-8.526125782634521e-10,0.0009666893492000715,-8.485533981673808e-10,6.460132738666537e-06,8.526125782634524e-10,0.0009607113549421352,-1.35968756092356e-09
1,35.48133892335748,0.0,1.0,0.0,0.9731494819387437,4.217984573112592e-09,-0.02681543831889414,2.892345770008117e-08,0.0,0.0,-0.960711354942087,1.412881670802891e-06,0.0,0.0,-0.0009607113549420871,1.412881670802891e-09,-5.977994257992323e-06,-5.311309087720412e-10,0.0009607113549420871,-1.412881670802891e-09,5.977994257992236e-06,5.31130908772041e-10,0.0009731494819387438,4.217984573112592e-12,-6.460132738669671e-06,-8.859687466039624e-10,0.0009666893492000741,-8.817507620308497e-10,6.46013273866979e-06,8.859687466039625e-10,0.0009607113549420871,-1.412881670802891e-09
1,36.86945064519569,0.0,1.0,0.0,0.9731494819387438,4.383001847153937e-09,-0.02681543831889352,3.005501000018727e-08,0.0,0.0,-0.9607113549420204,1.468156856811151e-06,0.0,0.0,-0.0009607113549420205,1.468156856811151e-09,-5.977994258050306e-06,-5.519099735612394e-10,0.0009607113549420204,-1.468156856811151e-09,5.977994258050349e-06,5.519099735612394e-10,0.0009731494819387439,4.383001847153937e-12,-6.460132738673285e-06,-9.206298850970658e-10,0.0009666893492000683,-9.162468832499114e-10,6.460132738673368e-06,9.206298850970658e-10,0.0009607113549420205,-1.468156856811151e-09
1,38.31186849557281,0.0,1.0,0.0,0.9731494819387437,4.554474977128433e-09,-0.02681543831889324,3.123083123318361e-08,0.0,0.0,-0.9607113549419629,1.525594535440978e-06,0.0,0.0,-0.0009607113549419629,1.525594535440978e-09,-5.977994258113002e-06,-5.73501963236536e-10,0.0009607113549419629,-1.525594535440978e-09,5.977994258112907e-06,5.735019632365358e-10,0.0009731494819387438,4.554474977128433e-12,-6.460132738677221e-06,-9.56647047181571e-10,0.0009666893492000706,-9.520925722044422e-10,6.460132738677379e-06,9.566470471815705e-10,0.0009607113549419629,-1.525594535440978e-09
1,39.81071705534965,0.0,1.0,0.0,0.973149481938744,4.732656530993298e-09,-0.02681543831889235,3.245265330171289e-08,0.0,0.0,-0.9607113549418795,1.585279308385729e-06,0.0,0.0,-0.0009607113549418795,1.585279308385729e-09,-5.977994258180567e-06,-5.959386812922989e-10,0.0009607113549418793,-1.585279308385729e-09,5.97799425818067e-06,5.959386812922989e-10,0.000973149481938744,4.732656530993299e-12,-6.460132738681405e-06,-9.940732836244236e-10,0.0009666893492000606,-9.893406270934304e-10,6.460132738681499e-06,9.940732836244232e-10,0.0009607113549418795,-1.585279308385729e-09
