case,frequency_real,frequency_imag,v(out)_real,v(out)_imag,v(sum)_real,v(sum)_imag,v(vn)_real,v(vn)_imag,v(in)_real,v(in)_imag,v(vp)_real,v(vp)_imag,i(vp)_real,i(vp)_imag,i(vin)_real,i(vin)_imag,i(cf)_real,i(cf)_imag,i(rf)_real,i(rf)_imag,i(vn)_real,i(vn)_imag,i(ri)_real,i(ri)_imag
1,3.686945064519569,0.0,-94.89661795703812,21.98486151387205,0.0001032169311360771,1.302693031516935e-05,0.0,0.0,1.0,0.0,0.0,0.0,4.951941084395092e-05,1.094907938390486e-07,-9.99896783068864e-05,1.302693031516935e-09,-5.092957029700199e-06,-2.198354578088329e-05,-9.489672117396925e-05,2.198484848694174e-05,4.951941084395092e-05,1.094907938390486e-07,9.998967830688639e-05,-1.302693031516935e-09
1,3.831186849557281,0.0,-94.51255960077485,22.75250372131883,0.0001034444960791655,1.348179103230228e-05,0.0,0.0,1.0,0.0,0.0,0.0,4.95213235620487e-05,1.133138681460132e-07,-9.99896555503921e-05,1.348179103230228e-09,-5.476992401676664e-06,-2.275114204694277e-05,-9.451266304527093e-05,2.275249023952779e-05,4.95213235620487e-05,1.133138681460132e-07,9.99896555503921e-05,-1.348179103230228e-09
1,3.981071705534965,0.0,-94.10133828018068,23.53976586468976,0.0001036881558118381,1.394827756007645e-05,0.0,0.0,1.0,0.0,0.0,0.0,4.952337156038599e-05,1.172346549635448e-07,-9.998963118441883e-05,1.394827756007645e-09,-5.888189112394162e-06,-2.353835707470791e-05,-9.41014419683365e-05,2.35397519164122e-05,4.952337156038599e-05,1.172346549635448e-07,9.998963118441883e-05,-1.394827756007645e-09
1,4.136820402388499,0.0,-93.66131093059647,24.34631525046548,0.0001039488838942571,1.442619278694953e-05,0.0,0.0,1.0,0.0,0.0,0.0,4.952556302086288e-05,1.212514973947028e-07,-9.998960511161058e-05,1.442619278694954e-09,-6.328190128181321e-06,-2.43448581905678e-05,-9.366141487948036e-05,2.434630082427269e-05,4.952556302086288e-05,1.212514973947028e-07,9.998960511161058e-05,-1.442619278694954e-09
1,4.298662347082268,0.0,-93.19077786478033,25.17170401197667,0.0001042276874369937,1.491527135889672e-05,0.0,0.0,1.0,0.0,0.0,0.0,4.952790640693203e-05,1.25362165667432e-07,-9.99895772312563e-05,1.491527135889672e-09,-6.798695034560851e-06,-2.517019755465414e-05,-9.319088209246776e-05,2.517168909670531e-05,4.952790640693203e-05,1.25362165667432e-07,9.99895772312563e-05,-1.491527135889672e-09
1,4.466835921509622,0.0,-92.68798777271743,26.01535784726066,0.0001045256041385052,1.541517300631496e-05,0.0,0.0,1.0,0.0,0.0,0.0,4.953041044405875e-05,1.295637989588724e-07,-9.998954743958616e-05,1.541517300631496e-09,-7.301455036738987e-06,-2.601380089937185e-05,-9.268809229832158e-05,2.601534243208765e-05,4.953041044405875e-05,1.295637989588724e-07,9.998954743958616e-05,-1.541517300631496e-09
1,4.641588833612769,0.0,-92.15114408948563,26.87656441193714,0.0001048436985120033,1.592547566651759e-05,0.0,0.0,1.0,0.0,0.0,0.0,4.953308407708845e-05,1.338528498842047e-07,-9.99895156301488e-05,1.592547566651759e-09,-7.83826659212097e-06,-2.687495592296934e-05,-9.215124893318413e-05,2.687654848646147e-05,4.953308407708845e-05,1.338528498842047e-07,9.99895156301488e-05,-1.592547566651759e-09
1,4.823178482239296,0.0,-91.57841288130508,27.75446148759124,0.0001051830572127564,1.64456684732123e-05,0.0,0.0,1.0,0.0,0.0,0.0,4.953593644004854e-05,1.382250241005141e-07,-9.998948169427872e-05,1.64456684732123e-09,-8.410963524733392e-06,-2.775280045862978e-05,-9.157851806436229e-05,2.775444504192277e-05,4.953593644004854e-05,1.382250241005141e-07,9.998948169427872e-05,-1.64456684732123e-09
1,5.011872336272711,0.0,-90.96793239866096,28.64802507644205,0.0001055447833776069,1.697514470230242e-05,0.0,0.0,1.0,0.0,0.0,0.0,4.953897680552226e-05,1.426752216870115e-07,-9.998944552166224e-05,1.697514470230242e-09,-9.021407472673103e-06,-2.864631056985197e-05,-9.096803794344434e-05,2.864800810129735e-05,4.953897680552226e-05,1.426752216870115e-07,9.998944552166224e-05,-1.697514470230242e-09
1,5.207948328595451,0.0,-90.31782443959897,29.55605760632692,0.0001059299898919117,1.751319478305437e-05,0.0,0.0,1.0,0.0,0.0,0.0,4.954221452602895e-05,1.471974787472982e-07,-9.998940700101081e-05,1.751319478305437e-09,-9.671476525491974e-06,-2.955428875614064e-05,-9.031793036958885e-05,2.955604009313214e-05,4.954221452602895e-05,1.471974787472982e-07,9.998940700101081e-05,-1.751319478305437e-09
1,5.411695265464624,0.0,-89.62620765494106,30.47717646582775,0.0001063397915058426,1.80589995048846e-05,0.0,0.0,1.0,0.0,0.0,0.0,4.954565897273964e-05,1.517849096777661e-07,-9.998936602084942e-05,1.80589995048846e-09,-1.036305191977708e-05,-3.047535248881875e-05,-8.962631399473256e-05,3.047715840682824e-05,4.954565897273964e-05,1.517849096777661e-07,9.998936602084942e-05,-1.80589995048846e-09
1,5.623413251903477,0.0,-88.89121290920028,31.40980312704765,0.0001067752957326298,1.861162357234652e-05,0.0,0.0,1.0,0.0,0.0,0.0,4.954931945376475e-05,1.564296527666654e-07,-9.998932247042674e-05,1.861162357234652e-09,-1.109800267915543e-05,-3.140792333445522e-05,-8.889131968449601e-05,3.140978451542408e-05,4.954931945376475e-05,1.564296527666654e-07,9.998932247042674e-05,-1.861162357234652e-09
1,5.843414133735162,0.0,-88.11100078532121,32.35215315217332,0.0001072375924765308,1.917000968378568e-05,0.0,0.0,1.0,0.0,0.0,0.0,4.955320512977703e-05,1.611228204561109e-07,-9.998927624075235e-05,1.917000968378567e-09,-1.187816811060111e-05,-3.235021696202524e-05,-8.811110802291368e-05,3.235213398216363e-05,4.955320512977703e-05,1.611228204561109e-07,9.998927624075235e-05,-1.917000968378567e-09
1,6.07202195690987,0.0,-87.28378128703878,33.30222741826904,0.0001077277423586504,1.97329733318315e-05,0.0,0.0,1.0,0.0,0.0,0.0,4.955732491542382e-05,1.658544575976929e-07,-9.998922722576415e-05,1.97329733318315e-09,-1.270533810325527e-05,-3.330023436822956e-05,-8.728388901478114e-05,3.330220768529571e-05,4.955732491542382e-05,1.658544575976929e-07,9.998922722576413e-05,-1.97329733318315e-09
