case,vg,v(gate),v(drain),i(vd),id(j1),i(vg)
1,-0.4199999999999999,-0.4199999999999999,3.0,-0.003800769003421001,0.003800769003421001,3.841999999911316e-12
1,-0.4099999999999999,-0.4099999999999999,3.0,-0.003849032253411001,0.003849032253411001,3.821999999869458e-12
1,-0.3999999999999999,-0.3999999999999999,3.0,-0.003897600003401001,0.003897600003401001,3.801999999807841e-12
1,-0.3899999999999999,-0.3899999999999999,3.0,-0.003946472253391,0.003946472253391,3.781999999717142e-12
1,-0.3799999999999999,-0.3799999999999999,3.0,-0.003995649003381001,0.003995649003381001,3.761999999583631e-12
1,-0.3699999999999999,-0.3699999999999999,3.0,-0.004045130253371,0.004045130253371,3.741999999387104e-12
1,-0.3599999999999999,-0.3599999999999999,3.0,-0.004094916003361,0.004094916003361,3.721999999097816e-12
1,-0.3499999999999999,-0.3499999999999999,3.0,-0.004145006253351001,0.004145006253351,3.701999998671984e-12
1,-0.3399999999999999,-0.3399999999999999,3.0,-0.004195401003341001,0.004195401003341001,3.681999998045157e-12
1,-0.3300000000000001,-0.3300000000000001,3.0,-0.004246100253330999,0.004246100253331,3.661999997122468e-12
1,-0.3200000000000001,-0.3200000000000001,3.0,-0.004297104003321,0.004297104003320999,3.641999995764266e-12
1,-0.3100000000000001,-0.3100000000000001,3.0,-0.004348412253311,0.004348412253310999,3.621999993764989e-12
1,-0.3,-0.3,3.0,-0.004400025003301,0.004400025003300999,3.601999990822049e-12
1,-0.29,-0.29,3.0,-0.004451942253291,0.004451942253291,3.581999986490036e-12
1,-0.28,-0.28,3.0,-0.004504164003281,0.004504164003280999,3.561999980113302e-12
