case,vtest,v(ref),v(out),v(vcc),i(vcc),ic(q1),ib(q1),i(vtest),i(rr),ic(q2),ib(q2)
1,1.9,4.307451987384021,1.9,5.0,-0.008660562345322198,-0.004250774988568922,-2.833850061632968e-05,0.004353110357938061,0.004307451987384021,-0.004353110357938154,-2.833849819887184e-05
1,1.925,4.30745198738417,1.925,5.0,-0.008659499651525016,-0.00425077498854427,-2.833850061617225e-05,0.004352047664140657,0.00430745198738417,-0.004352047664140766,-2.833849822372826e-05
1,1.95,4.30745198738432,1.95,5.0,-0.008658436957728055,-0.004250774988519891,-2.833850061602025e-05,0.004350984970343585,0.00430745198738432,-0.004350984970343704,-2.833849824856235e-05
1,1.975,4.30745198738447,1.975,5.0,-0.00865737426393065,-0.004250774988495374,-2.833850061585111e-05,0.004349922276546514,0.00430745198738447,-0.004349922276546472,-2.833849827339329e-05
1,2.0,4.307451987384619,2.0,5.0,-0.008656311570133912,-0.00425077498847068,-2.833850061569434e-05,0.004348859582749109,0.004307451987384619,-0.004348859582749078,-2.833849829825036e-05
1,2.025,4.307451987384769,2.025,5.0,-0.008655248876336952,-0.004250774988446313,-2.83385006155149e-05,0.004347796888952038,0.004307451987384769,-0.004347796888952048,-2.833849832307089e-05
1,2.05,4.307451987384917,2.05,5.0,-0.00865418618253977,-0.004250774988421662,-2.833850061535715e-05,0.004346734195154744,0.004307451987384917,-0.004346734195154726,-2.833849834789923e-05
1,2.075,4.307451987385066,2.075,5.0,-0.008653123488742809,-0.004250774988397273,-2.833850061518758e-05,0.004345671501357673,0.004307451987385066,-0.004345671501357706,-2.833849837272973e-05
1,2.1,4.307451987385215,2.1,5.0,-0.008652060794945626,-0.004250774988372621,-2.83385006150307e-05,0.004344608807560379,0.004307451987385215,-0.004344608807560403,-2.833849839757282e-05
1,2.125,4.307451987385364,2.125,5.0,-0.008650998101148888,-0.004250774988348245,-2.833850061487555e-05,0.004343546113763419,0.004307451987385364,-0.004343546113763402,-2.833849842241764e-05
1,2.15,4.307451987385513,2.15,5.0,-0.008649935407351927,-0.004250774988323702,-2.833850061470598e-05,0.004342483419966348,0.004307451987385513,-0.004342483419966232,-2.833849844726202e-05
1,2.175,4.307451987385662,2.175,5.0,-0.008648872713554745,-0.00425077498829916,-2.833850061453598e-05,0.004341420726169165,0.004307451987385662,-0.004341420726169132,-2.833849847207811e-05
1,2.2,4.307451987385813,2.2,5.0,-0.008647810019758007,-0.004250774988274653,-2.83385006143843e-05,0.004340358032372094,0.004307451987385813,-0.004340358032372017,-2.833849849694027e-05
1,2.225,4.307451987385962,2.225,5.0,-0.008646747325960602,-0.004250774988250002,-2.833850061419879e-05,0.0043392953385748,0.004307451987385962,-0.004339295338574795,-2.833849852174096e-05
1,2.25,4.30745198738611,2.25,5.0,-0.008645684632164086,-0.004250774988225627,-2.833850061402922e-05,0.00433823264477784,0.00430745198738611,-0.004338232644777846,-2.833849854658524e-05
