case,vin,v(c1),v(tail),v(vn),v(c2),v(in),v(vp),i(vp),i(vin),ic(q2),ib(q2),i(it),i(rc2),i(vn),ic(q1),ib(q1),i(rc1)
2,-0.036,11.05064049475446,-0.6470275817780993,-12.0,8.27797332154266,-0.036,12.0,-0.0009939119539793331,-1.212204725189727e-06,0.0007919205698845395,4.875841295472126e-06,0.001,0.0007919205698845404,0.001,0.0002019913840947964,1.212204725189724e-06,0.0002019913840947963
2,-0.034,10.99166798485318,-0.6466005394896407,-12.0,8.336927812236937,-0.034,12.0,-0.0009939157878531709,-1.288212498557411e-06,0.0007793770612261856,4.79599964827465e-06,0.001,0.0007793770612261837,0.001,0.0002145387266269848,1.288212498557411e-06,0.0002145387266269837
2,-0.032,10.93012379771462,-0.6461477280108028,-12.0,8.39845403788867,-0.032,12.0,-0.000993919609446107,-1.367622823237423e-06,0.0007662863749172984,4.712767730661967e-06,0.001,0.0007662863749173044,0.001,0.0002276332345288062,1.367622823237424e-06,0.0002276332345288047
2,-0.03,10.86602600787773,-0.645668100638661,-12.0,8.462534036593027,-0.03,12.0,-0.0009939233947934595,-1.450423717797538e-06,0.0007526523326397843,4.626181488748542e-06,0.001,0.0007526523326397814,0.001,0.0002412710621536755,1.450423717797531e-06,0.0002412710621536748
2,-0.028,10.79940910812484,-0.6451606253114919,-12.0,8.529133435793568,-0.028,12.0,-0.0009939271183152208,-1.536582347835402e-06,0.000738482247703489,4.536299336936936e-06,0.001,0.0007384822477034961,0.001,0.0002554448706117343,1.536582347835407e-06,0.0002554448706117355
2,-0.026,10.73032493068521,-0.6446242913110157,-12.0,8.598200529912788,-0.026,12.0,-0.0009939307530642582,-1.626043691125137e-06,0.0007237871212951566,4.443203244615078e-06,0.001,0.0007237871212951516,0.001,0.0002701436317691058,1.626043691125141e-06,0.0002701436317691042
2,-0.02400000000000002,10.65884338235177,-0.6440581161997586,-12.0,8.669665543802282,-0.02400000000000002,12.0,-0.0009939342710310545,-1.718729419962412e-06,0.0007085817991910068,4.346999548979571e-06,0.001,0.0007085817991910039,0.001,0.0002853524718400494,1.718729419962412e-06,0.0002853524718400499
2,-0.02200000000000002,10.58505295953174,-0.6434611529116372,-12.0,8.743440116004649,-0.02200000000000002,12.0,-0.0009939376435028858,-1.814537046502317e-06,0.0006928850817011317,4.247819450610763e-06,0.001,0.0006928850817011384,0.001,0.0003010525618017561,1.814537046502314e-06,0.000301052561801757
2,-0.02000000000000002,10.50906101196071,-0.6428324969048893,-12.0,8.819417033119237,-0.02000000000000002,12.0,-0.000993940841472355,-1.913339374479626e-06,0.0006767197801874005,4.145819153162248e-06,0.001,0.0006767197801873965,0.001,0.0003172210612849551,1.913339374479623e-06,0.0003172210612849545
2,-0.01800000000000002,10.4309937279627,-0.6421712932791582,-12.0,8.89747024242233,-0.01800000000000002,12.0,-0.000993943836088293,-2.014984296388596e-06,0.0006601127143782328,4.041179615315647e-06,0.001,0.0006601127143782277,0.001,0.0003338311217100635,2.014984296388595e-06,0.0003338311217100629
2,-0.01600000000000001,10.35099581971699,-0.6414767437532146,-12.0,8.977455164327836,-0.01600000000000001,12.0,-0.0009939465991393903,-2.119294969111679e-06,0.0006430946458876913,3.934105891500097e-06,0.001,0.0006430946458876945,0.001,0.0003508519532517012,2.119294969111675e-06,0.0003508519532517034
2,-0.01400000000000001,10.26922989389266,-0.6407481133967828,-12.0,9.059209319381779,-0.01400000000000001,12.0,-0.0009939491035586357,-2.226070392993279e-06,0.0006257001448123901,3.824826048376046e-06,0.001,0.0006257001448123874,0.001,0.0003682489587462439,2.226070392993282e-06,0.0003682489587462428
2,-0.01200000000000001,10.18587550105464,-0.6399847370093811,-12.0,9.142553276451167,-0.01200000000000001,12.0,-0.0009939513239349321,-2.335086409767981e-06,0.0006079673879891114,3.71358965529754e-06,0.001,0.0006079673879891133,0.001,0.0003859839359458228,2.335086409767983e-06,0.0003859839359458219
2,-0.01000000000000001,10.10112786616472,-0.6391860250411586,-12.0,9.22729191985654,-0.01000000000000001,12.0,-0.0009939532370167484,-2.446097123691045e-06,0.0005899378893922225,3.600665859561979e-06,0.001,0.0005899378893922255,0.001,0.0004040153476245261,2.446097123691051e-06,0.0004040153476245272
2,-0.008000000000000007,10.01519631196229,-0.6383514689554293,-12.0,9.313216023736771,-0.008000000000000007,12.0,-0.0009939548221916884,-2.558836738337479e-06,0.0005716561651623846,3.486341069978264e-06,0.001,0.0005716561651623891,0.001,0.0004222986570292996,2.558836738337477e-06,0.0004222986570292996
2,-0.006000000000000005,9.928302396623065,-0.6374806459398789,-12.0,9.400104112323781,-0.006000000000000005,12.0,-0.0009939560619262092,-2.673021788833418e-06,0.0005531693378034537,3.370916284961415e-06,0.001,0.0005531693378034508,0.001,0.0004407867241227537,2.673021788833426e-06,0.000440786724122752
2,-0.004000000000000004,9.84067779643343,-0.6365732228831491,-12.0,9.487724575461947,-0.004000000000000004,12.0,-0.0009939569421499204,-2.788353736871701e-06,0.0005345266860719265,3.254704113207091e-06,0.001,0.0005345266860719263,0.001,0.0004594302560779934,2.788353736871705e-06,0.0004594302560779935
2,-0.002000000000000002,9.752561972844296,-0.6356289595454001,-12.0,9.575838000073375,-0.002000000000000002,12.0,-0.0009939574525707037,-2.904521883719261e-06,0.0005157791489205541,3.138025545578385e-06,0.001,0.0005157791489205585,0.001,0.0004781783036501466,2.904521883719262e-06,0.0004781783036501498
2,0.0,9.664199670764331,-0.6346477108652647,-12.0,9.664199670764347,0.0,12.0,-0.0009939575869087822,-3.021206545609402e-06,0.0004969787934543916,3.021206545609402e-06,0.001,0.0004969787934543942,0.001,0.0004969787934543916,3.021206545609402e-06,0.0004969787934543976
2,0.002000000000000002,9.575838300938667,-0.6336294283609305,-12.0,9.752562186768088,0.002000000000000002,12.0,-0.0009939573430411196,-3.138082426577201e-06,0.0004781782581344498,2.904574532310451e-06,0.001,0.0004781782581344493,0.001,0.0005157790849066692,3.138082426577197e-06,0.0005157790849066666
2,0.004000000000000004,9.487725263429738,-0.6325741605995464,-12.0,9.840678138233784,0.004000000000000004,12.0,-0.0009939567230503117,-3.254822116768127e-06,0.000459430183354511,2.788454832921815e-06,0.001,0.000459430183354514,0.001,0.0005345265396957993,3.254822116768128e-06,0.0005345265396958004
