case,frequency_real,frequency_imag,v(low)_real,v(low)_imag,v(high)_real,v(high)_imag,v(in)_real,v(in)_imag,i(vin)_real,i(vin)_imag,i(clp)_real,i(clp)_imag,i(rhp)_real,i(rhp)_imag,i(rlp)_real,i(rlp)_imag,i(chp)_real,i(chp)_imag
1,2.154434690031882,0.0,0.9999999816757422,-0.0001353671214163612,1.832425789633029e-08,0.0001353671214163612,1.0,0.0,-3.664851558914194e-11,-2.707342428327223e-07,1.832425789633029e-11,1.353671214163611e-07,1.832425789633029e-11,1.353671214163611e-07,1.83242577778131e-11,1.353671214163612e-07,1.832425789633029e-11,1.353671214163611e-07
1,2.238721138568337,0.0,0.9999999802139217,-0.0001406629948640802,1.978607851562116e-08,0.0001406629948640802,1.0,0.0,-3.957215689029676e-11,-2.813259897281604e-07,1.978607851562116e-11,1.406629948640802e-07,1.978607851562116e-11,1.406629948640802e-07,1.978607833130752e-11,1.406629948640802e-07,1.978607851562115e-11,1.406629948640802e-07
1,2.326305067153623,0.0,0.999999978635484,-0.0001461660550568036,2.136451610731107e-08,0.0001461660550568036,1.0,0.0,-4.272903216636361e-11,-2.923321101136071e-07,2.136451610731108e-11,1.461660550568036e-07,2.136451610731108e-11,1.461660550568036e-07,2.136451604517475e-11,1.461660550568036e-07,2.136451610731108e-11,1.461660550568035e-07
1,2.417315480804101,0.0,0.9999999769311262,-0.0001518844076142586,2.306887380850718e-08,0.0001518844076142586,1.0,0.0,-4.613774765961086e-11,-3.037688152285171e-07,2.306887380850718e-11,1.518844076142586e-07,2.306887380850718e-11,1.518844076142586e-07,2.306887381120504e-11,1.518844076142586e-07,2.306887380850718e-11,1.518844076142586e-07
1,2.511886431509577,0.0,0.9999999750908031,-0.0001578264752663165,2.490919691545731e-08,0.0001578264752663165,1.0,0.0,-4.981839379941441e-11,-3.156529505326331e-07,2.490919691545731e-11,1.578264752663165e-07,2.490919691545731e-11,1.578264752663165e-07,2.490919692732518e-11,1.578264752663165e-07,2.490919691545731e-11,1.578264752663165e-07
1,2.610157215682533,0.0,0.999999973103668,-0.0001640010102590269,2.689633208939414e-08,0.000164001010259027,1.0,0.0,-5.379266403922135e-11,-3.280020205180539e-07,2.689633208939414e-11,1.64001010259027e-07,2.689633208939414e-11,1.64001010259027e-07,2.689633205044117e-11,1.640010102590269e-07,2.689633208939414e-11,1.64001010259027e-07
1,2.712272579332025,0.0,0.9999999709580087,-0.0001704171072459983,2.904199128553133e-08,0.0001704171072459983,1.0,0.0,-5.808398253663385e-11,-3.408342144919965e-07,2.904199128553133e-11,1.704171072459983e-07,2.904199128553133e-11,1.704171072459983e-07,2.904199125630669e-11,1.704171072459983e-07,2.904199128553133e-11,1.704171072459983e-07
1,2.81838293126445,0.0,0.9999999686411792,-0.0001770842166841129,3.135882078200148e-08,0.0001770842166841129,1.0,0.0,-6.271764148708393e-11,-3.541684333682257e-07,3.135882078200148e-11,1.770842166841129e-07,3.135882078200148e-11,1.770842166841129e-07,3.135882076232832e-11,1.770842166841129e-07,3.135882078200148e-11,1.770842166841129e-07
1,2.928644564625232,0.0,0.9999999661395242,-0.0001840121587533067,3.386047571558397e-08,0.0001840121587533067,1.0,0.0,-6.772095155371342e-11,-3.680243175066134e-07,3.386047571558397e-11,1.840121587533067e-07,3.386047571558397e-11,1.840121587533067e-07,3.386047575659746e-11,1.840121587533067e-07,3.386047571558397e-11,1.840121587533067e-07
1,3.043219887107717,0.0,0.9999999634382994,-0.0001912111378209146,3.656170056352676e-08,0.0001912111378209146,1.0,0.0,-7.312340106227351e-11,-3.824222756418293e-07,3.656170056352676e-11,1.912111378209147e-07,3.656170056352676e-11,1.912111378209147e-07,3.656170055599262e-11,1.912111378209147e-07,3.656170056352676e-11,1.912111378209147e-07
1,3.162277660168374,0.0,0.9999999605215841,-0.0001986917574718855,3.94784160458119e-08,0.0001986917574718855,1.0,0.0,-7.895683180796829e-11,-3.97383514943771e-07,3.94784160458119e-11,1.986917574718855e-07,3.94784160458119e-11,1.986917574718855e-07,3.947841586970924e-11,1.986917574718855e-07,3.94784160458119e-11,1.986917574718855e-07
1,3.285993247600649,0.0,0.999999957372187,-0.000206465036127004,4.262781296005551e-08,0.000206465036127004,1.0,0.0,-8.525562591490125e-11,-4.129300722540081e-07,4.262781296005552e-11,2.06465036127004e-07,4.262781296005551e-11,2.06465036127004e-07,4.262781294617213e-11,2.06465036127004e-07,4.262781296005552e-11,2.06465036127004e-07
