Cfilter,time,V(b),V(out),V(raw),V(a),I(D1),I(D3),I(D4),I(CFILTER),I(D2),I(RLOAD)
1e-12,0.0003430650932340804,-0.5161715807945053,0.2559196141311858,0.7746509497756824,0.7720911949258666,0.0002559489297221385,-2.655525920748959e-08,0.0002559489297210185,2.760331953912441e-09,-2.655525910277845e-08,0.0002559196141311858
1e-12,0.0003573745129528289,-0.5226909608516241,0.2960980859785394,0.8217505793937747,0.8187890468302562,0.0002961270988333098,-2.615751868516547e-08,0.0002961270988326284,2.855335705967603e-09,-2.615751892864893e-08,0.0002960980859785395
1e-12,0.0003732741950794557,-0.529160023880285,0.3422444753608275,0.8748275048820585,0.8714044992411345,0.0003422739944053399,-2.656968708172469e-08,0.0003422739944051659,2.949357765966303e-09,-2.656968645098345e-08,0.0003422444753608275
1e-12,0.0003914218775484801,-0.5357255960692728,0.3964929486727093,0.9361840251782325,0.9322185447421719,0.0003965220107399192,-2.603286766866221e-08,0.0003965220107375318,3.029198985417647e-09,-2.603286863855914e-08,0.0003964929486727094
1e-12,0.0004114218775484801,-0.5421405235947252,0.457848862733324,1.004568432087766,0.9999893863282208,0.0004578782725406239,-2.630341518348109e-08,0.0004578782725393065,3.106392590975464e-09,-2.630341500164946e-08,0.000457848862733324
1e-12,0.0004314218775484801,-0.5478566620729197,0.5205280790433278,1.073590566623377,1.068384741116464,0.0005205568956312412,-2.565505964777742e-08,0.0005205568956293623,3.161529170436784e-09,-2.565505918816768e-08,0.0005205280790433278
1e-12,0.0004514218775484801,-0.553000564058939,0.5842770419322905,1.143120925690936,1.137277605991288,0.0005843061126320492,-2.585733266202846e-08,0.0005843061126319029,3.213367186697409e-09,-2.585733183124717e-08,0.0005842770419322904
1e-12,0.0004714218775484801,-0.557671381360775,0.6488965270923726,1.213057409470489,1.206567908453151,0.0006489249387031659,-2.516302987227267e-08,0.0006489249387031074,3.24903754954544e-09,-2.516303054811431e-08,0.0006488965270923726
1e-12,0.0004914218775484801,-0.5619397632118026,0.7142436836414827,1.283326423360161,1.276183446853403,0.0007142723102260273,-2.534045016933677e-08,0.0007142723102240801,3.286467181759778e-09,-2.534044973856453e-08,0.0007142436836414828
1e-12,0.00051142187754848,-0.5658663915114228,0.7801954709610414,1.353864342851796,1.346061862472421,0.0007802234089726579,-2.462896581066991e-08,0.0007802234089725798,3.309286177906365e-09,-2.462896664390257e-08,0.0007801954709610413
1e-12,0.0005314218775484801,-0.5695008219152533,0.8466508132058775,1.424618672556935,1.416151635121196,0.0008466789466354818,-2.479694002224608e-08,0.0008466789466335346,3.336667590122344e-09,-2.479694116708231e-08,0.0008466508132058775
1e-12,0.0005514218775484801,-0.5728803131424445,0.9135330580954701,1.49554921701555,1.486413371237935,0.000913560493795984,-2.408396618668244e-08,0.0009135604937969923,3.3518707538813e-09,-2.408396593267526e-08,0.0009135330580954702
1e-12,0.0005714218775484802,-0.576037293123759,0.980775052229715,1.566620614663911,1.55681234535348,0.0009808026778690415,-2.42531745432532e-08,0.000980802677867862,3.372568849394364e-09,-2.425317391363535e-08,0.000980775052229715
