case,time,v(drive),v(out),v(gate),v(vdd),i(vdd),i(rg),i(rl),i(cgs),i(vin),id(m1),i(cgd)
3,1.78667647416961e-05,0.0,11.99987298474404,0.02476600035694787,12.0,-1.058460467573408e-05,-5.269361778074015e-05,1.05846046634106e-05,-4.249583788674266e-05,5.269361778067779e-05,3.868247944183167e-07,-1.019777989386128e-05
3,1.78717647416961e-05,0.0,11.99987352263224,0.02466094422271592,12.0,-1.053978062237615e-05,-5.247009409088494e-05,1.053978064676405e-05,-4.154906947572562e-05,5.247009409100871e-05,-3.81244014135973e-07,-1.092102461530686e-05
3,1.78767647416961e-05,0.0,11.99987406004195,0.02455633409122404,12.0,-1.049499649607988e-05,-5.224751934302987e-05,1.049499650429553e-05,-4.213903565489577e-05,5.224751934307334e-05,3.865126885216341e-07,-1.010848368832029e-05
3,1.78817647416961e-05,0.0,11.99987459336979,0.02445216734947175,12.0,-1.045055251891469e-05,-5.202588797759947e-05,1.045055251728636e-05,-4.119435773378838e-05,5.202588797759097e-05,-3.809778270635888e-07,-1.083153024383776e-05
3,1.78867647416961e-05,0.0,11.99987512623734,0.02434844283747761,12.0,-1.040614691527608e-05,-5.180519752654811e-05,1.040614688818664e-05,-4.178525191694121e-05,5.180519752640922e-05,3.862012043498453e-07,-1.001994560922981e-05
3,1.78917647416961e-05,0.0,11.99987565504365,0.02424515795874793,12.0,-1.036207972160419e-05,-5.158544246542113e-05,1.0362079695773e-05,-4.084265116876748e-05,5.158544246528885e-05,-3.807116399912047e-07,-1.074279129653632e-05
3,1.789676474169611e-05,0.0,11.9998761834068,0.02414231156855307,12.0,-1.031804943818493e-05,-5.136662035862354e-05,1.031804943322593e-05,-4.143446104645787e-05,5.136662035859803e-05,3.858901642672663e-07,-9.932159312331379e-06
3,1.790176474169611e-05,0.0,11.99987670772792,0.02403990108670051,12.0,-1.027435597045212e-05,-5.114872571638407e-05,1.027435600686744e-05,-4.049392437519353e-05,5.11487257165702e-05,-3.804453641009786e-07,-1.065480134165853e-05
3,1.790676474169611e-05,0.0,11.99987723162448,0.02393792538415962,12.0,-1.023069797279064e-05,-5.093175613650983e-05,1.023069795976402e-05,-4.108663761239958e-05,5.093175613644369e-05,3.855793906382132e-07,-9.845118523976737e-06
3,1.791176474169611e-05,0.0,11.99987775150093,0.02383638189714876,12.0,-1.018737491187416e-05,-5.07157061641463e-05,1.018737492216222e-05,-4.014815200161642e-05,5.071570616419827e-05,-3.801792658464365e-07,-1.056755416284361e-05
3,1.791676474169611e-05,0.0,11.99987827096941,0.02373526951125315,12.0,-1.014408587218796e-05,-5.05005734281982e-05,1.014408588225398e-05,-4.074175667650309e-05,5.050057342824828e-05,3.85269149916212e-07,-9.758816752025723e-06
3,1.792176474169611e-05,0.0,11.99987878643761,0.0236345856789546,12.0,-1.01011302406917e-05,-5.028635250841405e-05,1.010113019953944e-05,-3.980530922238074e-05,5.028635250820428e-05,-3.799131675918943e-07,-1.048104328660315e-05
3,1.792676474169611e-05,0.0,11.99987930151578,0.02353432930101329,12.0,-1.005820704402804e-05,-5.007304106598572e-05,1.005820701852992e-05,-4.039979325820564e-05,5.007304106585627e-05,3.849590868298947e-07,-9.673247808095198e-06
3,1.793176474169611e-05,0.0,11.99987981261278,0.02343449784563356,12.0,-1.00156156086495e-05,-4.986063371411396e-05,1.001561560161808e-05,-3.946537110775111e-05,4.986063371407806e-05,-3.796470693373521e-07,-1.039526260626644e-05
3,1.793676474169611e-05,0.0,11.999880323337,0.02333509022861691,12.0,-9.973055253631458e-06,-4.964912814599341e-05,9.973055250374802e-06,-4.006072252547149e-05,4.964912814597641e-05,3.846496454684711e-07,-9.588405620153395e-06
3,1.794176474169611e-05,0.0,11.99988083010023,0.02323610393410869,12.0,-9.930824955484141e-06,-4.943851900874189e-05,9.93082498101927e-06,-3.912831303847647e-05,4.943851900887228e-05,-3.79381059900652e-07,-1.031020597030974e-05
