case,frequency_real,frequency_imag,v(fb)_real,v(fb)_imag,v(out)_real,v(out)_imag,v(vn)_real,v(vn)_imag,v(in)_real,v(in)_imag,v(vp)_real,v(vp)_imag,i(vp)_real,i(vp)_imag,i(vin)_real,i(vin)_imag,i(rf)_real,i(rf)_imag,i(vn)_real,i(vn)_imag,i(rg)_real,i(rg)_imag
1,30.43219887107717,0.0,0.9999979821729018,-6.128636611531074e-05,1.999996964343786,-0.0001225727935169876,0.0,0.0,1.0,0.0,0.0,0.0,-0.000499988421736916,3.064256598046552e-08,-1e-09,0.0,0.0009999989821708841,-6.128642740167686e-08,-0.000499988421736916,3.064256598046552e-08,0.000999997982172902,-6.128636611531074e-08
1,31.62277660168374,0.0,0.9999979818732826,-6.368402993234752e-05,1.999996963744547,-0.000127368123548725,0.0,0.0,1.0,0.0,0.0,0.0,-0.0004999884215870914,3.184137374750181e-08,-1e-09,0.0,0.0009999989818712648,-6.368409361637744e-08,-0.0004999884215870914,3.184137374750181e-08,0.0009999979818732826,-6.368402993234752e-08
1,32.85993247600649,0.0,0.9999979815497612,-6.617549587940092e-05,1.999996963097504,-0.0001323510579342977,0.0,0.0,1.0,0.0,0.0,0.0,-0.0004999884214253597,3.308708163507713e-08,-1e-09,0.0,0.000999998981547743,-6.61755620548968e-08,-0.0004999884214253597,3.308708163507713e-08,0.0009999979815497613,-6.617549587940093e-08
1,34.14548873833596,0.0,0.9999979812004307,-6.876443371161772e-05,1.999996962398843,-0.0001375289361876692,0.0,0.0,1.0,0.0,0.0,0.0,-0.0004999884212506939,3.438152448381457e-08,-1e-09,0.0,0.000999998981198412,-6.876450247605143e-08,-0.0004999884212506939,3.438152448381457e-08,0.0009999979812004307,-6.876443371161773e-08
1,35.48133892335748,0.0,0.9999979808232324,-7.1454656753386e-05,1.999996961644446,-0.0001429093849614288,0.0,0.0,1.0,0.0,0.0,0.0,-0.0004999884210620809,3.572660891751063e-08,-1e-09,0.0,0.0009999989808212135,-7.145472820804276e-08,-0.0004999884210620809,3.572660891751063e-08,0.0009999979808232324,-7.145465675338601e-08
1,36.86945064519569,0.0,0.9999979804159433,-7.42501275150902e-05,1.999996960829867,-0.0001485003292803079,0.0,0.0,1.0,0.0,0.0,0.0,-0.0004999884208584521,3.712431615146277e-08,-1e-09,0.0,0.0009999989804139239,-7.425020176521771e-08,-0.0004999884208584521,3.712431615146277e-08,0.0009999979804159434,-7.42501275150902e-08
1,38.31186849557281,0.0,0.9999979799761627,-7.715496352960639e-05,1.999996959950306,-0.0001543100042141763,0.0,0.0,1.0,0.0,0.0,0.0,-0.0004999884206385447,3.857670491064695e-08,-1e-09,0.0,0.0009999989799741428,-7.715504068456993e-08,-0.0004999884206385447,3.857670491064695e-08,0.0009999979799761628,-7.715496352960639e-08
1,39.81071705534965,0.0,0.9999979795012981,-8.017344341713377e-05,1.999996959000576,-0.000160346967007711,0.0,0.0,1.0,0.0,0.0,0.0,-0.0004999884204011373,4.008591446208462e-08,-1e-09,0.0,0.000999998979499278,-8.017352359057721e-08,-0.0004999884204011373,4.008591446208462e-08,0.000999997979501298,-8.017344341713378e-08
1,41.36820402388499,0.0,0.9999979789885514,-8.33100131872962e-05,1.999996957975082,-0.0001666201096846056,0.0,0.0,1.0,0.0,0.0,0.0,-0.0004999884201447591,4.165416776582814e-08,-1e-09,0.0,0.0009999989789865307,-8.331009649730939e-08,-0.0004999884201447591,4.165416776582814e-08,0.0009999979789885513,-8.331001318729621e-08
1,42.98662347082268,0.0,0.9999979784349002,-8.656929278779522e-05,1.999996956867779,-0.0001731386721448832,0.0,0.0,1.0,0.0,0.0,0.0,-0.0004999884198679527,4.328377474920221e-08,-1e-09,0.0,0.0009999989784328788,-8.6569379357088e-08,-0.0004999884198679527,4.328377474920221e-08,0.0009999979784349002,-8.656929278779522e-08
