case,frequency_real,frequency_imag,v(gate)_real,v(gate)_imag,v(out)_real,v(out)_imag,v(vdd)_real,v(vdd)_imag,i(vdd)_real,i(vdd)_imag,id(m1)_real,id(m1)_imag,i(vin)_real,i(vin)_imag,i(rs)_real,i(rs)_imag
3,681.2920690579573,0.0,1.0,0.0,0.9398527630336999,-1.460320497560397e-05,0.0,0.0,-0.0004272058013789811,6.637820443456696e-09,0.0004272058013789811,-6.637820443456696e-09,0.0,0.0,0.0004272058013789545,-6.63782044345635e-09
3,707.9457843841337,0.0,1.0,0.0,0.9398527630155988,-1.517451599733455e-05,0.0,0.0,-0.000427205801370751,6.897507271516044e-09,0.000427205801370751,-6.897507271516044e-09,0.0,0.0,0.0004272058013707267,-6.897507271515705e-09
3,735.6422544596369,0.0,1.0,0.0,0.9398527629960538,-1.576817802240598e-05,0.0,0.0,-0.0004272058013618659,7.167353646548582e-09,0.0004272058013618659,-7.167353646548582e-09,0.0,0.0,0.0004272058013618427,-7.167353646548174e-09
3,764.4222742525956,0.0,1.0,0.0,0.939852762974949,-1.638506547355766e-05,0.0,0.0,-0.0004272058013522783,7.44775703343564e-09,0.0004272058013522783,-7.44775703343564e-09,0.0,0.0,0.0004272058013522495,-7.447757033435301e-09
3,794.3282347242767,0.0,1.0,0.0,0.9398527629521615,-1.702608698296051e-05,0.0,0.0,-0.0004272058013419166,7.739130446800679e-09,0.0004272058013419166,-7.739130446800679e-09,0.0,0.0,0.0004272058013418916,-7.73913044680023e-09
3,825.4041852680133,0.0,1.0,0.0,0.9398527629275557,-1.76921867305687e-05,0.0,0.0,-0.0004272058013307309,8.041903059349927e-09,0.0004272058013307309,-8.041903059349927e-09,0.0,0.0,0.0004272058013307071,-8.041903059349409e-09
3,857.6958985908889,0.0,1.0,0.0,0.9398527629012027,-1.838434583483929e-05,0.0,0.0,-0.0004272058013170808,8.356520833985651e-09,0.0004272058013170808,-8.356520833985651e-09,0.0,0.0,0.0004272058013187285,-8.356520834017862e-09
3,891.25093813374,0.0,1.0,0.0,0.9398527628722984,-1.91035837978088e-05,0.0,0.0,-0.0004272058013056153,8.683447180822752e-09,0.0004272058013056153,-8.683447180822752e-09,0.0,0.0,0.0004272058013055902,-8.68344718082218e-09
3,926.1187281287878,0.0,1.0,0.0,0.9398527628413216,-1.985096000683302e-05,0.0,0.0,-0.0004272058012915337,9.023163639470137e-09,0.0004272058012915337,-9.023163639470137e-09,0.0,0.0,0.0004272058012915098,-9.023163639469553e-09
3,962.3506263980825,0.0,1.0,0.0,0.9398527628078733,-2.062757529490603e-05,0.0,0.0,-0.000427205801276331,9.376170588594161e-09,0.000427205801276331,-9.376170588594161e-09,0.0,0.0,0.000427205801276306,-9.37617058859365e-09
3,999.9999999999936,0.0,1.0,0.0,0.9398527627719727,-2.143457356216231e-05,0.0,0.0,-0.0004272058012583409,9.742987982763607e-09,0.0004272058012583409,-9.742987982763607e-09,0.0,0.0,0.0004272058012599876,-9.74298798280105e-09
3,1039.122303835162,0.0,1.0,0.0,0.9398527627327593,-2.227314346070412e-05,0.0,0.0,-0.0004272058012421873,1.012415611850236e-08,0.0004272058012421873,-1.012415611850236e-08,0.0,0.0,0.0004272058012421633,-1.012415611850187e-08
3,1079.775162327703,0.0,1.0,0.0,0.9398527626906505,-2.314452014550112e-05,0.0,0.0,-0.0004272058012230479,1.052023642977389e-08,0.0004272058012230479,-1.052023642977389e-08,0.0,0.0,0.000427205801223023,-1.052023642977324e-08
3,1122.018454301956,0.0,1.0,0.0,0.9398527626451827,-2.404998709358913e-05,0.0,0.0,-0.0004272058012023798,1.093181231526841e-08,0.0004272058012023798,-1.093181231526841e-08,0.0,0.0,0.0004272058012023558,-1.093181231526779e-08
3,1165.914401179824,0.0,1.0,0.0,0.9398527625960874,-2.499087799459096e-05,0.0,0.0,-0.0004272058011800658,1.135948999754201e-08,0.0004272058011800658,-1.135948999754201e-08,0.0,0.0,0.0004272058011800397,-1.135948999754134e-08
3,1211.52765862858,0.0,1.0,0.0,0.939852762543076,-2.596857871513826e-05,0.0,0.0,-0.0004272058011559662,1.180389941597261e-08,0.0004272058011559662,-1.180389941597261e-08,0.0,0.0,0.0004272058011559437,-1.180389941597194e-08
3,1258.925411794159,0.0,1.0,0.0,0.9398527624858349,-2.698452934015595e-05,0.0,0.0,-0.0004272058011299507,1.226569515461687e-08,0.0004272058011299507,-1.226569515461687e-08,0.0,0.0,0.000427205801129925,-1.226569515461634e-08
3,1308.177474260185,0.0,1.0,0.0,0.9398527624240278,-2.804022629400655e-05,0.0,0.0,-0.0004272058011018569,1.274555740636725e-08,0.0004272058011018569,-1.274555740636725e-08,0.0,0.0,0.0004272058011018308,-1.274555740636662e-08
