case,time,v(out),v(sum),v(vn),v(in),v(vp),i(vp),i(vin),i(rf),i(rl),i(vn),i(ri)
1,0.002012300000000007,-0.1538117778688737,0.0002002532687093023,-12.0,0.07720627084003348,12.0,-0.001135936624355793,-7.700601757132417e-06,-7.700601556879148e-06,-1.538117778688737e-05,0.0011590168604438,7.700601757132417e-06
1,0.002012500000000007,-0.1563174787467082,0.000200236234780625,-12.0,0.0784590957278874,12.0,-0.001135747231395689,-7.82588594931068e-06,-7.825885749074442e-06,-1.563174787467082e-05,0.001159203296619725,7.825885949310676e-06
1,0.002012700000000007,-0.1588229327776651,0.0002002188847322617,-12.0,0.07971179671811977,12.0,-0.001135557833166583,-7.951157783338751e-06,-7.951157583119866e-06,-1.588229327776651e-05,0.001159389690486294,7.951157783338751e-06
1,0.002012900000000007,-0.161328136005292,0.0002002012185922386,-12.0,0.08096437183254654,12.0,-0.00113536842997459,-8.076417061395432e-06,-8.076416861194211e-06,-1.61328136005292e-05,0.001159576041756186,8.07641706139543e-06
1,0.0020131000000000072,-0.1638330844735285,0.000200183236386986,-12.0,0.08221681909317707,12.0,-0.001135179022125938,-8.201663585679009e-06,-8.201663385495772e-06,-1.638330844735285e-05,0.001159762350142257,8.201663585679009e-06
1,0.0020133000000000074,-0.1663377742267178,0.0002001649381464521,-12.0,0.08346913652222794,12.0,-0.001134989609926971,-8.32689715840815e-06,-8.326896958243215e-06,-1.663377742267179e-05,0.001159948615357556,8.32689715840815e-06
1,0.0020135000000000075,-0.1688422013096183,0.0002001463238989337,-12.0,0.08472132214212079,12.0,-0.001134800193684157,-8.452117581822188e-06,-8.452117381675865e-06,-1.688422013096183e-05,0.001160134837115292,8.452117581822186e-06
1,0.0020137000000000076,-0.1713463617673939,0.0002001273936727693,-12.0,0.08597337397548006,12.0,-0.001134610773704071,-8.577324658180732e-06,-8.577324458053335e-06,-1.713463617673939e-05,0.001160321015128871,8.57732465818073e-06
1,0.0020139000000000077,-0.1738502516456304,0.0002001081474988856,-12.0,0.087225290045145,12.0,-0.001134421350293416,-8.702518189764612e-06,-8.702517989656463e-06,-1.738502516456304e-05,0.001160507149111865,8.70251818976461e-06
1,0.002014100000000008,-0.1763538669903548,0.0002000885854086948,-12.0,0.08847706837417631,12.0,-0.001134231923759011,-8.82769797887676e-06,-8.827697778788177e-06,-1.763538669903548e-05,0.001160693238778031,8.827697978876762e-06
1,0.002014300000000008,-0.1788572038480108,0.0002000687074292379,-12.0,0.08972870698583633,12.0,-0.00113404249440778,-8.95286382784071e-06,-8.952863627772003e-06,-1.788572038480108e-05,0.001160879283841317,8.95286382784071e-06
1,0.002014500000000008,-0.1813602582654806,0.0002000485135954591,-12.0,0.09098020390361862,12.0,-0.001133853062546772,-9.078015539002314e-06,-9.078015338953801e-06,-1.813602582654806e-05,0.001161065284015841,9.078015539002316e-06
1,0.002014700000000008,-0.1838630262901144,0.0002000280039390206,-12.0,0.09223155715124577,12.0,-0.001133663628483148,-9.203152914730677e-06,-9.203152714702673e-06,-1.838630262901144e-05,0.001161251239015903,9.203152914730676e-06
1,0.0020149000000000083,-0.1863655039696903,0.0002000071784884552,-12.0,0.0934827647526496,12.0,-0.001133474192524183,-9.328275757416118e-06,-9.328275557408938e-06,-1.863655039696903e-05,0.001161437148555985,9.328275757416116e-06
1,0.0020151000000000084,-0.1888676873524534,0.0001999860372816908,-12.0,0.09473382473200961,12.0,-0.001133284754977268,-9.453383869472793e-06,-9.453383669486754e-06,-1.888676873524534e-05,0.001161623012350763,9.453383869472793e-06
1,0.0020153000000000085,-0.1913695724871224,0.0001999645803483635,-12.0,0.09598473511372954,12.0,-0.001133095316149902,-9.578477053338117e-06,-9.578476853373539e-06,-1.913695724871224e-05,0.001161808830115083,9.578477053338119e-06
1,0.0020155000000000086,-0.1938711554228768,0.0001999428077242987,-12.0,0.09723549392245293,12.0,-0.001132905876349703,-9.703555111472863e-06,-9.703554911530055e-06,-1.938711554228768e-05,0.001161994601563977,9.703555111472863e-06
1,0.0020157000000000087,-0.1963724322093744,0.0001999207194419705,-12.0,0.09848609918305734,12.0,-0.001132716435884399,-9.828617846361537e-06,-9.828617646440818e-06,-1.963724322093744e-05,0.001162180326412663,9.828617846361537e-06
1,0.002015900000000009,-0.1988733988967562,0.000199898315537933,-12.0,0.09973654892066816,12.0,-0.001132526995061826,-9.953665060513023e-06,-9.953664860614708e-06,-1.988733988967562e-05,0.001162366004376546,9.953665060513023e-06
1,0.002016100000000009,-0.2013740515356601,0.0001998755960468529,-12.0,0.1009868411606563,12.0,-0.001132337554189934,-1.007869655646095e-05,-1.007869635658535e-05,-2.013740515356601e-05,0.001162551635171209,1.007869655646095e-05
1,0.002016300000000009,-0.2038743861772103,0.000199852561003605,-12.0,0.1022369739286362,12.0,-0.001132148113576786,-1.020371213676326e-05,-1.02037119369107e-05,-2.038743861772103e-05,0.001162737218512422,1.020371213676326e-05
1,0.002016500000000009,-0.2063743988730363,0.0001998292104459787,-12.0,0.1034869452504792,12.0,-0.001131958673530551,-1.032871160400333e-05,-1.032871140417412e-05,-2.063743988730363e-05,0.001162922754116148,1.032871160400333e-05
1,0.0020167000000000093,-0.2088740856752824,0.0001998055444101671,-12.0,0.1047367531523119,12.0,-0.001131769234359509,-1.045369476079017e-05,-1.045369456098463e-05,-2.088740856752824e-05,0.001163108241698518,1.045369476079017e-05
1,0.0020169000000000094,-0.211373442636598,0.0001997815629325161,-12.0,0.1059863956605134,12.0,-0.001131579796372047,-1.057866140975809e-05,-1.057866120997653e-05,-2.113734426365981e-05,0.001163293680975869,1.057866140975809e-05
1,0.0020171000000000095,-0.2138724658101564,0.0001997572660523417,-12.0,0.1072358708017294,12.0,-0.001131390359876666,-1.070361135356771e-05,-1.070361115381044e-05,-2.138724658101564e-05,0.001163479071664716,1.070361135356771e-05
1,0.0020173000000000096,-0.2163711512496597,0.0001997326538066002,-12.0,0.1084851766028663,12.0,-0.001131200925181965,-1.082854439490597e-05,-1.082854419517332e-05,-2.163711512496597e-05,0.001163664413481754,1.082854439490597e-05
1,0.0020175000000000097,-0.21886949500935,0.0001997077262363978,-12.0,0.1097343110911068,12.0,-0.001131011492596661,-1.095346033648705e-05,-1.095346013677932e-05,-2.1886949500935e-05,0.001163849706143879,1.095346033648705e-05
1,0.00201770000000001,-0.2213674931439943,0.0001996824833763594,-12.0,0.1109832722938865,12.0,-0.001130822062429569,-1.107835898105101e-05,-1.107835878136853e-05,-2.213674931439943e-05,0.001164034949368165,1.107835898105102e-05
1,0.00201790000000001,-0.2238651417089106,0.0001996569252717822,-12.0,0.1122320582389322,12.0,-0.001130632634989619,-1.120324013136605e-05,-1.120323993170912e-05,-2.238651417089106e-05,0.001164220142871875,1.120324013136604e-05
1,0.00201810000000001,-0.2263624367599841,0.0001996310519597339,-12.0,0.1134806669542422,12.0,-0.001130443210585837,-1.132810359022825e-05,-1.132810339059719e-05,-2.263624367599841e-05,0.001164405286372464,1.132810359022825e-05
1,0.00201830000000001,-0.2288593743536313,0.0001996048634798631,-12.0,0.1147290964680841,12.0,-0.001130253789527365,-1.145294916046042e-05,-1.145294896085556e-05,-2.288593743536313e-05,0.001164590379587573,1.145294916046042e-05
1,0.0020185000000000103,-0.2313559505468496,0.0001995783598772588,-12.0,0.1159773448090243,12.0,-0.001130064372123436,-1.15777766449147e-05,-1.157777644533634e-05,-2.313559505468496e-05,0.001164775422235031,1.15777766449147e-05
1,0.0020187000000000104,-0.2338521613972135,0.000199551541190765,-12.0,0.1172254100059083,12.0,-0.001129874958683403,-1.170258584647176e-05,-1.170258564692022e-05,-2.338521613972136e-05,0.001164960414032863,1.170258584647176e-05
1,0.0020189000000000105,-0.2363480029628579,0.0001995244074628894,-12.0,0.1184732900878673,12.0,-0.001129685549516703,-1.182737656804044e-05,-1.182737636851604e-05,-2.363480029628579e-05,0.00116514535469928,1.182737656804044e-05
1,0.0020191000000000106,-0.2388434713025087,0.0001994969587374995,-12.0,0.1197209830843301,12.0,-0.001129496144932894,-1.195214861255927e-05,-1.195214841306231e-05,-2.388434713025087e-05,0.001165330243952678,1.195214861255926e-05
1,0.0020193000000000108,-0.2413385624754859,0.0001994691950573668,-12.0,0.1209684870250209,12.0,-0.001129306745241629,-1.207690178299636e-05,-1.207690158352716e-05,-2.413385624754859e-05,0.001165515081511652,1.207690178299636e-05
1,0.002019500000000011,-0.2438332725416962,0.0001994411164652904,-12.0,0.1222157999399572,12.0,-0.001129117350752658,-1.220163588234919e-05,-1.220163568290808e-05,-2.438332725416963e-05,0.001165699867094991,1.220163588234919e-05
1,0.002019700000000011,-0.2463275975616514,0.000199412723006942,-12.0,0.1234629198594633,12.0,-0.001128927961775841,-1.232635071364564e-05,-1.232635051423292e-05,-2.463275975616514e-05,0.001165884600421659,1.232635071364564e-05
1,0.002019900000000011,-0.2488215335964746,0.0001993840147262171,-12.0,0.1247098448141668,12.0,-0.001128738578621131,-1.245104607994406e-05,-1.245104588056004e-05,-2.488215335964746e-05,0.001166069281210835,1.245104607994406e-05
1,0.002020100000000011,-0.2513150767079023,0.0001993549916689957,-12.0,0.1259565728350046,12.0,-0.001128549201598595,-1.257572178433356e-05,-1.257572158497857e-05,-2.513150767079023e-05,0.001166253909181859,1.257572178433356e-05
1,0.0020203000000000113,-0.253808222958287,0.0001993256538796173,-12.0,0.1272031019532195,12.0,-0.001128359831018375,-1.270037762993399e-05,-1.270037743060833e-05,-2.538082229582871e-05,0.001166438484054306,1.270037762993399e-05
1,0.0020205000000000114,-0.2563009684106071,0.0001992960014055578,-12.0,0.1284494302003719,12.0,-0.001128170467190735,-1.282501341989663e-05,-1.282501322060063e-05,-2.563009684106071e-05,0.001166623005547901,1.282501341989664e-05
1,0.0020207000000000115,-0.2587933091284884,0.0001992660342945984,-12.0,0.1296955556083464,12.0,-0.00112798111042603,-1.294962895740519e-05,-1.294962875813915e-05,-2.587933091284884e-05,0.001166807473382592,1.294962895740519e-05
1,0.0020209000000000117,-0.2612852411761789,0.0001992357525901628,-12.0,0.1309414762093322,12.0,-0.001127791761034707,-1.30742240456742e-05,-1.307422384643845e-05,-2.612852411761789e-05,0.00116699188727851,1.307422404567421e-05
1,0.0020211000000000118,-0.2637767606185706,0.0001992051563435571,-12.0,0.1321871900358522,12.0,-0.001127602419327318,-1.319879848795086e-05,-1.319879828874571e-05,-2.637767606185707e-05,0.001167176246955975,1.319879848795086e-05
1,0.002021300000000012,-0.2662678635212291,0.0001991742456028817,-12.0,0.1334326951207613,12.0,-0.001127413085614508,-1.332335208751584e-05,-1.33233518883416e-05,-2.662678635212291e-05,0.001167360552135519,1.332335208751584e-05
1,0.002021500000000012,-0.2687585459503533,0.000199143020413059,-12.0,0.1346779894972265,12.0,-0.001127223760207016,-1.344788464768134e-05,-1.344788444853832e-05,-2.687585459503533e-05,0.001167544802537841,1.344788464768135e-05
1,0.002021700000000012,-0.271248803972815,0.0001991114808284344,-12.0,0.135923071198765,12.0,-0.001127034443415687,-1.357239597179366e-05,-1.357239577268217e-05,-2.712488039728151e-05,0.001167728997883864,1.357239597179366e-05
1,0.0020219000000000122,-0.2737386336561649,0.0001990796268948603,-12.0,0.137167938259221,12.0,-0.001126845135551446,-1.369688586323262e-05,-1.369688566415299e-05,-2.737386336561649e-05,0.001167913137894695,1.369688586323262e-05
1,0.0020221000000000123,-0.2762280310686193,0.0001990474586647806,-12.0,0.1384125887127814,12.0,-0.00112665583692533,-1.382135412541166e-05,-1.382135392636421e-05,-2.762280310686193e-05,0.001168097222291628,1.382135412541166e-05
1,0.0020223000000000125,-0.278716992279079,0.0001990149761869064,-12.0,0.1396570205939696,12.0,-0.001126466547848447,-1.394580056177827e-05,-1.394580036276329e-05,-2.78716992279079e-05,0.001168281250796167,1.394580056177827e-05
1,0.0020225000000000126,-0.2812055133571331,0.0001989821795141955,-12.0,0.1409012319376596,12.0,-0.00112627726863202,-1.407022497581454e-05,-1.407022477683236e-05,-2.812055133571331e-05,0.001168465223130006,1.407022497581454e-05
1,0.0020227000000000127,-0.2836935903730728,0.0001989490686977319,-12.0,0.1421452207790737,12.0,-0.00112608799958736,-1.41946271710376e-05,-1.419462697208853e-05,-2.836935903730728e-05,0.001168649139015035,1.419462717103759e-05
1,0.002022900000000013,-0.2861812193978811,0.000198915643788683,-12.0,0.14338898515378,12.0,-0.001125898741025857,-1.431900695099914e-05,-1.431900675208349e-05,-2.861812193978811e-05,0.001168832998173353,1.431900695099914e-05
