case,time,v(out),v(sum),v(vn),v(drive),v(in),v(vp),i(vp),i(vin),i(rf),i(d1),i(vn),i(ri),i(d2),i(rl)
3,0.003781457780453982,1.961249497433062,3.770456245078581e-05,-12.0,2.497174782537593,-1.961059499468,12.0,-0.001333167210155355,0.0001961097204030423,0.0001961211792870611,0.00039224612903066,0.0009409576019116857,-0.0001961097204030451,1.145884631149533e-08,0.0001961249497433062
3,0.0037816577804539817,1.960755780516672,3.795828472048677e-05,-12.0,2.496669980482246,-1.960564418077114,12.0,-0.001333120343638949,0.0001960602376361805,0.0001960717822231952,0.0003921473602752634,0.000941009584782737,-0.0001960602376361834,1.154454905356503e-08,0.0001960755780516672
3,0.0037818577804539823,1.960258967466313,3.821194198383587e-05,-12.0,2.496162009935567,-1.960066240687402,12.0,-0.001333073183683604,0.0001960104452629357,0.0001960220755524329,0.0003920479722996362,0.0009410618934076149,-0.0001960104452629386,1.163025128236665e-08,0.0001960258967466313
3,0.003782057780453982,1.959759059084662,3.846555068117157e-05,-12.0,2.495650871663695,-1.959564968085554,12.0,-0.00133302573022598,0.0001959603433636204,0.0001959720593533981,0.0003919479652614299,0.0009411145275531172,-0.0001959603433636235,1.171595130905202e-08,0.0001959759059084663
3,0.003782257780453982,1.959256056145703,3.871909364273107e-05,-12.0,2.49513656640382,-1.959060601063148,12.0,-0.001332977983479769,0.0001959099320156764,0.000195921733705206,0.0003918473393227373,0.0009411674872832343,-0.0001959099320156791,1.180165080783257e-08,0.0001959256056145703
3,0.003782457780453983,1.95874995946191,3.897258730714954e-05,-12.0,2.494619094931369,-1.958553140416648,12.0,-0.001332929943376108,0.0001958592113003925,0.0001958710986874603,0.0003917460946345486,0.0009412207723686218,-0.0001958592113003955,1.188734809213018e-08,0.000195874995946191
3,0.0037826577804539827,1.958240769816972,3.922601447054759e-05,-12.0,2.494098457992723,-1.958042586947403,12.0,-0.001332881610134433,0.0001958081812961848,0.0001958201543802502,0.0003916442313633972,0.0009412743828685242,-0.0001958081812961874,1.197304483683393e-08,0.0001958240769816972
3,0.0037828577804539833,1.957728488033178,3.947939160272406e-05,-12.0,2.493574656372605,-1.95752894146165,12.0,-0.001332832983687882,0.000195756842085323,0.0001957689008641575,0.0003915417496669349,0.0009413283185520704,-0.0001957568420853253,1.205873935285846e-08,0.0001957728488033178
3,0.003783057780453983,1.957213114904025,3.973270151291656e-05,-12.0,2.493047690826693,-1.957012204770501,12.0,-0.001332784064255694,0.0001957051937471984,0.0001957173382202512,0.0003914386497094746,0.000941382579477908,-0.0001957051937472014,1.21444333171935e-08,0.0001957213114904025
3,0.003783257780453983,1.956694651261466,3.998596061519386e-05,-12.0,2.492517562148858,-1.956492377689955,12.0,-0.001332734851771064,0.0001956532363650538,0.000195665466530085,0.0003913349316553294,0.0009414371654151245,-0.000195653236365057,1.22301250420073e-08,0.0001956694651261466
3,0.003783457780453983,1.956173097908827,4.023915177018158e-05,-12.0,2.491984271104088,-1.955969461040892,12.0,-0.001332685346450011,0.000195600970019264,0.0001956132858757057,0.0003912305956665918,0.0009414920764239077,-0.0001956009700192663,1.231581620032547e-08,0.0001956173097908827
3,0.003783657780453983,1.955648455687842,4.049229138662494e-05,-12.0,2.491447818495517,-1.955443455649067,12.0,-0.001332635548235277,0.0001955483947940426,0.0001955607963396456,0.0003911256419097953,0.000941547312266476,-0.0001955483947940453,1.240150510794158e-08,0.0001955648455687842
