case,frequency_real,frequency_imag,v(drain)_real,v(drain)_imag,v(out)_real,v(out)_imag,v(ref)_real,v(ref)_imag,v(vn)_real,v(vn)_imag,v(in)_real,v(in)_imag,v(source)_real,v(source)_imag,v(vp)_real,v(vp)_imag,i(vp)_real,i(vp)_imag,i(vin)_real,i(vin)_imag,i(rd)_real,i(rd)_imag,id(j1)_real,id(j1)_imag,i(rf)_real,i(rf)_imag,i(cf)_real,i(cf)_imag,i(vn)_real,i(vn)_imag,i(vref)_real,i(vref)_imag,i(rs)_real,i(rs)_imag
1,31.62277660168374,0.0,-4.31186429694641e-06,-1.363134288576403e-05,4.291776499982458,-0.0002361844971970752,0.0,0.0,0.0,0.0,1.0,0.0,0.9980892150437002,-1.879888748565311e-05,0.0,0.0,-0.000472755710335393,3.272963716567748e-09,-9.868764857030353e-13,-1.810038502243367e-10,2.155932148473205e-09,6.815671442882016e-09,2.158014775844179e-09,4.689453584940197e-08,0.0009980870560420477,-6.587442718527942e-08,2.078315518016834e-12,4.007885077517707e-08,-0.0005252903968810674,1.570455846415492e-08,0.0,0.0,0.0009980892150437003,-1.879888748565312e-08
1,32.85993247600649,0.0,-4.311924062694317e-06,-1.416463242060032e-05,4.29177649900496,-0.0002454245788050464,0.0,0.0,0.0,0.0,1.0,0.0,0.9980892149656279,-1.953434326943439e-05,0.0,0.0,-0.0004727557103235969,3.401009596896916e-09,-9.85676778201308e-13,-1.880851379136371e-10,2.155962031347159e-09,7.08231621030016e-09,2.158210456947573e-09,4.8729158118595e-08,0.0009980870557694949,-6.845158652594302e-08,2.244113475356352e-12,4.164682774366241e-08,-0.0005252903968160638,1.631895696849229e-08,0.0,0.0,0.000998089214965628,-1.953434326943439e-08
1,34.14548873833596,0.0,-4.311988595961935e-06,-1.47187854702575e-05,4.291776497949482,-0.0002550261536867367,0.0,0.0,0.0,0.0,1.0,0.0,0.9980892148813274,-2.029857177733414e-05,0.0,0.0,-0.0004727557103108015,3.534064926981797e-09,-9.843813638394682e-13,-1.95443461899453e-10,2.155994297980968e-09,7.359392735128749e-09,2.158421748282885e-09,5.063555503634293e-08,0.0009980870554751984,-7.112957027557654e-08,2.423137991576845e-12,4.327614758242874e-08,-0.00052529039674587,1.695739215736478e-08,0.0,0.0,0.0009980892148813273,-2.029857177733414e-08
1,35.48133892335748,0.0,-4.312058278665987e-06,-1.52946182634534e-05,4.2917764968098,-0.000265003364291053,0.0,0.0,0.0,0.0,1.0,0.0,0.9980892147903019,-2.109269866454504e-05,0.0,0.0,-0.0004727557102969515,3.672325688027018e-09,-9.829826075873134e-13,-2.030896604809256e-10,2.156029139332993e-09,7.647309131726701e-09,2.158649895371407e-09,5.261653459209765e-08,0.0009980870551574237,-7.391232291712362e-08,2.616444217546911e-12,4.49692101657527e-08,-0.0005252903966700417,1.76208044011939e-08,0.0,0.0,0.0009980892147903018,-2.109269866454503e-08
1,36.86945064519569,0.0,-4.312133519368544e-06,-1.589297896164807e-05,4.291776495579204,-0.0002753709063519899,0.0,0.0,0.0,0.0,1.0,0.0,0.9980892146920146,-2.19178936244766e-05,0.0,0.0,-0.00047275571028213,3.815995528479494e-09,-9.814722653288797e-13,-2.110349959765465e-10,2.156066759684272e-09,7.946489480824035e-09,2.158896243362445e-09,5.467501463030845e-08,0.0009980870548142997,-7.680394325076161e-08,2.825171478964786e-12,4.672850925650545e-08,-0.0005252903965882738,1.831017085986099e-08,0.0,0.0,0.0009980892146920146,-2.19178936244766e-08
1,38.31186849557281,0.0,-4.312214762602906e-06,-1.651474890832516e-05,4.291776494250433,-0.0002861440505344045,0.0,0.0,0.0,0.0,1.0,0.0,0.9980892145858866,-2.277537211163068e-05,0.0,0.0,-0.0004727557102659485,3.965286063974653e-09,-9.798414352725347e-13,-2.192911713127864e-10,2.156107381301453e-09,8.257374454162581e-09,2.159162243416561e-09,5.681402714820011e-08,0.000998087054443802,-7.980869043114357e-08,3.050549991418668e-12,4.855663617928862e-08,-0.0005252903964998168,1.902650692197203e-08,0.0,0.0,0.0009980892145858866,-2.277537211163068e-08
1,39.81071705534965,0.0,-4.312302487097242e-06,-1.716084392714874e-05,4.291776492815663,-0.0002973386649266255,0.0,0.0,0.0,0.0,1.0,0.0,0.9980892144712922,-2.366639713187998e-05,0.0,0.0,-0.0004727557102485735,4.12041718903948e-09,-9.780805054847958e-13,-2.278703472617119e-10,2.156151243548621e-09,8.580421963574369e-09,2.159449463848292e-09,5.903672276169027e-08,0.0009980870540437486,-8.293099024083197e-08,3.293908111142045e-12,5.045628363727195e-08,-0.0005252903964044209,1.977086770047898e-08,0.0,0.0,0.0009980892144712923,-2.366639713187998e-08
1,41.36820402388499,0.0,-4.312397209993435e-06,-1.783221567090591e-05,4.291776491266426,-0.0003089712384130177,0.0,0.0,0.0,0.0,1.0,0.0,0.9980892143475558,-2.459228110278578e-05,0.0,0.0,-0.0004727557102298385,4.281617400967423e-09,-9.761790972386513e-13,-2.367851603529766e-10,2.156198604996718e-09,8.916107835452953e-09,2.1597595976334e-09,6.134637534602246e-08,0.0009980870536117788,-8.61754416091612e-08,3.556680164199083e-12,5.243024967835382e-08,-0.0005252903963014199,2.05443495867718e-08,0.0,0.0,0.000998089214347556,-2.459228110278578e-08
1,42.98662347082268,0.0,-4.312499489067534e-06,-1.852985302322441e-05,4.291776489593604,-0.0003210589049609415,0.0,0.0,0.0,0.0,1.0,0.0,0.9980892142139484,-2.555438778669606e-05,0.0,0.0,-0.0004727557102095492,4.44912413641573e-09,-9.741260038424865e-13,-2.460487414865752e-10,2.156249744533767e-09,9.264926511612205e-09,2.160094472435205e-09,6.374638685795232e-08,0.0009980870531453505,-8.954682338613497e-08,3.840414900244531e-12,5.448144181648712e-08,-0.0005252903961901478,2.134809186557384e-08,0.0,0.0,0.0009980892142139484,-2.555438778669607e-08
1,44.66835921509622,0.0,-4.31260992761473e-06,-1.925478355512687e-05,4.291776487787334,-0.000333619468857862,0.0,0.0,0.0,0.0,1.0,0.0,0.9980892140696827,-2.655413429947003e-05,0.0,0.0,-0.0004727557101876501,4.623184121092843e-09,-9.719091245890792e-13,-2.55674735273773e-10,2.156304963807365e-09,9.627391777563436e-09,2.160456061162e-09,6.624029234658708e-08,0.0009980870526417125,-9.30501013813309e-08,4.146784620683521e-12,5.661288131424009e-08,-0.000525290396069994,2.218327839306149e-08,0.0,0.0,0.0009980892140696827,-2.655413429947003e-08
