case,frequency_real,frequency_imag,v(base)_real,v(base)_imag,v(in)_real,v(in)_imag,v(source)_real,v(source)_imag,v(drain)_real,v(drain)_imag,v(out)_real,v(out)_imag,v(vdd)_real,v(vdd)_imag,i(vdd)_real,i(vdd)_imag,id(j1)_real,id(j1)_imag,i(rs)_real,i(rs)_imag,ic(q1)_real,ic(q1)_imag,ib(q1)_real,ib(q1)_imag,ic(q2)_real,ic(q2)_imag,ib(q2)_real,ib(q2)_imag,i(vin)_real,i(vin)_imag,i(rd)_real,i(rd)_imag,i(rb)_real,i(rb)_imag,i(rl)_real,i(rl)_imag,i(rf)_real,i(rf)_imag
1,14.67799267622069,0.0,1.321541970585872,-8.712543089791077e-07,1.0,0.0,0.9929904250979743,-3.047633860247259e-07,-0.0149659757408694,-5.151155088694474e-08,1.285893446284767,-8.104757560965177e-07,0.0,0.0,-0.0004915100875641822,3.183527111518967e-10,8.003167214953246e-06,3.113248969131141e-10,0.0003009061894236286,-9.23525412196139e-11,-0.0001343882226294722,-2.158482994658273e-10,-8.765121002533665e-07,-2.867955869669497e-10,0.0003491186977197597,-8.455259075308385e-10,2.234025570887956e-06,3.029737303637494e-10,-1.021882678113327e-12,-1.020349319390637e-10,7.126655114699716e-06,2.452930994616416e-11,0.0001321541970585872,-8.712543089791077e-11,5.844970210385304e-05,-3.683980709529626e-11,0.0002929030211867926,-5.057123700717918e-10
1,15.25222956539018,0.0,1.321541970585863,-9.05339784772704e-07,1.0,0.0,0.9929904250979688,-3.166864318106252e-07,-0.01496597574087391,-5.35268014317649e-08,1.285893446284759,-8.421834348775788e-07,0.0,0.0,-0.0004915100875641978,3.30807402644324e-10,8.003167214961139e-06,3.23504644121608e-10,0.0003009061894236269,-9.596558539715915e-11,-0.0001343882226295008,-2.242927822198379e-10,-8.765121002594922e-07,-2.980156910588633e-10,0.0003491186977197359,-8.786048289857718e-10,2.234025570908935e-06,3.148267606971109e-10,-1.021875269192215e-12,-1.060267735481866e-10,7.126655114701859e-06,2.548895306274519e-11,0.0001321541970585863,-9.053397847727041e-11,5.844970210385269e-05,-3.828106522170812e-11,0.0002929030211867903,-5.254970030669537e-10
1,15.84893192461113,0.0,1.321541970585855,-9.407587629066612e-07,1.0,0.0,0.9929904250979629,-3.290759346163997e-07,-0.01496597574087777,-5.562089322070209e-08,1.285893446284752,-8.751315911018177e-07,0.0,0.0,-0.0004915100875642012,3.437493503615077e-10,8.003167214969513e-06,3.361608911010264e-10,0.0003009061894236251,-9.971998018678781e-11,-0.0001343882226295227,-2.330676325938688e-10,-8.765121002660245e-07,-3.09674751472122e-10,0.0003491186977197108,-9.129778740564064e-10,2.234025570931758e-06,3.271435088845416e-10,-1.021867269223217e-12,-1.101747851976037e-10,7.126655114703701e-06,2.648613962890575e-11,0.0001321541970585855,-9.407587629066612e-11,5.844970210385234e-05,-3.977870868644626e-11,0.0002929030211867887,-5.46055656485418e-10
1,16.46897865482867,0.0,1.321541970585844,-9.775634130647107e-07,1.0,0.0,0.9929904250979565,-3.419501433153102e-07,-0.01496597574088174,-5.779691070486536e-08,1.285893446284742,-9.093687551046744e-07,0.0,0.0,-0.0004915100875642047,3.571976168894974e-10,8.003167214978522e-06,3.493122796201889e-10,0.0003009061894236232,-1.03621255550094e-10,-0.0001343882226295443,-2.421857753303465e-10,-8.765121002730718e-07,-3.217899411893006e-10,0.0003491186977196826,-9.486956718400345e-10,2.234025570956315e-06,3.399421166368211e-10,-1.021858631055394e-12,-1.144850766190813e-10,7.12665511470559e-06,2.752233843088827e-11,0.0001321541970585844,-9.775634130647107e-11,5.844970210385191e-05,-4.133494341384884e-11,0.0002929030211867857,-5.674186117893641e-10
1,17.11328304161779,0.0,1.321541970585834,-1.015807945928789e-06,1.0,0.0,0.99299042509795,-3.553280207185761e-07,-0.01496597574088557,-6.005805900619453e-08,1.285893446284734,-9.449453558401035e-07,0.0,0.0,-0.0004915100875642012,3.711720105866519e-10,8.003167214987871e-06,3.629781807568513e-10,0.0003009061894236212,-1.076751577935079e-10,-0.0001343882226295635,-2.516606408173711e-10,-8.765121002806612e-07,-3.343791050396157e-10,0.0003491186977196531,-9.858108321608759e-10,2.234025570982769e-06,3.532414354102525e-10,-1.02184930377633e-12,-1.189639965711682e-10,7.126655114707413e-06,2.859907571723549e-11,0.0001321541970585834,-1.015807945928789e-10,5.844970210385153e-05,-4.295206162909561e-11,0.0002929030211867838,-5.896173351215275e-10
1,17.78279410038921,0.0,1.321541970585822,-1.055548693027613e-06,1.0,0.0,0.9929904250979423,-3.692292715062833e-07,-0.01496597574089071,-6.240766863838311e-08,1.285893446284723,-9.819137951589303e-07,0.0,0.0,-0.0004915100875642116,3.856931147599551e-10,8.003167214998754e-06,3.77178723429965e-10,0.0003009061894236189,-1.118876580322071e-10,-0.0001343882226295936,-2.615061848707623e-10,-8.765121002889012e-07,-3.474607859831162e-10,0.0003491186977196222,-1.024378023060683e-09,2.234025571011447e-06,3.670610541735383e-10,-1.021839232412066e-12,-1.236181421904748e-10,7.126655114709862e-06,2.97179374468491e-11,0.0001321541970585823,-1.055548693027613e-10,5.844970210385106e-05,-4.463244523449683e-11,0.000292903021186781,-6.12684523652647e-10
1,18.47849797422289,0.0,1.321541970585809,-1.09684418970908e-06,1.0,0.0,0.9929904250979344,-3.83674371250998e-07,-0.01496597574089541,-6.484920041250056e-08,1.285893446284712,-1.020328524993105e-06,0.0,0.0,-0.0004915100875642099,4.007823179827029e-10,8.003167215009984e-06,3.919348240481632e-10,0.0003009061894236165,-1.162649609851509e-10,-0.0001343882226296181,-2.717369092900734e-10,-8.765121002977645e-07,-3.61054252423162e-10,0.0003491186977195857,-1.064454051320941e-09,2.234025571042292e-06,3.81421328260966e-10,-1.021828357603082e-12,-1.284543687087932e-10,7.126655114712099e-06,3.088057162500026e-11,0.0001321541970585809,-1.09684418970908e-10,5.844970210385053e-05,-4.637856931786842e-11,0.0002929030211867774,-6.366541537421073e-10
1,19.201419386388,0.0,1.321541970585796,-1.139755261358745e-06,1.0,0.0,0.9929904250979256,-3.986845965768555e-07,-0.0149659757409018,-6.738625053450434e-08,1.2858934462847,-1.060246127559601e-06,0.0,0.0,-0.0004915100875642255,4.164618455986028e-10,8.003167215022607e-06,4.072682173181697e-10,0.0003009061894236138,-1.208135141141986e-10,-0.0001343882226296567,-2.823678832185342e-10,-8.765121003074139e-07,-3.75179526587453e-10,0.0003491186977195498,-1.106097946135308e-09,2.234025571075686e-06,3.963434093543984e-10,-1.021816615254447e-12,-1.334797995503777e-10,7.126655114715141e-06,3.208869073071635e-11,0.0001321541970585796,-1.139755261358746e-10,5.844970210385e-05,-4.81930057981637e-11,0.0002929030211867745,-6.615615309827459e-10
1,19.95262314968878,0.0,1.321541970585782,-1.184345112991381e-06,1.0,0.0,0.9929904250979164,-4.14282056498545e-07,-0.01496597574090746,-7.002255590222619e-08,1.285893446284688,-1.101725398702074e-06,0.0,0.0,-0.0004915100875642342,4.327547924578855e-10,8.00316721503573e-06,4.232014882585087e-10,0.000300906189423611,-1.255400171207712e-10,-0.000134388222629687,-2.934147653390884e-10,-8.765121003177681e-07,-3.898574140193528e-10,0.0003491186977195122,-1.149371046055483e-09,2.234025571111844e-06,4.11849276638221e-10,-1.021803936158043e-12,-1.387018368242492e-10,7.126655114717837e-06,3.334407423915533e-11,0.0001321541970585782,-1.184345112991381e-10,5.844970210384945e-05,-5.007842721373064e-11,0.0002929030211867717,-6.874433422035291e-10
1,20.73321573485953,0.0,1.321541970585767,-1.230679422347553e-06,1.0,0.0,0.9929904250979066,-4.304897249863472e-07,-0.01496597574091429,-7.27619996095468e-08,1.285893446284675,-1.144827434493043e-06,0.0,0.0,-0.0004915100875642429,4.496851569345566e-10,8.003167215049657e-06,4.39758105465663e-10,0.0003009061894236081,-1.304514318140446e-10,-0.0001343882226297264,-3.048938269383986e-10,-8.765121003289353e-07,-4.051095342230248e-10,0.0003491186977194685,-1.194337089338623e-09,2.234025571150767e-06,4.27961769173147e-10,-1.021790245584665e-12,-1.441281722269885e-10,7.126655114721092e-06,3.464857124264133e-11,0.0001321541970585767,-1.230679422347553e-10,5.844970210384886e-05,-5.203761065877469e-11,0.0002929030211867684,-7.143377095066961e-10
